sensor_log_key,shipment_id,shipment_key,total_readings,missing_readings,offline_readings,avg_temperature_c,min_temperature_c,max_temperature_c,stddev_temperature_c,excursion_records,avg_battery_level,avg_signal_strength
208,SHP0200,200,16,0,0,5.011,4.46,5.46,0.253,,82.28,84.88
209,SHP0247,247,71,0,0,-20.966,-21.94,-20.07,0.398,,85.84,86.14
210,SHP0111,111,24,0,0,-21.023,-21.87,-20.27,0.368,,83.83,83.5
211,SHP0302,302,62,0,0,-21.005,-21.72,-20.13,0.366,,85.15,84.92
212,SHP0436,436,34,1,0,-20.899,-21.8,-20.16,0.371,,86.83,85.12
213,SHP0262,262,64,0,0,5.007,4.11,6.12,0.387,,85.91,85.08
214,SHP0197,197,41,0,0,-20.623,-22.53,-2.91,2.874,,85.96,87.54
215,SHP0453,453,71,1,0,5.394,4.08,11.55,1.395,,86.2,86.13
216,SHP0227,227,45,0,0,4.924,4.01,5.67,0.429,,86.97,83.47
217,SHP0185,185,70,0,0,-21.008,-22.44,-20.35,0.398,,84.78,83.69
218,SHP0270,270,69,0,0,-20.967,-21.67,-20.13,0.348,,85.32,82.45
219,SHP0361,361,24,0,4,-21.098,-21.68,-20.3,0.396,,88.88,72.29
220,SHP0372,372,24,1,0,4.939,4.01,5.77,0.472,,85.19,83.71
221,SHP0208,208,35,0,0,4.8,-2.02,6.03,1.264,,84.14,84.97
222,SHP0011,11,52,0,4,5.071,4.15,5.88,0.437,,83.31,78.85
223,SHP0377,377,57,0,0,-21.025,-21.93,-20.22,0.423,,85.87,84.53
224,SHP0065,65,44,0,0,5.504,4.21,11.93,1.727,,85.47,84.3
225,SHP0156,156,34,0,0,-21.003,-21.95,-20.0,0.418,,85.29,86.82
226,SHP0381,381,61,0,0,5.418,4.2,11.14,1.452,,84.58,84.21
227,SHP0393,393,65,0,0,5.035,3.98,5.98,0.463,,83.29,86.4
228,SHP0206,206,57,0,0,-20.604,-21.71,-15.42,1.288,,86.61,83.3
229,SHP0329,329,37,0,0,-20.987,-21.95,-20.11,0.405,,83.76,86.92
230,SHP0174,174,23,0,0,4.989,4.09,6.25,0.444,,88.28,83.35
231,SHP0133,133,22,0,0,-21.04,-21.6,-20.0,0.403,,85.21,85.82
232,SHP0412,412,58,1,4,-21.016,-21.89,-19.77,0.441,,84.32,77.53
233,SHP0043,43,20,0,0,5.045,4.53,5.65,0.331,,85.69,85.0
234,SHP0070,70,23,0,0,6.123,4.55,11.69,2.334,,83.74,83.17
235,SHP0497,497,43,0,0,5.089,4.11,6.01,0.41,,84.8,83.56
236,SHP0359,359,29,1,0,-20.91,-21.66,-19.87,0.443,,85.62,86.9
237,SHP0240,240,22,0,4,-20.085,-21.68,-15.39,1.894,,82.97,67.59
238,SHP0062,62,59,0,0,-20.644,-21.89,-15.14,1.207,,85.34,85.08
239,SHP0317,317,67,0,0,-20.936,-21.85,-19.93,0.411,,85.2,85.75
240,SHP0374,374,31,0,4,4.945,4.16,5.61,0.337,,85.04,73.77
241,SHP0190,190,18,0,0,5.113,4.11,5.97,0.482,,86.82,81.89
242,SHP0108,108,20,0,0,-21.08,-21.87,-20.33,0.42,,89.21,83.7
243,SHP0149,149,16,0,0,-21.029,-21.69,-20.22,0.412,,85.83,81.56
244,SHP0137,137,21,0,0,-19.71,-21.83,-5.86,3.554,,84.18,87.05
245,SHP0376,376,26,0,0,5.058,4.5,5.6,0.301,,86.27,89.12
246,SHP0410,410,64,0,0,5.068,4.28,5.72,0.348,,86.96,85.83
247,SHP0120,120,57,1,0,5.02,4.11,6.25,0.433,,85.04,85.67
248,SHP0169,169,65,0,0,-20.971,-21.91,-20.18,0.395,,86.57,86.14
249,SHP0465,465,30,0,0,-20.983,-21.78,-20.22,0.37,,88.03,86.53
250,SHP0193,193,28,0,0,5.748,4.4,11.67,1.976,,84.66,82.82
251,SHP0060,60,40,0,0,-21.147,-21.74,-20.39,0.381,,87.7,85.48
252,SHP0178,178,43,0,0,-20.959,-21.75,-20.08,0.363,,85.05,84.02
253,SHP0122,122,68,0,0,5.005,4.27,6.02,0.355,,84.16,87.19
254,SHP0364,364,65,0,0,5.1,4.13,6.08,0.363,,84.24,84.48
255,SHP0446,446,47,0,4,-21.024,-21.78,-19.42,0.463,,82.41,77.3
256,SHP0464,464,42,0,0,-20.917,-21.47,-19.89,0.381,,84.3,84.31
257,SHP0391,391,48,0,4,5.033,4.42,5.94,0.35,,84.57,79.44
258,SHP0095,95,35,0,0,5.03,4.36,5.74,0.357,,81.92,86.86
259,SHP0242,242,14,0,0,-21.141,-21.54,-20.73,0.291,,84.28,88.14
260,SHP0175,175,51,0,0,5.051,3.82,5.98,0.43,,85.53,85.76
261,SHP0434,434,69,0,0,5.011,4.2,6.2,0.431,,86.86,84.45
262,SHP0119,119,62,0,0,5.035,4.12,5.7,0.384,,87.33,83.81
263,SHP0468,468,59,0,0,5.1,4.05,5.96,0.374,,86.56,84.51
264,SHP0243,243,63,0,0,4.931,3.43,5.63,0.386,,86.9,84.6
265,SHP0267,267,38,0,0,4.926,4.47,5.66,0.306,,86.09,86.05
266,SHP0084,84,70,0,0,-20.984,-22.04,-20.16,0.452,,86.38,85.39
267,SHP0480,480,40,0,0,-20.654,-21.93,-5.53,2.492,,83.61,86.85
268,SHP0239,239,35,0,0,4.999,3.88,5.96,0.471,,85.61,84.14
269,SHP0426,426,45,0,0,5.848,4.17,18.21,2.592,,85.12,83.76
270,SHP0109,109,22,0,0,5.061,4.44,5.83,0.35,,83.56,87.32
271,SHP0199,199,57,0,0,-20.906,-22.18,-19.92,0.489,,85.75,84.12
272,SHP0338,338,20,0,0,4.902,3.93,5.86,0.507,,88.29,86.3
273,SHP0117,117,51,0,0,-20.982,-22.05,-19.77,0.442,,85.92,86.47
274,SHP0055,55,66,0,4,-20.684,-22.02,-15.08,1.227,,86.78,80.29
275,SHP0019,19,71,0,0,5.282,3.94,11.64,1.436,,82.74,83.56
276,SHP0320,320,25,1,0,5.029,4.19,6.05,0.387,,85.96,86.28
277,SHP0250,250,70,0,4,4.964,4.02,5.79,0.386,,84.76,80.99
278,SHP0110,110,34,0,0,-20.971,-21.73,-20.22,0.359,,84.51,87.12
279,SHP0177,177,41,0,0,-20.461,-21.76,-15.33,1.584,,83.48,85.66
280,SHP0466,466,61,1,0,4.938,3.46,5.85,0.395,,86.09,84.23
281,SHP0273,273,72,0,0,-20.977,-22.35,-20.06,0.428,,83.28,81.65
282,SHP0123,123,53,0,0,5.023,4.17,6.17,0.358,,82.5,83.91
283,SHP0333,333,45,0,0,4.95,3.84,5.86,0.477,,84.95,87.49
284,SHP0038,38,71,1,0,-20.949,-22.15,-19.98,0.454,,86.84,85.73
285,SHP0460,460,22,0,0,-20.892,-21.66,-20.27,0.353,,87.47,87.0
286,SHP0260,260,32,0,0,5.001,4.24,5.85,0.407,,84.53,84.56
287,SHP0442,442,26,0,0,-21.101,-21.97,-20.34,0.451,,84.32,84.62
288,SHP0354,354,20,0,0,5.042,4.59,5.48,0.265,,84.69,88.25
289,SHP0010,10,35,0,0,5.547,4.42,10.73,1.777,,86.15,85.03
290,SHP0431,431,66,1,0,-20.783,-22.33,-6.25,1.885,,85.38,85.0
291,SHP0249,249,14,0,0,5.488,4.47,10.06,1.372,,85.31,85.5
292,SHP0154,154,43,0,0,-20.987,-21.78,-20.18,0.357,,84.14,85.37
293,SHP0257,257,17,0,0,-20.972,-21.75,-20.4,0.345,,84.43,80.53
294,SHP0296,296,43,0,0,4.985,4.19,6.01,0.403,,85.91,85.33
295,SHP0351,351,17,0,0,-20.898,-21.36,-20.13,0.375,,84.57,85.35
296,SHP0101,101,46,0,0,-20.816,-22.2,-7.13,2.117,,85.39,83.91
297,SHP0435,435,48,0,0,5.029,3.81,6.14,0.427,,87.6,84.19
298,SHP0489,489,16,0,0,4.939,4.32,5.44,0.383,,85.96,88.56
299,SHP0358,358,65,0,0,-20.964,-21.89,-19.74,0.397,,86.01,86.0
300,SHP0099,99,50,0,0,5.052,4.24,5.72,0.368,,85.19,84.06
301,SHP0042,42,38,0,0,-20.916,-21.85,-19.96,0.387,,86.63,84.58
302,SHP0395,395,22,0,0,-20.994,-21.67,-20.29,0.386,,88.11,82.86
303,SHP0454,454,48,0,0,-21.014,-21.6,-19.86,0.394,,84.44,86.19
304,SHP0458,458,15,0,0,4.942,4.2,5.77,0.414,,83.95,86.73
305,SHP0017,17,37,0,0,4.981,3.92,5.98,0.448,,85.42,84.16
306,SHP0089,89,18,0,0,5.235,4.66,5.99,0.325,,83.44,83.78
307,SHP0056,56,21,0,0,-20.987,-21.88,-20.19,0.452,,85.69,88.1
308,SHP0304,304,68,0,0,4.999,4.18,6.19,0.407,,85.05,86.29
309,SHP0339,339,16,0,0,4.924,4.04,5.54,0.43,,85.75,85.94
310,SHP0041,41,16,1,0,-20.935,-21.58,-20.25,0.373,,81.17,89.06
311,SHP0069,69,59,0,0,-20.779,-22.1,-3.04,2.393,,86.46,86.44
312,SHP0261,261,25,0,0,4.865,3.88,5.75,0.463,,83.53,88.68
313,SHP0371,371,20,0,0,-21.291,-22.32,-20.54,0.513,,84.35,82.3
314,SHP0459,459,21,0,0,5.048,4.34,5.99,0.413,,85.31,84.14
315,SHP0054,54,41,0,0,-21.049,-21.92,-20.34,0.36,,85.01,86.07
316,SHP0495,495,44,0,0,5.278,3.81,15.2,1.577,,86.01,84.14
317,SHP0387,387,67,0,0,4.991,3.97,5.8,0.407,,85.53,83.33
318,SHP0040,40,50,1,4,-20.651,-21.95,-15.43,1.397,,84.26,77.9
319,SHP0129,129,68,1,0,4.931,4.1,6.03,0.397,,84.51,84.1
320,SHP0401,401,65,0,0,4.99,4.11,5.98,0.4,,85.66,85.35
321,SHP0293,293,66,1,0,5.047,4.07,6.02,0.382,,85.22,84.58
322,SHP0367,367,58,0,0,-21.056,-21.72,-20.27,0.386,,86.29,85.57
323,SHP0416,416,36,1,0,-20.906,-21.62,-20.03,0.423,,84.67,84.97
324,SHP0219,219,66,0,0,-21.005,-21.69,-20.1,0.349,,84.25,85.7
325,SHP0164,164,58,1,0,4.916,4.06,6.01,0.46,,83.34,84.19
