event_id,shipment_id,event_type,location,event_time,duration_minutes
36,SHP0006,Checkpoint,Cold Storage Facility,2026-08-06 09:36:00,0
37,SHP0006,Rest Stop,Highway Checkpoint,2026-08-06 10:59:00,18
38,SHP0006,Checkpoint,City Entry,2026-08-06 08:51:00,0
39,SHP0006,Checkpoint,Distribution Center,2026-08-06 09:19:00,0
40,SHP0006,Traffic Delay,Highway Checkpoint,2026-08-06 08:17:00,39
41,SHP0006,Arrival,Madurai,2026-08-06 11:29:00,0
42,SHP0007,Departure,Coimbatore,2026-08-04 06:41:00,0
43,SHP0007,Checkpoint,Cold Storage Facility,2026-08-04 07:09:00,0
44,SHP0007,Traffic Delay,Cold Storage Facility,2026-08-04 08:10:00,48
45,SHP0007,Checkpoint,Distribution Center,2026-08-04 07:55:00,0
46,SHP0007,Checkpoint,Cold Storage Facility,2026-08-04 07:42:00,0
47,SHP0007,Arrival,Salem,2026-08-04 08:54:00,0
48,SHP0008,Departure,Bangalore,2026-08-05 09:00:00,0
49,SHP0008,Cold Storage Stop,City Entry,2026-08-05 10:19:00,6
50,SHP0008,Rest Stop,Distribution Center,2026-08-05 10:12:00,38
51,SHP0008,Checkpoint,Rest Area,2026-08-05 10:32:00,0
52,SHP0008,Traffic Delay,Rest Area,2026-08-05 10:07:00,42
53,SHP0008,Arrival,Mumbai,2026-08-05 11:24:00,0
54,SHP0009,Departure,Pune,2026-08-07 10:13:00,0
55,SHP0009,Checkpoint,Highway Checkpoint,2026-08-07 10:38:00,0
56,SHP0009,Cold Storage Stop,Distribution Center,2026-08-07 10:27:00,10
57,SHP0009,Checkpoint,Highway Checkpoint,2026-08-07 11:37:00,0
58,SHP0009,Arrival,Madurai,2026-08-07 12:30:00,0
59,SHP0010,Departure,Salem,2026-08-03 10:28:00,0
60,SHP0010,Traffic Delay,Highway Checkpoint,2026-08-03 12:11:00,20
61,SHP0010,Checkpoint,Cold Storage Facility,2026-08-03 11:31:00,0
62,SHP0010,Checkpoint,Rest Area,2026-08-03 10:49:00,0
63,SHP0010,Checkpoint,Highway Checkpoint,2026-08-03 10:45:00,0
64,SHP0010,Arrival,Bengaluru,2026-08-03 13:19:00,0
65,SHP0011,Departure,Bangalore,2026-08-07 05:37:00,0
66,SHP0011,Checkpoint,Distribution Center,2026-08-07 06:54:00,0
67,SHP0011,Checkpoint,Cold Storage Facility,2026-08-07 08:23:00,0
68,SHP0011,Checkpoint,City Entry,2026-08-07 07:31:00,0
69,SHP0011,Checkpoint,City Entry,2026-08-07 08:49:00,0
70,SHP0011,Arrival,Coimbatore,2026-08-07 09:53:00,0
71,SHP0012,Departure,Madurai,2026-08-02 07:50:00,0
72,SHP0012,Cold Storage Stop,Distribution Center,2026-08-02 09:32:00,15
73,SHP0012,Checkpoint,Rest Area,2026-08-02 08:39:00,0
74,SHP0012,Checkpoint,Rest Area,2026-08-02 08:31:00,0
75,SHP0012,Checkpoint,Highway Checkpoint,2026-08-02 09:13:00,0
76,SHP0012,Rest Stop,Distribution Center,2026-08-02 08:15:00,19
77,SHP0012,Checkpoint,Fuel Station,2026-08-02 08:48:00,0
78,SHP0012,Arrival,Salem,2026-08-02 10:01:00,0
79,SHP0013,Departure,Hyderabad,2026-08-02 10:05:00,0
80,SHP0013,Checkpoint,Fuel Station,2026-08-02 11:34:00,0
81,SHP0013,Checkpoint,Rest Area,2026-08-02 10:33:00,0
82,SHP0013,Cold Storage Stop,Cold Storage Facility,2026-08-02 12:04:00,16
83,SHP0013,Arrival,Kochi,2026-08-02 13:12:00,0
84,SHP0014,Departure,Mumbai,2026-08-03 09:46:00,0
85,SHP0014,Checkpoint,City Entry,2026-08-03 10:17:00,0
86,SHP0014,Checkpoint,Fuel Station,2026-08-03 11:03:00,0
87,SHP0014,Checkpoint,Distribution Center,2026-08-03 10:04:00,0
88,SHP0014,Checkpoint,City Entry,2026-08-03 11:42:00,0
89,SHP0014,Checkpoint,Cold Storage Facility,2026-08-03 11:20:00,0
90,SHP0014,Arrival,Bengaluru,2026-08-03 13:11:00,0
91,SHP0015,Departure,Chennai,2026-08-05 06:33:00,0
92,SHP0015,Checkpoint,Fuel Station,2026-08-05 08:09:00,0
93,SHP0015,Route Deviation,Fuel Station,2026-08-05 08:18:00,50
94,SHP0015,Rest Stop,Fuel Station,2026-08-05 09:00:00,35
95,SHP0015,Checkpoint,Cold Storage Facility,2026-08-05 06:47:00,0
96,SHP0015,Checkpoint,Rest Area,2026-08-05 07:27:00,0
97,SHP0015,Traffic Delay,Fuel Station,2026-08-05 06:59:00,30
98,SHP0015,Arrival,Kochi,2026-08-05 11:53:00,0
99,SHP0016,Departure,Hyderabad,2026-08-06 07:41:00,0
100,SHP0016,Rest Stop,Fuel Station,2026-08-06 08:13:00,31
101,SHP0016,Cold Storage Stop,City Entry,2026-08-06 08:53:00,8
102,SHP0016,Checkpoint,City Entry,2026-08-06 08:53:00,0
103,SHP0016,Checkpoint,Distribution Center,2026-08-06 08:14:00,0
104,SHP0016,Arrival,Salem,2026-08-06 09:08:00,0
105,SHP0017,Departure,Hyderabad,2026-08-06 08:07:00,0
106,SHP0017,Checkpoint,Rest Area,2026-08-06 10:13:00,0
107,SHP0017,Checkpoint,Cold Storage Facility,2026-08-06 08:36:00,0
108,SHP0017,Rest Stop,Rest Area,2026-08-06 08:52:00,14
109,SHP0017,Traffic Delay,Rest Area,2026-08-06 08:53:00,25
110,SHP0017,Arrival,Pune,2026-08-06 11:10:00,0
111,SHP0018,Departure,Pune,2026-08-07 05:33:00,0
112,SHP0018,Checkpoint,Cold Storage Facility,2026-08-07 05:47:00,0
113,SHP0018,Traffic Delay,City Entry,2026-08-07 06:13:00,34
114,SHP0018,Checkpoint,Distribution Center,2026-08-07 06:14:00,0
115,SHP0018,Checkpoint,Distribution Center,2026-08-07 06:14:00,0
116,SHP0018,Rest Stop,Cold Storage Facility,2026-08-07 05:59:00,39
117,SHP0018,Arrival,Bengaluru,2026-08-07 06:39:00,0
118,SHP0019,Departure,Madurai,2026-08-01 08:55:00,0
119,SHP0019,Checkpoint,Fuel Station,2026-08-01 12:48:00,0
120,SHP0019,Checkpoint,Highway Checkpoint,2026-08-01 14:04:00,0
121,SHP0019,Checkpoint,Highway Checkpoint,2026-08-01 11:29:00,0
122,SHP0019,Checkpoint,Highway Checkpoint,2026-08-01 10:44:00,0
123,SHP0019,Arrival,Coimbatore,2026-08-01 14:46:00,0
124,SHP0020,Departure,Salem,2026-08-06 09:43:00,0
125,SHP0020,Checkpoint,Distribution Center,2026-08-06 10:21:00,0
126,SHP0020,Rest Stop,Rest Area,2026-08-06 10:39:00,23
127,SHP0020,Checkpoint,Rest Area,2026-08-06 11:36:00,0
128,SHP0020,Checkpoint,City Entry,2026-08-06 09:59:00,0
129,SHP0020,Checkpoint,Fuel Station,2026-08-06 11:56:00,0
130,SHP0020,Checkpoint,City Entry,2026-08-06 11:18:00,0
131,SHP0020,Arrival,Madurai,2026-08-06 12:11:00,0
132,SHP0021,Departure,Pune,2026-08-01 05:37:00,0
133,SHP0021,Rest Stop,Cold Storage Facility,2026-08-01 06:10:00,25
134,SHP0021,Cold Storage Stop,Distribution Center,2026-08-01 05:48:00,18
135,SHP0021,Checkpoint,City Entry,2026-08-01 05:49:00,0
136,SHP0021,Arrival,Bangalore,2026-08-01 07:11:00,0
137,SHP0022,Departure,Chennai,2026-08-03 06:02:00,0
138,SHP0022,Checkpoint,Highway Checkpoint,2026-08-03 06:16:00,0
139,SHP0022,Rest Stop,Highway Checkpoint,2026-08-03 07:09:00,18
140,SHP0022,Checkpoint,Fuel Station,2026-08-03 06:26:00,0
141,SHP0022,Checkpoint,Highway Checkpoint,2026-08-03 06:48:00,0
142,SHP0022,Arrival,Kochi,2026-08-03 07:32:00,0
143,SHP0023,Departure,Salem,2026-08-04 07:40:00,0
144,SHP0023,Checkpoint,Highway Checkpoint,2026-08-04 12:41:00,0
145,SHP0023,Cold Storage Stop,Rest Area,2026-08-04 09:03:00,13
146,SHP0023,Checkpoint,Fuel Station,2026-08-04 10:37:00,0
147,SHP0023,Cold Storage Stop,Rest Area,2026-08-04 11:23:00,9
148,SHP0023,Cold Storage Stop,Fuel Station,2026-08-04 09:56:00,12
149,SHP0023,Rest Stop,Highway Checkpoint,2026-08-04 12:43:00,26
150,SHP0023,Arrival,Mumbai,2026-08-04 12:56:00,0
151,SHP0024,Departure,Salem,2026-08-04 10:34:00,0
152,SHP0024,Checkpoint,Fuel Station,2026-08-04 13:22:00,0
153,SHP0024,Rest Stop,City Entry,2026-08-04 12:13:00,26
154,SHP0024,Rest Stop,Rest Area,2026-08-04 15:59:00,29
155,SHP0024,Cold Storage Stop,City Entry,2026-08-04 11:37:00,18
156,SHP0024,Arrival,Bangalore,2026-08-04 16:09:00,0
157,SHP0025,Departure,Bengaluru,2026-08-06 07:05:00,0
158,SHP0025,Rest Stop,City Entry,2026-08-06 09:45:00,36
159,SHP0025,Checkpoint,Distribution Center,2026-08-06 09:48:00,0
160,SHP0025,Checkpoint,Rest Area,2026-08-06 07:30:00,0
161,SHP0025,Arrival,Coimbatore,2026-08-06 10:43:00,0
162,SHP0026,Departure,Bangalore,2026-08-07 06:51:00,0
163,SHP0026,Checkpoint,Highway Checkpoint,2026-08-07 07:30:00,0
164,SHP0026,Checkpoint,Cold Storage Facility,2026-08-07 07:57:00,0
165,SHP0026,Checkpoint,Highway Checkpoint,2026-08-07 08:40:00,0
166,SHP0026,Checkpoint,Rest Area,2026-08-07 07:24:00,0
167,SHP0026,Arrival,Mumbai,2026-08-07 09:10:00,0
168,SHP0027,Departure,Mumbai,2026-08-05 08:37:00,0
169,SHP0027,Checkpoint,Highway Checkpoint,2026-08-05 09:04:00,0
170,SHP0027,Cold Storage Stop,Highway Checkpoint,2026-08-05 09:04:00,20
171,SHP0027,Rest Stop,Cold Storage Facility,2026-08-05 09:10:00,13
172,SHP0027,Checkpoint,Cold Storage Facility,2026-08-05 09:31:00,0
173,SHP0027,Rest Stop,Rest Area,2026-08-05 08:53:00,22
174,SHP0027,Arrival,Madurai,2026-08-05 10:10:00,0
175,SHP0028,Departure,Kochi,2026-08-06 10:54:00,0
176,SHP0028,Checkpoint,Fuel Station,2026-08-06 11:51:00,0
177,SHP0028,Checkpoint,City Entry,2026-08-06 12:08:00,0
178,SHP0028,Checkpoint,Distribution Center,2026-08-06 12:45:00,0
179,SHP0028,Checkpoint,Rest Area,2026-08-06 11:21:00,0
180,SHP0028,Arrival,Salem,2026-08-06 13:56:00,0
181,SHP0029,Departure,Chennai,2026-08-01 05:59:00,0
182,SHP0029,Rest Stop,Rest Area,2026-08-01 07:37:00,19
183,SHP0029,Rest Stop,Highway Checkpoint,2026-08-01 08:55:00,17
184,SHP0029,Checkpoint,Distribution Center,2026-08-01 09:46:00,0
185,SHP0029,Traffic Delay,Fuel Station,2026-08-01 06:11:00,31
186,SHP0029,Rest Stop,Rest Area,2026-08-01 08:54:00,30
187,SHP0029,Checkpoint,Cold Storage Facility,2026-08-01 09:36:00,0
188,SHP0029,Arrival,Hyderabad,2026-08-01 10:41:00,0
189,SHP0030,Departure,Bangalore,2026-08-06 09:38:00,0
190,SHP0030,Route Deviation,Rest Area,2026-08-06 09:56:00,26
191,SHP0030,Checkpoint,Highway Checkpoint,2026-08-06 09:58:00,0
192,SHP0030,Checkpoint,Highway Checkpoint,2026-08-06 09:48:00,0
193,SHP0030,Checkpoint,City Entry,2026-08-06 10:03:00,0
194,SHP0030,Checkpoint,Fuel Station,2026-08-06 10:56:00,0
195,SHP0030,Traffic Delay,Fuel Station,2026-08-06 10:30:00,13
196,SHP0030,Arrival,Pune,2026-08-06 11:06:00,0
197,SHP0031,Departure,Kochi,2026-08-07 05:00:00,0
198,SHP0031,Checkpoint,Distribution Center,2026-08-07 06:05:00,0
199,SHP0031,Checkpoint,City Entry,2026-08-07 06:59:00,0
200,SHP0031,Checkpoint,Distribution Center,2026-08-07 05:58:00,0
201,SHP0031,Cold Storage Stop,Cold Storage Facility,2026-08-07 06:03:00,16
202,SHP0031,Arrival,Coimbatore,2026-08-07 07:10:00,0
203,SHP0032,Departure,Chennai,2026-08-03 08:22:00,0
204,SHP0032,Checkpoint,Fuel Station,2026-08-03 13:37:00,0
205,SHP0032,Checkpoint,City Entry,2026-08-03 13:31:00,0
206,SHP0032,Checkpoint,Fuel Station,2026-08-03 10:06:00,0
207,SHP0032,Arrival,Coimbatore,2026-08-03 13:49:00,0
208,SHP0033,Departure,Mumbai,2026-08-01 06:23:00,0
209,SHP0033,Checkpoint,Rest Area,2026-08-01 07:12:00,0
210,SHP0033,Rest Stop,City Entry,2026-08-01 08:14:00,31
211,SHP0033,Checkpoint,Distribution Center,2026-08-01 07:10:00,0
212,SHP0033,Cold Storage Stop,Distribution Center,2026-08-01 06:33:00,11
213,SHP0033,Route Deviation,Rest Area,2026-08-01 07:05:00,52
214,SHP0033,Arrival,Kochi,2026-08-01 08:27:00,0
215,SHP0034,Departure,Kochi,2026-08-05 05:21:00,0
216,SHP0034,Checkpoint,Highway Checkpoint,2026-08-05 09:05:00,0
217,SHP0034,Checkpoint,Fuel Station,2026-08-05 06:32:00,0
218,SHP0034,Cold Storage Stop,Highway Checkpoint,2026-08-05 07:50:00,13
219,SHP0034,Arrival,Bangalore,2026-08-05 10:00:00,0
220,SHP0035,Departure,Kochi,2026-08-06 05:16:00,0
221,SHP0035,Checkpoint,Highway Checkpoint,2026-08-06 06:40:00,0
222,SHP0035,Checkpoint,Distribution Center,2026-08-06 08:00:00,0
223,SHP0035,Rest Stop,Rest Area,2026-08-06 06:21:00,35
224,SHP0035,Checkpoint,Rest Area,2026-08-06 09:31:00,0
225,SHP0035,Arrival,Mumbai,2026-08-06 11:11:00,0
226,SHP0036,Departure,Bangalore,2026-08-05 08:32:00,0
227,SHP0036,Cold Storage Stop,Highway Checkpoint,2026-08-05 11:33:00,5
228,SHP0036,Checkpoint,City Entry,2026-08-05 09:47:00,0
229,SHP0036,Checkpoint,City Entry,2026-08-05 10:38:00,0
230,SHP0036,Arrival,Pune,2026-08-05 12:36:00,0
231,SHP0037,Departure,Chennai,2026-08-01 09:10:00,0
232,SHP0037,Traffic Delay,Highway Checkpoint,2026-08-01 11:51:00,44
233,SHP0037,Checkpoint,City Entry,2026-08-01 12:26:00,0
234,SHP0037,Cold Storage Stop,Highway Checkpoint,2026-08-01 11:29:00,12
235,SHP0037,Checkpoint,Cold Storage Facility,2026-08-01 11:21:00,0
236,SHP0037,Arrival,Pune,2026-08-01 13:18:00,0
237,SHP0038,Departure,Coimbatore,2026-08-06 05:57:00,0
238,SHP0038,Cold Storage Stop,City Entry,2026-08-06 07:53:00,15
239,SHP0038,Checkpoint,Fuel Station,2026-08-06 07:58:00,0
240,SHP0038,Route Deviation,Highway Checkpoint,2026-08-06 07:50:00,52
241,SHP0038,Cold Storage Stop,Rest Area,2026-08-06 06:40:00,7
242,SHP0038,Traffic Delay,Highway Checkpoint,2026-08-06 11:30:00,34
243,SHP0038,Arrival,Kochi,2026-08-06 11:50:00,0
244,SHP0039,Departure,Bangalore,2026-08-05 10:32:00,0
245,SHP0039,Checkpoint,Distribution Center,2026-08-05 11:04:00,0
246,SHP0039,Cold Storage Stop,Highway Checkpoint,2026-08-05 10:47:00,13
247,SHP0039,Traffic Delay,Rest Area,2026-08-05 10:57:00,50
248,SHP0039,Checkpoint,City Entry,2026-08-05 10:52:00,0
249,SHP0039,Arrival,Hyderabad,2026-08-05 11:33:00,0
250,SHP0040,Departure,Chennai,2026-08-02 05:30:00,0
251,SHP0040,Checkpoint,Rest Area,2026-08-02 09:05:00,0
252,SHP0040,Cold Storage Stop,City Entry,2026-08-02 06:16:00,9
253,SHP0040,Traffic Delay,Rest Area,2026-08-02 07:21:00,18
254,SHP0040,Checkpoint,Distribution Center,2026-08-02 08:25:00,0
255,SHP0040,Checkpoint,Rest Area,2026-08-02 06:45:00,0
256,SHP0040,Checkpoint,Rest Area,2026-08-02 08:36:00,0
257,SHP0040,Arrival,Hyderabad,2026-08-02 09:36:00,0
258,SHP0041,Departure,Salem,2026-08-01 06:59:00,0
259,SHP0041,Checkpoint,Distribution Center,2026-08-01 07:31:00,0
260,SHP0041,Checkpoint,Distribution Center,2026-08-01 07:44:00,0
261,SHP0041,Rest Stop,Distribution Center,2026-08-01 07:15:00,31
262,SHP0041,Route Deviation,Distribution Center,2026-08-01 07:41:00,69
263,SHP0041,Checkpoint,Cold Storage Facility,2026-08-01 07:20:00,0
264,SHP0041,Arrival,Coimbatore,2026-08-01 08:17:00,0
265,SHP0042,Departure,Mumbai,2026-08-06 06:20:00,0
266,SHP0042,Traffic Delay,Highway Checkpoint,2026-08-06 06:57:00,30
267,SHP0042,Checkpoint,Highway Checkpoint,2026-08-06 08:17:00,0
268,SHP0042,Traffic Delay,City Entry,2026-08-06 07:25:00,37
269,SHP0042,Checkpoint,Distribution Center,2026-08-06 07:27:00,0
270,SHP0042,Arrival,Salem,2026-08-06 09:27:00,0
271,SHP0043,Departure,Salem,2026-08-01 07:52:00,0
272,SHP0043,Checkpoint,City Entry,2026-08-01 08:51:00,0
273,SHP0043,Rest Stop,Cold Storage Facility,2026-08-01 08:56:00,20
274,SHP0043,Checkpoint,Distribution Center,2026-08-01 08:32:00,0
275,SHP0043,Checkpoint,Distribution Center,2026-08-01 08:04:00,0
276,SHP0043,Checkpoint,City Entry,2026-08-01 08:32:00,0
277,SHP0043,Arrival,Madurai,2026-08-01 09:31:00,0
278,SHP0044,Departure,Bengaluru,2026-08-03 05:32:00,0
279,SHP0044,Cold Storage Stop,City Entry,2026-08-03 06:45:00,20
280,SHP0044,Cold Storage Stop,Highway Checkpoint,2026-08-03 06:35:00,16
281,SHP0044,Checkpoint,Fuel Station,2026-08-03 05:51:00,0
282,SHP0044,Rest Stop,Distribution Center,2026-08-03 06:20:00,31
283,SHP0044,Arrival,Madurai,2026-08-03 06:58:00,0
284,SHP0045,Departure,Coimbatore,2026-08-01 09:02:00,0
285,SHP0045,Rest Stop,Rest Area,2026-08-01 11:51:00,14
286,SHP0045,Checkpoint,Highway Checkpoint,2026-08-01 11:01:00,0
287,SHP0045,Checkpoint,City Entry,2026-08-01 12:50:00,0
288,SHP0045,Checkpoint,Rest Area,2026-08-01 11:33:00,0
289,SHP0045,Checkpoint,City Entry,2026-08-01 10:02:00,0
290,SHP0045,Checkpoint,Fuel Station,2026-08-01 11:57:00,0
291,SHP0045,Arrival,Hyderabad,2026-08-01 13:27:00,0
292,SHP0046,Departure,Bangalore,2026-08-04 07:49:00,0
293,SHP0046,Cold Storage Stop,Distribution Center,2026-08-04 09:19:00,17
294,SHP0046,Checkpoint,Cold Storage Facility,2026-08-04 09:05:00,0
295,SHP0046,Rest Stop,City Entry,2026-08-04 08:02:00,38
296,SHP0046,Rest Stop,Cold Storage Facility,2026-08-04 10:34:00,30
297,SHP0046,Checkpoint,City Entry,2026-08-04 09:27:00,0
298,SHP0046,Route Deviation,City Entry,2026-08-04 09:54:00,56
299,SHP0046,Arrival,Pune,2026-08-04 11:28:00,0
300,SHP0047,Departure,Madurai,2026-08-02 09:29:00,0
301,SHP0047,Rest Stop,City Entry,2026-08-02 10:04:00,23
302,SHP0047,Cold Storage Stop,City Entry,2026-08-02 09:57:00,13
303,SHP0047,Cold Storage Stop,Highway Checkpoint,2026-08-02 09:53:00,19
304,SHP0047,Checkpoint,Cold Storage Facility,2026-08-02 10:03:00,0
305,SHP0047,Checkpoint,Rest Area,2026-08-02 10:01:00,0
306,SHP0047,Arrival,Bangalore,2026-08-02 10:33:00,0
307,SHP0048,Departure,Madurai,2026-08-06 07:36:00,0
308,SHP0048,Checkpoint,Cold Storage Facility,2026-08-06 10:14:00,0
309,SHP0048,Checkpoint,Distribution Center,2026-08-06 08:19:00,0
310,SHP0048,Checkpoint,Cold Storage Facility,2026-08-06 10:58:00,0
311,SHP0048,Arrival,Hyderabad,2026-08-06 11:11:00,0
312,SHP0049,Departure,Bengaluru,2026-08-01 08:23:00,0
313,SHP0049,Checkpoint,Distribution Center,2026-08-01 10:13:00,0
314,SHP0049,Checkpoint,Cold Storage Facility,2026-08-01 09:01:00,0
315,SHP0049,Checkpoint,Rest Area,2026-08-01 11:17:00,0
316,SHP0049,Checkpoint,Highway Checkpoint,2026-08-01 10:08:00,0
317,SHP0049,Cold Storage Stop,Fuel Station,2026-08-01 09:49:00,18
318,SHP0049,Checkpoint,Cold Storage Facility,2026-08-01 12:55:00,0
319,SHP0049,Arrival,Hyderabad,2026-08-01 13:35:00,0
320,SHP0050,Departure,Hyderabad,2026-08-04 06:09:00,0
321,SHP0050,Checkpoint,Distribution Center,2026-08-04 06:41:00,0
322,SHP0050,Checkpoint,Rest Area,2026-08-04 07:01:00,0
323,SHP0050,Rest Stop,Fuel Station,2026-08-04 06:25:00,24
324,SHP0050,Checkpoint,Cold Storage Facility,2026-08-04 06:45:00,0
325,SHP0050,Arrival,Mumbai,2026-08-04 07:12:00,0
326,SHP0051,Departure,Salem,2026-08-02 06:34:00,0
327,SHP0051,Rest Stop,Highway Checkpoint,2026-08-02 09:44:00,28
328,SHP0051,Checkpoint,Distribution Center,2026-08-02 07:20:00,0
329,SHP0051,Route Deviation,Fuel Station,2026-08-02 09:42:00,44
330,SHP0051,Checkpoint,Fuel Station,2026-08-02 09:41:00,0
331,SHP0051,Checkpoint,Fuel Station,2026-08-02 08:27:00,0
332,SHP0051,Checkpoint,City Entry,2026-08-02 07:08:00,0
333,SHP0051,Arrival,Chennai,2026-08-02 10:31:00,0
334,SHP0052,Departure,Chennai,2026-08-06 05:48:00,0
335,SHP0052,Rest Stop,Distribution Center,2026-08-06 07:32:00,40
336,SHP0052,Checkpoint,Cold Storage Facility,2026-08-06 07:25:00,0
337,SHP0052,Route Deviation,Cold Storage Facility,2026-08-06 07:26:00,49
338,SHP0052,Checkpoint,Distribution Center,2026-08-06 09:24:00,0
339,SHP0052,Checkpoint,Cold Storage Facility,2026-08-06 08:23:00,0
340,SHP0052,Rest Stop,Rest Area,2026-08-06 08:06:00,14
341,SHP0052,Arrival,Madurai,2026-08-06 10:00:00,0
342,SHP0053,Departure,Kochi,2026-08-06 06:33:00,0
343,SHP0053,Checkpoint,City Entry,2026-08-06 09:00:00,0
344,SHP0053,Checkpoint,Fuel Station,2026-08-06 09:18:00,0
345,SHP0053,Checkpoint,Cold Storage Facility,2026-08-06 07:21:00,0
346,SHP0053,Checkpoint,Fuel Station,2026-08-06 09:23:00,0
347,SHP0053,Checkpoint,Rest Area,2026-08-06 09:11:00,0
348,SHP0053,Arrival,Bangalore,2026-08-06 09:34:00,0
349,SHP0054,Departure,Salem,2026-08-07 05:09:00,0
350,SHP0054,Checkpoint,Rest Area,2026-08-07 06:15:00,0
351,SHP0054,Checkpoint,Highway Checkpoint,2026-08-07 08:19:00,0
352,SHP0054,Checkpoint,Cold Storage Facility,2026-08-07 05:37:00,0
353,SHP0054,Checkpoint,Fuel Station,2026-08-07 05:27:00,0
354,SHP0054,Checkpoint,Highway Checkpoint,2026-08-07 06:58:00,0
355,SHP0054,Arrival,Pune,2026-08-07 08:32:00,0
356,SHP0055,Departure,Bangalore,2026-08-01 06:57:00,0
357,SHP0055,Checkpoint,Cold Storage Facility,2026-08-01 11:20:00,0
358,SHP0055,Traffic Delay,Highway Checkpoint,2026-08-01 07:18:00,33
359,SHP0055,Cold Storage Stop,City Entry,2026-08-01 11:15:00,19
360,SHP0055,Checkpoint,Fuel Station,2026-08-01 08:49:00,0
361,SHP0055,Checkpoint,Highway Checkpoint,2026-08-01 10:47:00,0
362,SHP0055,Arrival,Chennai,2026-08-01 12:23:00,0
363,SHP0056,Departure,Salem,2026-08-02 08:47:00,0
364,SHP0056,Rest Stop,Fuel Station,2026-08-02 09:54:00,31
365,SHP0056,Rest Stop,Cold Storage Facility,2026-08-02 10:10:00,25
366,SHP0056,Cold Storage Stop,Rest Area,2026-08-02 09:06:00,5
367,SHP0056,Arrival,Madurai,2026-08-02 10:30:00,0
368,SHP0057,Departure,Bengaluru,2026-08-01 09:08:00,0
369,SHP0057,Cold Storage Stop,City Entry,2026-08-01 10:59:00,16
370,SHP0057,Rest Stop,Fuel Station,2026-08-01 11:57:00,10
371,SHP0057,Rest Stop,Highway Checkpoint,2026-08-01 10:01:00,40
372,SHP0057,Arrival,Bangalore,2026-08-01 13:29:00,0
373,SHP0058,Departure,Bangalore,2026-08-05 09:03:00,0
374,SHP0058,Checkpoint,Distribution Center,2026-08-05 12:41:00,0
375,SHP0058,Checkpoint,Distribution Center,2026-08-05 09:34:00,0
376,SHP0058,Checkpoint,Rest Area,2026-08-05 09:45:00,0
377,SHP0058,Checkpoint,Highway Checkpoint,2026-08-05 10:31:00,0
378,SHP0058,Checkpoint,Cold Storage Facility,2026-08-05 09:39:00,0
379,SHP0058,Arrival,Bengaluru,2026-08-05 13:45:00,0
380,SHP0059,Departure,Coimbatore,2026-08-02 07:16:00,0
381,SHP0059,Cold Storage Stop,City Entry,2026-08-02 10:39:00,5
382,SHP0059,Checkpoint,Cold Storage Facility,2026-08-02 08:11:00,0
