shipment_id,batch_id,vehicle_id,origin,destination,departure_time,arrival_time,shipment_status,product_name,product_type,min_temperature_c,max_temperature_c,quantity,expiry_date,vehicle_type,capacity_kg,total_raw_sensor_records,available_temperature_records,missing_temperature_records,offline_observations,raw_average_temperature,raw_min_temperature,raw_max_temperature,minimum_battery_level,minimum_signal_strength,sensor_reliability,total_sensor_records,excursion_records,total_excursion_minutes,temperature_status,sensors_used,valid_calibration_sensors,invalid_calibration_sensors,maximum_calibration_error,average_calibration_error,calibration_status,total_handovers,signed_handovers,missing_handover_signatures,custody_locations,custody_evidence_quality,custody_status,total_route_events,traffic_delay_events,traffic_delay_minutes,route_deviation_events,route_deviation_minutes,total_route_event_minutes,route_reliability,route_status,overall_compliance,compliance_reason,audit_conclusion,evidence_completeness,evidence_completeness_percent
SHP0011,B0011,V099,Bangalore,Coimbatore,2026-08-07 05:37:00,2026-08-07 09:53:00,Completed,Fresh Milk,Chilled,2.0,8.0,241,2026-08-15,Refrigerated Van,500.0,52,52,0,4,5.071346153846154,4.15,5.88,70.12,0,Partial,52,0,0.0,Compliant,1,1,0,0.127,0.127,Valid,3,3,0,Chennai Warehouse -> Bangalore DC -> Madurai Store,Complete,Complete,6,0,0,0,0,0,High,Normal,Compliant,All compliance checks passed,Shipment passed the automated compliance checks.,4,100.0
SHP0012,B0012,V096,Madurai,Salem,2026-08-02 07:50:00,2026-08-02 10:01:00,Completed,Yogurt,Chilled,2.0,8.0,242,2026-08-09,Refrigerated Truck,2000.0,27,27,0,0,4.933333333333334,4.17,5.65,71.96,70,Review,27,0,0.0,Compliant,1,0,1,0.347,0.347,Review,3,3,0,Pune DC -> Madurai Store -> Hyderabad DC,Complete,Complete,8,0,0,0,0,34,High,Normal,Review,Calibration issue,Shipment requires auditor review because one or more evidence sources contain exceptions.,4,100.0
SHP0013,B0013,V060,Hyderabad,Kochi,2026-08-02 10:05:00,2026-08-02 13:12:00,Completed,Fresh Cream,Chilled,2.0,8.0,295,2026-08-28,Refrigerated Van,1000.0,38,38,0,0,5.609473684210526,4.36,11.75,70.01,70,Reliable,38,4,20.0,Critical,1,1,0,0.285,0.285,Valid,2,1,1,Hyderabad DC -> Hyderabad DC,Incomplete,Review,5,0,0,0,0,16,High,Normal,Non-Compliant,Temperature: Critical; Missing custody signature,Shipment is non-compliant based on critical compliance evidence.,4,100.0
SHP0014,B0014,V052,Mumbai,Bengaluru,2026-08-03 09:46:00,2026-08-03 13:11:00,Completed,Cheese,Chilled,2.0,8.0,243,2026-08-30,Refrigerated Truck,1500.0,42,42,0,0,4.941904761904762,4.28,5.76,70.22,71,Reliable,42,0,0.0,Compliant,1,1,0,0.171,0.171,Valid,3,3,0,Salem Hub -> Salem Hub -> Chennai Warehouse,Complete,Complete,7,0,0,0,0,0,High,Normal,Compliant,All compliance checks passed,Shipment passed the automated compliance checks.,4,100.0
SHP0015,B0015,V002,Chennai,Kochi,2026-08-05 06:33:00,2026-08-05 11:53:00,Completed,Fresh Paneer,Chilled,2.0,8.0,145,2026-08-30,Refrigerated Truck,2000.0,65,65,0,0,5.346307692307692,4.01,11.32,70.71,70,Reliable,65,4,20.0,Critical,1,1,0,0.126,0.126,Valid,2,2,0,Pune DC -> Kochi Hub,Complete,Complete,8,1,30,1,50,115,Low,Deviation,Non-Compliant,Temperature: Critical; Route deviation,Shipment is non-compliant based on critical compliance evidence.,4,100.0
SHP0016,B0016,V041,Hyderabad,Salem,2026-08-06 07:41:00,2026-08-06 09:08:00,Completed,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,250,2026-08-11,Refrigerated Truck,2000.0,18,18,0,0,-20.958333333333332,-21.71,-20.25,72.19,71,Reliable,18,0,0.0,Compliant,1,1,0,0.373,0.373,Valid,4,4,0,Madurai Store -> Madurai Store -> Chennai Warehouse -> Salem Hub,Complete,Complete,6,0,0,0,0,39,High,Normal,Compliant,All compliance checks passed,Shipment passed the automated compliance checks.,4,100.0
SHP0017,B0017,V100,Hyderabad,Pune,2026-08-06 08:07:00,2026-08-06 11:10:00,Completed,Fresh Cream,Chilled,2.0,8.0,214,2026-08-14,Refrigerated Truck,1500.0,37,37,0,0,4.981351351351352,3.92,5.98,70.11,70,Reliable,37,0,0.0,Compliant,1,1,0,0.175,0.175,Valid,4,4,0,Hyderabad DC -> Pune DC -> Coimbatore Hub -> Pune DC,Complete,Complete,6,1,25,0,0,39,Moderate,Delayed,Compliant,Traffic delay,Shipment passed the automated compliance checks.,4,100.0
SHP0018,B0018,V062,Pune,Bengaluru,2026-08-07 05:33:00,2026-08-07 06:39:00,Completed,Frozen French Fries,Frozen,-25.0,-18.0,186,2026-08-09,Refrigerated Truck,3000.0,14,14,0,0,-20.890714285714285,-21.44,-19.97,70.57,71,Reliable,14,0,0.0,Compliant,1,1,0,0.358,0.358,Valid,3,3,0,Pune DC -> Bangalore DC -> Madurai Store,Complete,Complete,7,1,34,0,0,73,Moderate,Delayed,Compliant,Traffic delay,Shipment passed the automated compliance checks.,4,100.0
SHP0019,B0019,V031,Madurai,Coimbatore,2026-08-01 08:55:00,2026-08-01 14:46:00,Completed,Yogurt,Chilled,2.0,8.0,201,2026-08-29,Refrigerated Van,750.0,71,71,0,0,5.28169014084507,3.94,11.64,70.19,70,Reliable,71,4,20.0,Critical,1,1,0,0.329,0.329,Valid,3,3,0,Chennai Warehouse -> Hyderabad DC -> Kochi Hub,Complete,Complete,6,0,0,0,0,0,High,Normal,Non-Compliant,Temperature: Critical,Shipment is non-compliant based on critical compliance evidence.,4,100.0
SHP0020,B0020,V011,Salem,Madurai,2026-08-06 09:43:00,2026-08-06 12:11:00,Completed,Fresh Paneer,Chilled,2.0,8.0,163,2026-08-23,Refrigerated Van,750.0,30,30,0,0,5.012333333333333,4.26,6.05,70.15,70,Reliable,30,0,0.0,Compliant,1,1,0,0.318,0.318,Valid,3,3,0,Salem Hub -> Salem Hub -> Kochi Hub,Complete,Complete,8,0,0,0,0,23,High,Normal,Compliant,All compliance checks passed,Shipment passed the automated compliance checks.,4,100.0
SHP0021,B0021,V097,Pune,Bangalore,2026-08-01 05:37:00,2026-08-01 07:11:00,Completed,Fresh Cream,Chilled,2.0,8.0,25,2026-08-20,Refrigerated Truck,2000.0,19,19,0,0,5.062631578947369,4.37,5.72,73.33,70,Reliable,19,0,0.0,Compliant,1,1,0,0.201,0.201,Valid,4,4,0,Pune DC -> Madurai Store -> Salem Hub -> Chennai Warehouse,Complete,Complete,5,0,0,0,0,43,High,Normal,Compliant,All compliance checks passed,Shipment passed the automated compliance checks.,4,100.0
SHP0022,B0022,V002,Chennai,Kochi,2026-08-03 06:02:00,2026-08-03 07:32:00,Completed,Frozen Peas,Frozen,-25.0,-18.0,143,2026-08-27,Refrigerated Truck,2000.0,19,19,0,0,-19.98842105263158,-21.51,-15.6,71.97,72,Reliable,19,4,20.0,Critical,1,1,0,0.126,0.126,Valid,2,2,0,Coimbatore Hub -> Bangalore DC,Complete,Complete,6,0,0,0,0,18,High,Normal,Non-Compliant,Temperature: Critical,Shipment is non-compliant based on critical compliance evidence.,4,100.0
SHP0023,B0023,V037,Salem,Mumbai,2026-08-04 07:40:00,2026-08-04 12:56:00,Completed,Cheese,Chilled,2.0,8.0,143,2026-08-26,Refrigerated Truck,2500.0,64,64,0,0,5.04140625,4.39,5.98,70.64,70,Reliable,64,0,0.0,Compliant,1,1,0,0.3,0.3,Valid,2,2,0,Pune DC -> Chennai Warehouse,Complete,Complete,8,0,0,0,0,60,High,Normal,Compliant,All compliance checks passed,Shipment passed the automated compliance checks.,4,100.0
SHP0024,B0024,V092,Salem,Bangalore,2026-08-04 10:34:00,2026-08-04 16:09:00,Completed,Cheese,Chilled,2.0,8.0,249,2026-08-29,Refrigerated Van,500.0,68,68,0,0,5.118382352941176,4.12,6.01,70.2,70,Reliable,68,0,0.0,Compliant,1,1,0,0.27,0.27,Valid,4,4,0,Salem Hub -> Salem Hub -> Pune DC -> Chennai Warehouse,Complete,Complete,6,0,0,0,0,73,High,Normal,Compliant,All compliance checks passed,Shipment passed the automated compliance checks.,4,100.0
SHP0025,B0025,V010,Bengaluru,Coimbatore,2026-08-06 07:05:00,2026-08-06 10:43:00,Completed,Frozen Peas,Frozen,-25.0,-18.0,170,2026-08-11,Refrigerated Truck,2500.0,44,44,0,0,-20.60181818181818,-21.97,-3.3,70.31,70,Review,44,1,5.0,Warning,1,0,1,0.736,0.736,Review,4,4,0,Kochi Hub -> Chennai Warehouse -> Madurai Store -> Salem Hub,Complete,Complete,5,0,0,0,0,36,High,Normal,Review,Temperature: Warning; Calibration issue,Shipment requires auditor review because one or more evidence sources contain exceptions.,4,100.0
SHP0026,B0026,V026,Bangalore,Mumbai,2026-08-07 06:51:00,2026-08-07 09:10:00,Completed,Yogurt,Chilled,2.0,8.0,176,2026-08-25,Refrigerated Truck,2500.0,28,27,1,4,5.023333333333333,4.18,5.72,70.13,0,Partial,28,0,0.0,Compliant,1,1,0,0.07,0.07,Valid,3,3,0,Salem Hub -> Hyderabad DC -> Pune DC,Complete,Complete,6,0,0,0,0,0,High,Normal,Compliant,All compliance checks passed,Shipment passed the automated compliance checks.,4,100.0
SHP0027,B0027,V019,Mumbai,Madurai,2026-08-05 08:37:00,2026-08-05 10:10:00,Completed,Cheese,Chilled,2.0,8.0,291,2026-08-15,Refrigerated Truck,1500.0,19,18,1,0,5.205,4.72,5.86,73.68,72,Review,19,0,0.0,Compliant,1,0,1,0.335,0.335,Review,3,3,0,Salem Hub -> Chennai Warehouse -> Coimbatore Hub,Complete,Complete,7,0,0,0,0,55,High,Normal,Review,Calibration issue,Shipment requires auditor review because one or more evidence sources contain exceptions.,4,100.0
SHP0028,B0028,V007,Kochi,Salem,2026-08-06 10:54:00,2026-08-06 13:56:00,Completed,Fresh Cream,Chilled,2.0,8.0,189,2026-08-15,Refrigerated Van,750.0,37,37,0,0,5.026216216216216,3.86,5.67,72.99,70,Reliable,37,0,0.0,Compliant,1,1,0,0.357,0.357,Valid,2,2,0,Coimbatore Hub -> Pune DC,Complete,Complete,6,0,0,0,0,0,High,Normal,Compliant,All compliance checks passed,Shipment passed the automated compliance checks.,4,100.0
SHP0029,B0029,V032,Chennai,Hyderabad,2026-08-01 05:59:00,2026-08-01 10:41:00,Completed,Fresh Paneer,Chilled,2.0,8.0,176,2026-08-12,Refrigerated Van,1200.0,57,57,0,0,5.045964912280702,3.84,5.96,70.56,70,Reliable,57,0,0.0,Compliant,1,1,0,0.252,0.252,Valid,3,3,0,Pune DC -> Madurai Store -> Kochi Hub,Complete,Complete,8,1,31,0,0,97,Moderate,Delayed,Compliant,Traffic delay,Shipment passed the automated compliance checks.,4,100.0
SHP0030,B0030,V083,Bangalore,Pune,2026-08-06 09:38:00,2026-08-06 11:06:00,Completed,Frozen Peas,Frozen,-25.0,-18.0,118,2026-08-14,Refrigerated Van,1000.0,18,18,0,0,-20.825555555555557,-21.46,-20.35,71.11,70,Reliable,18,0,0.0,Compliant,1,1,0,0.331,0.331,Valid,4,4,0,Salem Hub -> Chennai Warehouse -> Salem Hub -> Chennai Warehouse,Complete,Complete,8,1,13,1,26,39,Low,Deviation,Review,Route deviation,Shipment requires auditor review because one or more evidence sources contain exceptions.,4,100.0
SHP0031,B0031,V080,Kochi,Coimbatore,2026-08-07 05:00:00,2026-08-07 07:10:00,Completed,Frozen Paneer,Frozen,-25.0,-18.0,114,2026-08-10,Refrigerated Van,750.0,27,27,0,4,-21.064444444444444,-22.0,-20.08,72.71,0,Partial,27,0,0.0,Compliant,1,1,0,0.251,0.251,Valid,2,2,0,Salem Hub -> Hyderabad DC,Complete,Complete,6,0,0,0,0,16,High,Normal,Compliant,All compliance checks passed,Shipment passed the automated compliance checks.,4,100.0
SHP0032,B0032,V036,Chennai,Coimbatore,2026-08-03 08:22:00,2026-08-03 13:49:00,Completed,Frozen French Fries,Frozen,-25.0,-18.0,161,2026-08-27,Refrigerated Van,1000.0,66,66,0,0,-20.974545454545453,-21.68,-20.02,70.62,70,Reliable,66,0,0.0,Compliant,1,1,0,0.259,0.259,Valid,3,3,0,Kochi Hub -> Pune DC -> Salem Hub,Complete,Complete,5,0,0,0,0,0,High,Normal,Compliant,All compliance checks passed,Shipment passed the automated compliance checks.,4,100.0
SHP0033,B0033,V040,Mumbai,Kochi,2026-08-01 06:23:00,2026-08-01 08:27:00,Completed,Fresh Milk,Chilled,2.0,8.0,119,2026-08-13,Refrigerated Truck,3000.0,25,25,0,0,4.9896,4.2,6.03,70.86,70,Reliable,25,0,0.0,Compliant,1,1,0,0.369,0.369,Valid,2,2,0,Salem Hub -> Salem Hub,Complete,Complete,7,0,0,1,52,94,Low,Deviation,Review,Route deviation,Shipment requires auditor review because one or more evidence sources contain exceptions.,4,100.0
SHP0034,B0034,V045,Kochi,Bangalore,2026-08-05 05:21:00,2026-08-05 10:00:00,Completed,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,111,2026-08-13,Refrigerated Truck,2000.0,56,56,0,0,-20.66875,-21.86,-4.34,71.08,70,Review,56,1,5.0,Warning,1,0,1,0.902,0.902,Review,4,3,1,Coimbatore Hub -> Hyderabad DC -> Pune DC -> Kochi Hub,Incomplete,Review,5,0,0,0,0,13,High,Normal,Non-Compliant,Temperature: Warning; Calibration issue; Missing custody signature,Shipment is non-compliant based on critical compliance evidence.,4,100.0
SHP0035,B0035,V063,Kochi,Mumbai,2026-08-06 05:16:00,2026-08-06 11:11:00,Completed,Frozen Paneer,Frozen,-25.0,-18.0,84,2026-08-12,Refrigerated Van,500.0,72,72,0,0,-20.78361111111111,-22.04,-2.82,70.48,70,Reliable,72,1,5.0,Warning,1,1,0,0.258,0.258,Valid,3,3,0,Coimbatore Hub -> Pune DC -> Salem Hub,Complete,Complete,6,0,0,0,0,35,High,Normal,Review,Temperature: Warning,Shipment requires auditor review because one or more evidence sources contain exceptions.,4,100.0
SHP0036,B0036,V090,Bangalore,Pune,2026-08-05 08:32:00,2026-08-05 12:36:00,Completed,Frozen Peas,Frozen,-25.0,-18.0,169,2026-08-26,Refrigerated Truck,3000.0,49,49,0,0,-20.92061224489796,-21.79,-20.13,70.57,71,Review,49,0,0.0,Compliant,1,0,1,0.953,0.953,Review,4,4,0,Pune DC -> Coimbatore Hub -> Chennai Warehouse -> Chennai Warehouse,Complete,Complete,5,0,0,0,0,5,High,Normal,Review,Calibration issue,Shipment requires auditor review because one or more evidence sources contain exceptions.,4,100.0
SHP0037,B0037,V026,Chennai,Pune,2026-08-01 09:10:00,2026-08-01 13:18:00,Completed,Frozen French Fries,Frozen,-25.0,-18.0,72,2026-08-31,Refrigerated Truck,2500.0,50,50,0,0,-20.9186,-21.7,-19.96,70.89,70,Reliable,50,0,0.0,Compliant,1,1,0,0.07,0.07,Valid,3,3,0,Madurai Store -> Chennai Warehouse -> Hyderabad DC,Complete,Complete,6,1,44,0,0,56,Moderate,Delayed,Compliant,Traffic delay,Shipment passed the automated compliance checks.,4,100.0
SHP0038,B0038,V088,Coimbatore,Kochi,2026-08-06 05:57:00,2026-08-06 11:50:00,Completed,Frozen Paneer,Frozen,-25.0,-18.0,165,2026-08-19,Refrigerated Van,500.0,71,70,1,0,-20.948714285714285,-22.15,-19.98,70.16,70,Partial,71,0,0.0,Compliant,1,1,0,0.384,0.384,Valid,2,1,1,Bangalore DC -> Madurai Store,Incomplete,Review,7,1,34,1,52,108,Low,Deviation,Review,Missing custody signature; Route deviation,Shipment requires auditor review because one or more evidence sources contain exceptions.,4,100.0
SHP0039,B0039,V042,Bangalore,Hyderabad,2026-08-05 10:32:00,2026-08-05 11:33:00,Completed,Cheese,Chilled,2.0,8.0,194,2026-08-09,Refrigerated Truck,2000.0,13,13,0,0,4.963076923076923,4.03,5.6,71.21,70,Reliable,13,0,0.0,Compliant,1,1,0,0.15,0.15,Valid,4,4,0,Coimbatore Hub -> Kochi Hub -> Kochi Hub -> Bangalore DC,Complete,Complete,6,1,50,0,0,63,Moderate,Delayed,Compliant,Traffic delay,Shipment passed the automated compliance checks.,4,100.0
SHP0040,B0040,V072,Chennai,Hyderabad,2026-08-02 05:30:00,2026-08-02 09:36:00,Completed,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,264,2026-08-07,Refrigerated Van,1000.0,50,49,1,4,-20.651020408163266,-21.95,-15.43,70.56,0,Partial,50,4,20.0,Critical,1,1,0,0.136,0.136,Valid,3,3,0,Chennai Warehouse -> Coimbatore Hub -> Hyderabad DC,Complete,Complete,8,1,18,0,0,27,Moderate,Delayed,Non-Compliant,Temperature: Critical; Traffic delay,Shipment is non-compliant based on critical compliance evidence.,4,100.0
SHP0041,B0041,V086,Salem,Coimbatore,2026-08-01 06:59:00,2026-08-01 08:17:00,Completed,Frozen French Fries,Frozen,-25.0,-18.0,271,2026-08-06,Refrigerated Van,1200.0,16,15,1,0,-20.934666666666665,-21.58,-20.25,70.56,71,Partial,16,0,0.0,Compliant,1,1,0,0.124,0.124,Valid,3,3,0,Pune DC -> Hyderabad DC -> Bangalore DC,Complete,Complete,7,0,0,1,69,100,Low,Deviation,Review,Route deviation,Shipment requires auditor review because one or more evidence sources contain exceptions.,4,100.0
SHP0042,B0042,V091,Mumbai,Salem,2026-08-06 06:20:00,2026-08-06 09:27:00,Completed,Frozen Corn,Frozen,-25.0,-18.0,96,2026-08-29,Refrigerated Truck,1500.0,38,38,0,0,-20.916052631578946,-21.85,-19.96,70.02,70,Reliable,38,0,0.0,Compliant,1,1,0,0.387,0.387,Valid,4,3,1,Chennai Warehouse -> Chennai Warehouse -> Kochi Hub -> Kochi Hub,Incomplete,Review,6,2,67,0,0,67,Moderate,Delayed,Review,Missing custody signature; Traffic delay,Shipment requires auditor review because one or more evidence sources contain exceptions.,4,100.0
SHP0043,B0043,V021,Salem,Madurai,2026-08-01 07:52:00,2026-08-01 09:31:00,Completed,Fresh Milk,Chilled,2.0,8.0,147,2026-08-07,Refrigerated Truck,2500.0,20,20,0,0,5.045,4.53,5.65,75.75,70,Review,20,0,0.0,Compliant,1,0,1,0.128,0.128,Review,3,3,0,Hyderabad DC -> Pune DC -> Bangalore DC,Complete,Complete,7,0,0,0,0,20,High,Normal,Review,Calibration issue,Shipment requires auditor review because one or more evidence sources contain exceptions.,4,100.0
SHP0044,B0044,V070,Bengaluru,Madurai,2026-08-03 05:32:00,2026-08-03 06:58:00,Completed,Fresh Cream,Chilled,2.0,8.0,135,2026-08-28,Refrigerated Van,1000.0,18,17,1,4,5.129411764705883,4.46,5.78,71.3,0,Partial,18,0,0.0,Compliant,1,1,0,0.064,0.064,Valid,4,4,0,Salem Hub -> Salem Hub -> Bangalore DC -> Kochi Hub,Complete,Complete,6,0,0,0,0,67,High,Normal,Compliant,All compliance checks passed,Shipment passed the automated compliance checks.,4,100.0
SHP0045,B0045,V008,Coimbatore,Hyderabad,2026-08-01 09:02:00,2026-08-01 13:27:00,Completed,Cheese,Chilled,2.0,8.0,246,2026-08-13,Refrigerated Van,750.0,54,54,0,0,5.061481481481482,3.92,5.74,71.0,70,Review,54,0,0.0,Compliant,1,0,1,0.186,0.186,Review,2,2,0,Salem Hub -> Salem Hub,Complete,Complete,8,0,0,0,0,14,High,Normal,Review,Calibration issue,Shipment requires auditor review because one or more evidence sources contain exceptions.,4,100.0
SHP0046,B0046,V083,Bangalore,Pune,2026-08-04 07:49:00,2026-08-04 11:28:00,Completed,Fresh Paneer,Chilled,2.0,8.0,50,2026-08-23,Refrigerated Van,1000.0,44,44,0,0,4.900454545454545,4.25,5.87,70.63,70,Reliable,44,0,0.0,Compliant,1,1,0,0.331,0.331,Valid,3,2,1,Kochi Hub -> Salem Hub -> Pune DC,Incomplete,Review,8,0,0,1,56,141,Low,Deviation,Review,Missing custody signature; Route deviation,Shipment requires auditor review because one or more evidence sources contain exceptions.,4,100.0
SHP0047,B0047,V002,Madurai,Bangalore,2026-08-02 09:29:00,2026-08-02 10:33:00,Completed,Frozen Corn,Frozen,-25.0,-18.0,128,2026-08-12,Refrigerated Truck,2000.0,13,13,0,0,-19.78076923076923,-21.86,-3.72,71.6,71,Reliable,13,1,5.0,Warning,1,1,0,0.126,0.126,Valid,2,2,0,Madurai Store -> Kochi Hub,Complete,Complete,7,0,0,0,0,55,High,Normal,Review,Temperature: Warning,Shipment requires auditor review because one or more evidence sources contain exceptions.,4,100.0
SHP0048,B0048,V047,Madurai,Hyderabad,2026-08-06 07:36:00,2026-08-06 11:11:00,Completed,Frozen Corn,Frozen,-25.0,-18.0,142,2026-08-09,Refrigerated Van,500.0,44,44,0,0,-20.978181818181817,-21.75,-20.29,70.74,70,Review,44,0,0.0,Compliant,1,0,1,0.739,0.739,Review,2,2,0,Pune DC -> Madurai Store,Complete,Complete,5,0,0,0,0,0,High,Normal,Review,Calibration issue,Shipment requires auditor review because one or more evidence sources contain exceptions.,4,100.0
SHP0049,B0049,V100,Bengaluru,Hyderabad,2026-08-01 08:23:00,2026-08-01 13:35:00,Completed,Frozen Corn,Frozen,-25.0,-18.0,21,2026-08-17,Refrigerated Truck,1500.0,63,63,0,4,-21.02047619047619,-21.79,-20.11,70.33,0,Partial,63,0,0.0,Compliant,1,1,0,0.175,0.175,Valid,2,1,1,Hyderabad DC -> Bangalore DC,Incomplete,Review,8,0,0,0,0,18,High,Normal,Review,Missing custody signature,Shipment requires auditor review because one or more evidence sources contain exceptions.,4,100.0
