vehicle_id,vehicle_type,capacity_kg,last_shipment,recency_days,frequency,total_volume,R_score,F_score,M_score,RFM_score,RFM_segment
V058,Refrigerated Van,500.0,2026-08-07 09:51:00,0,7,948,4,4,3,11,Loyal Assets
V095,Refrigerated Van,750.0,2026-08-07 07:11:00,0,6,948,5,3,3,11,Loyal Assets
V079,Refrigerated Van,500.0,2026-08-07 06:21:00,0,6,774,5,3,2,10,Loyal Assets
V051,Refrigerated Truck,3000.0,2026-08-07 09:57:00,0,7,854,4,4,2,10,Loyal Assets
V017,Refrigerated Truck,2500.0,2026-08-07 05:14:00,0,7,1292,2,3,5,10,Loyal Assets
V045,Refrigerated Truck,2000.0,2026-08-07 09:04:00,0,7,979,3,4,3,10,Loyal Assets
V032,Refrigerated Van,1200.0,2026-08-07 05:49:00,0,6,1385,3,2,5,10,Loyal Assets
V043,Refrigerated Van,1000.0,2026-08-07 07:54:00,0,7,965,3,4,3,10,Loyal Assets
V035,Refrigerated Van,750.0,2026-08-07 06:48:00,0,7,957,3,4,3,10,Loyal Assets
V007,Refrigerated Van,750.0,2026-08-07 08:28:00,0,7,1270,2,3,5,10,Loyal Assets
V036,Refrigerated Van,1000.0,2026-08-07 06:41:00,0,7,929,3,4,3,10,Loyal Assets
V028,Refrigerated Van,1000.0,2026-08-07 05:24:00,0,6,1245,3,2,5,10,Loyal Assets
V031,Refrigerated Van,750.0,2026-08-07 05:21:00,0,6,1387,3,2,5,10,Loyal Assets
V091,Refrigerated Truck,1500.0,2026-08-07 05:09:00,0,6,821,5,3,2,10,Loyal Assets
V042,Refrigerated Truck,2000.0,2026-08-07 08:06:00,0,6,1137,3,3,4,10,Loyal Assets
V001,Refrigerated Van,500.0,2026-08-06 10:47:00,1,6,1345,2,2,5,9,Active Assets
V049,Refrigerated Van,1200.0,2026-08-07 10:50:00,0,6,748,4,3,2,9,Active Assets
V081,Refrigerated Van,500.0,2026-08-07 06:11:00,0,5,763,5,2,2,9,Active Assets
V071,Refrigerated Truck,2000.0,2026-08-07 08:17:00,0,6,814,4,3,2,9,Active Assets
V088,Refrigerated Van,500.0,2026-08-07 05:10:00,0,4,430,5,2,2,9,Active Assets
V100,Refrigerated Truck,1500.0,2026-08-07 09:30:00,0,5,445,5,2,2,9,Active Assets
V022,Refrigerated Van,500.0,2026-08-07 10:04:00,0,7,742,3,4,2,9,Active Assets
V011,Refrigerated Van,750.0,2026-08-07 08:40:00,0,7,1067,2,3,4,9,Active Assets
V002,Refrigerated Truck,2000.0,2026-08-07 06:41:00,0,7,1121,2,3,4,9,Active Assets
V004,Refrigerated Van,500.0,2026-08-07 06:30:00,0,6,1362,2,2,5,9,Active Assets
V024,Refrigerated Truck,1500.0,2026-08-07 07:30:00,0,6,1107,3,2,4,9,Active Assets
V018,Refrigerated Truck,1500.0,2026-08-07 05:30:00,0,7,966,2,3,3,8,Active Assets
V008,Refrigerated Van,750.0,2026-08-07 06:03:00,0,6,1112,2,2,4,8,Active Assets
V005,Refrigerated Truck,1500.0,2026-08-07 06:29:00,0,7,1008,2,3,3,8,Active Assets
V016,Refrigerated Truck,1500.0,2026-08-07 09:16:00,0,7,888,2,3,3,8,Active Assets
V010,Refrigerated Truck,2500.0,2026-08-07 09:48:00,0,7,868,2,3,2,7,Active Assets
V034,Refrigerated Van,1000.0,2026-08-07 07:13:00,0,5,809,3,2,2,7,Active Assets
V033,Refrigerated Truck,2500.0,2026-08-07 10:22:00,0,6,609,3,2,2,7,Active Assets
V030,Refrigerated Truck,1500.0,2026-08-06 05:55:00,1,6,882,2,2,3,7,Active Assets
V021,Refrigerated Truck,2500.0,2026-08-06 09:12:00,1,6,912,2,2,3,7,Active Assets
V012,Refrigerated Truck,2500.0,2026-08-07 07:47:00,0,6,1017,2,2,3,7,Active Assets
V054,Refrigerated Truck,1500.0,2026-08-06 10:00:00,1,6,705,2,3,2,7,Active Assets
V006,Refrigerated Van,500.0,2026-08-06 06:51:00,1,6,657,2,2,2,6,At-Risk Assets
V014,Refrigerated Van,1000.0,,2,0,0,2,1,1,4,At-Risk Assets
V067,Refrigerated Van,1200.0,,2,0,0,2,1,1,4,At-Risk Assets
V009,Refrigerated Truck,2000.0,,2,0,0,2,1,1,4,At-Risk Assets
V015,Refrigerated Van,500.0,,2,0,0,2,1,1,4,At-Risk Assets
V089,Refrigerated Truck,2500.0,,2,0,0,1,1,1,3,Low-Activity Assets
V094,Refrigerated Van,750.0,,2,0,0,1,1,1,3,Low-Activity Assets
V084,Refrigerated Truck,2000.0,,2,0,0,1,1,1,3,Low-Activity Assets
V048,Refrigerated Van,750.0,,2,0,0,1,1,1,3,Low-Activity Assets
V068,Refrigerated Van,750.0,,2,0,0,1,1,1,3,Low-Activity Assets
V038,Refrigerated Van,750.0,,2,0,0,1,1,1,3,Low-Activity Assets
V077,Refrigerated Truck,1500.0,,2,0,0,1,1,1,3,Low-Activity Assets
V069,Refrigerated Van,1200.0,,2,0,0,1,1,1,3,Low-Activity Assets
V055,Refrigerated Truck,3000.0,,2,0,0,1,1,1,3,Low-Activity Assets
V076,Refrigerated Van,500.0,,2,0,0,1,1,1,3,Low-Activity Assets
V044,Refrigerated Truck,3000.0,,2,0,0,1,1,1,3,Low-Activity Assets
V074,Refrigerated Truck,3000.0,,2,0,0,1,1,1,3,Low-Activity Assets
V025,Refrigerated Van,500.0,,2,0,0,1,1,1,3,Low-Activity Assets
V003,Refrigerated Van,750.0,,2,0,0,1,1,1,3,Low-Activity Assets
V029,Refrigerated Truck,2000.0,,2,0,0,1,1,1,3,Low-Activity Assets
V073,Refrigerated Truck,2500.0,,2,0,0,1,1,1,3,Low-Activity Assets
V078,Refrigerated Van,750.0,,2,0,0,1,1,1,3,Low-Activity Assets
V066,Refrigerated Van,500.0,,2,0,0,1,1,1,3,Low-Activity Assets
V027,Refrigerated Truck,2500.0,,2,0,0,1,1,1,3,Low-Activity Assets
V013,Refrigerated Truck,2000.0,,2,0,0,1,1,1,3,Low-Activity Assets
