sensor_id,vehicle_id,sensor_type,installation_date,status
S134,V093,Temperature + Humidity,2025-03-26,Active
S135,V017,Temperature,2025-11-15,Active
S136,V051,Temperature,2025-10-31,Active
S137,V011,Temperature + Humidity,2025-11-26,Active
S138,V018,Temperature + Humidity,2026-03-20,Active
S139,V024,Temperature + Humidity,2025-01-26,Active
S140,V049,Temperature,2025-06-17,Active
S141,V059,Temperature + Humidity,2025-06-17,Active
S142,V098,Temperature + Humidity,2026-03-27,Active
S143,V036,Temperature + Humidity,2026-01-21,Active
S144,V033,Temperature,2026-03-04,Active
S145,V061,Temperature,2025-01-10,Active
S146,V045,Temperature,2025-04-25,Active
S147,V100,Temperature,2026-05-06,Active
S148,V097,Temperature,2025-01-16,Active
S149,V026,Temperature,2026-03-06,Active
S150,V080,Temperature,2025-03-20,Active
