shipment_id,batch_id,vehicle_id,origin,destination,departure_time,arrival_time,status,total_sensor_records,excursion_records,total_excursion_minutes,max_temperature,min_temperature,average_temperature,review_records,recovered_records,temperature_status,sensors_used,invalid_calibration_sensors,max_calibration_error,calibration_status,total_handovers,missing_signatures,custody_status,traffic_delays,route_deviations,total_delay_minutes,route_status,overall_compliance,compliance_reason,dispatcher_override,override_reason
SHP0054,B0054,V091,Salem,Pune,2026-08-07 05:09:00,2026-08-07 08:32:00,Completed,41,0,0.0,-20.342930818697614,-21.91847238125489,-21.048394567200177,0,0,Compliant,1,0,0.387,Valid,3,0,Complete,0,0,0,Normal,Compliant,All compliance checks passed,No,
SHP0055,B0055,V007,Bangalore,Chennai,2026-08-01 06:57:00,2026-08-01 12:23:00,Completed,66,4,20.0,-15.07600605846275,-22.024933463518124,-20.683924535143067,4,0,Critical,1,0,0.357,Valid,4,0,Complete,1,0,52,Delayed,Non-Compliant,Temperature: Critical; Traffic delay,No,
SHP0056,B0056,V053,Salem,Madurai,2026-08-02 08:47:00,2026-08-02 10:30:00,Completed,21,0,0.0,-20.19027615068526,-21.884744764531803,-20.987423647752045,0,0,Compliant,1,0,0.198,Valid,2,0,Complete,0,0,61,Normal,Compliant,All compliance checks passed,No,
SHP0057,B0057,V017,Bengaluru,Bangalore,2026-08-01 09:08:00,2026-08-01 13:29:00,Completed,53,4,20.0,11.392554417534964,4.211958472915265,5.410121164501975,2,0,Critical,1,0,0.399,Valid,2,0,Complete,0,0,66,Normal,Non-Compliant,Temperature: Critical,No,
SHP0058,B0058,V071,Bangalore,Bengaluru,2026-08-05 09:03:00,2026-08-05 13:45:00,Completed,57,1,5.0,6.243967422402145,-1.9238674195216672,4.913606077752761,57,0,Warning,1,1,0.367,Review,3,0,Complete,0,0,0,Normal,Review,Temperature: Warning; Calibration issue,No,
SHP0059,B0059,V041,Coimbatore,Hyderabad,2026-08-02 07:16:00,2026-08-02 10:57:00,Completed,45,0,0.0,5.669796973339015,4.138662832051502,5.040726966251305,0,0,Compliant,1,0,0.373,Valid,4,0,Complete,0,0,5,Normal,Compliant,All compliance checks passed,No,
SHP0060,B0060,V045,Salem,Madurai,2026-08-01 07:28:00,2026-08-01 10:47:00,Completed,40,0,0.0,-20.3865089160334,-21.73847514489524,-21.146560014537208,0,0,Compliant,1,0,0.162,Valid,3,1,Review,0,0,16,Normal,Review,Missing custody signature,No,
SHP0061,B0061,V049,Hyderabad,Bangalore,2026-08-02 06:08:00,2026-08-02 12:07:00,Completed,72,0,0.0,5.699833561682168,4.357369159704528,5.030423734597544,0,0,Compliant,1,0,0.107,Valid,2,1,Review,0,0,0,Normal,Review,Missing custody signature,No,
SHP0062,B0062,V016,Bangalore,Coimbatore,2026-08-04 05:10:00,2026-08-04 10:00:00,Completed,59,4,20.0,-15.14250313209324,-21.88772014909901,-20.644250156398467,1,0,Critical,1,0,0.341,Valid,2,0,Complete,0,0,48,Normal,Non-Compliant,Temperature: Critical,No,
SHP0063,B0063,V017,Pune,Madurai,2026-08-02 08:07:00,2026-08-02 13:41:00,Completed,67,0,0.0,-19.95168276358801,-22.05429909560675,-21.013740875920146,0,0,Compliant,1,0,0.292,Valid,2,0,Complete,0,0,24,Normal,Compliant,All compliance checks passed,No,
SHP0064,B0064,V080,Madurai,Hyderabad,2026-08-04 08:19:00,2026-08-04 13:16:00,Completed,60,4,20.0,11.636970311800036,4.1177735771603725,5.405777765902766,0,0,Critical,1,0,0.251,Valid,2,0,Complete,1,0,97,Delayed,Non-Compliant,Temperature: Critical; Traffic delay,No,
SHP0065,B0065,V033,Kochi,Bangalore,2026-08-01 05:10:00,2026-08-01 08:45:00,Completed,44,4,20.0,11.933778851130748,4.214949723330968,5.504456784231945,2,0,Critical,1,0,0.12,Valid,2,0,Complete,0,0,33,Normal,Non-Compliant,Temperature: Critical,No,
SHP0066,B0066,V061,Bengaluru,Chennai,2026-08-02 06:53:00,2026-08-02 10:40:00,Completed,46,0,0.0,5.804908178280306,3.9881759689222784,5.1426054606107785,46,0,Compliant,1,1,0.249,Review,3,1,Review,1,0,44,Delayed,Non-Compliant,Calibration issue; Missing custody signature; Traffic delay,No,
SHP0067,B0067,V028,Coimbatore,Bangalore,2026-08-01 10:15:00,2026-08-01 14:17:00,Completed,49,4,20.0,-15.056420906561115,-21.51844666569996,-20.686025738598275,1,0,Critical,1,0,0.143,Valid,4,0,Complete,1,0,30,Delayed,Non-Compliant,Temperature: Critical; Traffic delay,No,
SHP0068,B0068,V061,Salem,Mumbai,2026-08-06 05:43:00,2026-08-06 09:16:00,Completed,43,0,0.0,6.077213465592199,4.228930968261756,5.041799775069332,43,0,Compliant,1,1,0.249,Review,4,1,Review,1,0,72,Delayed,Non-Compliant,Calibration issue; Missing custody signature; Traffic delay,No,
SHP0069,B0069,V083,Kochi,Coimbatore,2026-08-01 05:25:00,2026-08-01 10:16:00,Completed,59,1,5.0,-3.0369880832492395,-22.09900193709009,-20.779588872572788,2,0,Warning,1,0,0.331,Valid,3,1,Review,0,0,0,Normal,Review,Temperature: Warning; Missing custody signature,No,
SHP0070,B0070,V059,Mumbai,Hyderabad,2026-08-05 05:29:00,2026-08-05 07:21:00,Completed,23,4,20.0,11.693727721760164,4.547972264383857,6.124099328842317,1,0,Critical,1,0,0.194,Valid,4,0,Complete,0,0,21,Normal,Non-Compliant,Temperature: Critical,No,
SHP0071,B0071,V071,Coimbatore,Bangalore,2026-08-06 05:03:00,2026-08-06 07:56:00,Completed,35,0,0.0,5.631247223024873,3.803545611639711,5.013617417421941,35,0,Compliant,1,1,0.367,Review,2,1,Review,0,0,29,Normal,Non-Compliant,Calibration issue; Missing custody signature,No,
SHP0072,B0072,V051,Coimbatore,Hyderabad,2026-08-03 08:23:00,2026-08-03 10:06:00,Completed,21,0,0.0,5.794910399692324,4.23509800983209,4.967708793390233,0,0,Compliant,1,0,0.209,Valid,3,0,Complete,1,0,60,Delayed,Compliant,Traffic delay,No,
SHP0073,B0073,V064,Bengaluru,Kochi,2026-08-01 05:01:00,2026-08-01 06:34:00,Completed,19,0,0.0,5.964670670231369,4.3380450255086815,5.071197775299097,19,0,Compliant,1,1,0.313,Review,4,0,Complete,1,0,57,Delayed,Review,Calibration issue; Traffic delay,No,
SHP0074,B0074,V034,Hyderabad,Pune,2026-08-05 06:05:00,2026-08-05 09:54:00,Completed,46,0,0.0,5.7550750629360765,4.004669058634804,4.9028970677655455,0,1,Compliant,1,0,0.136,Valid,4,0,Complete,0,0,70,Normal,Compliant,All compliance checks passed,No,
SHP0075,B0075,V070,Bangalore,Chennai,2026-08-06 08:03:00,2026-08-06 10:29:00,Completed,30,0,0.0,-20.298026771341103,-21.81997651143099,-21.04971159684698,0,0,Compliant,1,0,0.13,Valid,4,0,Complete,0,1,66,Deviation,Review,Route deviation,No,
SHP0076,B0076,V071,Bengaluru,Salem,2026-08-02 10:25:00,2026-08-02 15:39:00,Completed,63,5,25.0,13.477268760152938,4.21955925438455,5.501676305677805,2,0,Critical,1,0,0.15,Valid,4,0,Complete,0,0,9,Normal,Non-Compliant,Temperature: Critical,No,
SHP0077,B0077,V037,Chennai,Salem,2026-08-07 10:27:00,2026-08-07 12:55:00,Completed,30,0,0.0,-20.468543668700708,-22.162795287728656,-21.122079494508103,0,0,Compliant,1,0,0.3,Valid,3,1,Review,0,1,68,Deviation,Review,Missing custody signature; Route deviation,No,
SHP0078,B0078,V036,Madurai,Hyderabad,2026-08-01 06:17:00,2026-08-01 09:40:00,Completed,41,0,0.0,-20.087339265384465,-21.753260083223434,-21.04994711831549,0,0,Compliant,1,0,0.259,Valid,4,0,Complete,0,0,24,Normal,Compliant,All compliance checks passed,No,
SHP0079,B0079,V062,Pune,Coimbatore,2026-08-02 05:39:00,2026-08-02 08:44:00,Completed,38,4,20.0,-16.028090501335186,-21.81032314924455,-20.45790571942938,0,0,Critical,1,0,0.358,Valid,2,0,Complete,2,0,65,Delayed,Non-Compliant,Temperature: Critical; Traffic delay,No,
SHP0080,B0080,V087,Kochi,Pune,2026-08-04 08:56:00,2026-08-04 14:37:00,Completed,69,0,0.0,-20.2235130254145,-21.995123462614032,-20.958799402164765,0,0,Compliant,1,0,0.052,Valid,2,0,Complete,0,0,39,Normal,Compliant,All compliance checks passed,No,
SHP0081,B0081,V039,Pune,Chennai,2026-08-02 05:17:00,2026-08-02 09:33:00,Completed,52,0,0.0,5.928016288806904,4.148506362234075,4.985689939674455,0,0,Compliant,1,0,0.216,Valid,3,2,Review,1,0,48,Delayed,Review,Missing custody signature; Traffic delay,No,
SHP0082,B0082,V023,Coimbatore,Salem,2026-08-06 06:41:00,2026-08-06 12:10:00,Completed,66,0,0.0,-20.09142010183088,-22.01289843408788,-20.94248127349228,66,0,Compliant,1,1,1.142,Review,3,1,Review,0,0,30,Normal,Non-Compliant,Calibration issue; Missing custody signature,No,
SHP0083,B0083,V017,Hyderabad,Mumbai,2026-08-04 05:24:00,2026-08-04 09:27:00,Completed,49,0,0.0,-20.091026111821247,-22.171779476000907,-21.011735624577025,0,0,Compliant,1,0,0.399,Valid,3,0,Complete,1,1,98,Deviation,Review,Route deviation,No,
SHP0084,B0084,V058,Pune,Mumbai,2026-08-05 08:22:00,2026-08-05 14:11:00,Completed,70,0,0.0,-20.161662599276337,-22.04125483513092,-20.98404823971164,0,0,Compliant,1,0,0.055,Valid,4,1,Review,0,0,45,Normal,Review,Missing custody signature,No,
SHP0085,B0085,V071,Mumbai,Madurai,2026-08-07 08:17:00,2026-08-07 10:49:00,Completed,31,0,0.0,6.00462262063377,4.124031318008578,4.965405433524846,0,0,Compliant,1,0,0.15,Valid,3,0,Complete,0,0,0,Normal,Compliant,All compliance checks passed,No,
SHP0086,B0086,V016,Chennai,Madurai,2026-08-01 09:14:00,2026-08-01 10:29:00,Completed,16,0,0.0,-20.078544499158085,-21.59177768925589,-20.823419239938445,0,0,Compliant,1,0,0.341,Valid,3,0,Complete,0,0,0,Normal,Compliant,All compliance checks passed,No,
SHP0087,B0087,V060,Kochi,Chennai,2026-08-03 08:33:00,2026-08-03 12:36:00,Completed,49,0,0.0,5.81992483831437,4.208709900250076,4.97181347934195,0,0,Compliant,1,0,0.285,Valid,3,0,Complete,1,2,155,Deviation,Review,Route deviation,No,
SHP0088,B0088,V040,Bengaluru,Hyderabad,2026-08-03 06:06:00,2026-08-03 09:12:00,Completed,38,0,0.0,5.885012415758897,4.165408936651566,5.036092404656727,0,0,Compliant,1,0,0.369,Valid,2,0,Complete,0,0,29,Normal,Compliant,All compliance checks passed,No,
SHP0089,B0089,V016,Hyderabad,Kochi,2026-08-03 09:52:00,2026-08-03 11:20:00,Completed,18,0,0.0,5.994075966671557,4.659785888501182,5.235496834743548,0,0,Compliant,1,0,0.341,Valid,3,0,Complete,0,0,19,Normal,Compliant,All compliance checks passed,No,
SHP0090,B0090,V022,Hyderabad,Bengaluru,2026-08-06 08:22:00,2026-08-06 10:50:00,Completed,30,0,0.0,-19.702762812162103,-21.92645754518755,-20.97848329770296,30,0,Compliant,1,1,0.989,Review,4,0,Complete,1,0,61,Delayed,Review,Calibration issue; Traffic delay,No,
SHP0091,B0091,V023,Coimbatore,Hyderabad,2026-08-01 09:20:00,2026-08-01 13:23:00,Completed,49,0,0.0,5.816830416057497,4.129173981422858,4.889330835589889,49,0,Compliant,1,1,0.875,Review,2,0,Complete,0,0,0,Normal,Review,Calibration issue,No,
SHP0092,B0092,V030,Bengaluru,Chennai,2026-08-02 10:44:00,2026-08-02 14:44:00,Completed,49,0,0.0,5.521311214926426,4.2125983146247785,4.883087484456469,0,0,Compliant,1,0,0.141,Valid,2,0,Complete,0,0,0,Normal,Compliant,All compliance checks passed,No,
SHP0093,B0093,V049,Bengaluru,Coimbatore,2026-08-03 09:12:00,2026-08-03 14:24:00,Completed,63,0,0.0,-20.338553092603085,-21.878451128439977,-21.058434237523382,0,0,Compliant,1,0,0.154,Valid,2,0,Complete,0,1,110,Deviation,Review,Route deviation,No,
