log_id,sensor_id,shipment_id,recorded_at,temperature_c,battery_level,signal_strength,network_status,transmission_status,buffer_status,retry_count,recovery_status
52,S052,SHP0003,2026-08-04 07:18:00,4.845967087833474,94.71,71,Online,Uploaded,Not Buffered,0,Not Required
53,S052,SHP0003,2026-08-04 07:23:00,4.729231199877616,85.87,78,Online,Uploaded,Not Buffered,0,Not Required
54,S052,SHP0003,2026-08-04 07:28:00,5.244670515536347,72.11,93,Online,Uploaded,Not Buffered,0,Not Required
55,S052,SHP0003,2026-08-04 07:33:00,5.41239980899838,72.34,79,Online,Uploaded,Not Buffered,0,Not Required
56,S052,SHP0003,2026-08-04 07:38:00,5.372512047646479,98.82,76,Online,Uploaded,Not Buffered,0,Not Required
57,S052,SHP0003,2026-08-04 07:43:00,4.664312990710944,73.04,73,Online,Uploaded,Not Buffered,0,Not Required
58,S052,SHP0003,2026-08-04 07:48:00,4.876315049659514,85.95,77,Online,Uploaded,Not Buffered,0,Not Required
59,S052,SHP0003,2026-08-04 07:53:00,5.132505372561425,75.79,76,Online,Uploaded,Not Buffered,0,Not Required
60,S052,SHP0003,2026-08-04 07:58:00,5.390218050848944,77.46,91,Online,Uploaded,Not Buffered,0,Not Required
61,S052,SHP0003,2026-08-04 08:03:00,4.808330304861884,98.43,90,Online,Uploaded,Not Buffered,0,Not Required
62,S052,SHP0003,2026-08-04 08:08:00,4.9257364093344735,92.48,87,Online,Uploaded,Not Buffered,0,Not Required
63,S052,SHP0003,2026-08-04 08:13:00,4.557466010397588,92.38,83,Online,Uploaded,Not Buffered,0,Not Required
64,S052,SHP0003,2026-08-04 08:18:00,4.521517350367732,89.16,94,Online,Uploaded,Not Buffered,0,Not Required
65,S052,SHP0003,2026-08-04 08:23:00,5.32501032895768,90.23,81,Online,Uploaded,Not Buffered,0,Not Required
66,S052,SHP0003,2026-08-04 08:28:00,5.542496011428329,89.96,92,Online,Uploaded,Not Buffered,0,Not Required
67,S052,SHP0003,2026-08-04 08:33:00,4.971195951367866,73.12,98,Online,Uploaded,Not Buffered,0,Not Required
68,S052,SHP0003,2026-08-04 08:38:00,5.401413159156809,75.41,95,Online,Uploaded,Not Buffered,0,Not Required
69,S052,SHP0003,2026-08-04 08:43:00,5.144654410019053,85.14,82,Online,Uploaded,Not Buffered,0,Not Required
70,S052,SHP0003,2026-08-04 08:48:00,4.741952098157951,74.75,91,Online,Uploaded,Not Buffered,0,Not Required
71,S052,SHP0003,2026-08-04 08:53:00,5.144558242203366,83.29,89,Online,Uploaded,Not Buffered,0,Not Required
72,S052,SHP0003,2026-08-04 08:58:00,5.615214626586388,97.07,81,Online,Uploaded,Not Buffered,0,Not Required
73,S052,SHP0003,2026-08-04 09:03:00,4.985669584356019,99.74,87,Online,Uploaded,Not Buffered,0,Not Required
74,S052,SHP0003,2026-08-04 09:08:00,5.625857462325603,95.35,80,Online,Uploaded,Not Buffered,0,Not Required
75,S052,SHP0003,2026-08-04 09:13:00,3.952101958364102,92.93,83,Online,Uploaded,Not Buffered,0,Not Required
76,S052,SHP0003,2026-08-04 09:18:00,5.32876100175009,94.78,83,Online,Uploaded,Not Buffered,0,Not Required
77,S052,SHP0003,2026-08-04 09:23:00,5.034818827295268,88.25,80,Online,Uploaded,Not Buffered,0,Not Required
78,S052,SHP0003,2026-08-04 09:28:00,4.880397059813653,86.37,88,Online,Uploaded,Not Buffered,0,Not Required
79,S052,SHP0003,2026-08-04 09:33:00,5.036704310614201,92.97,82,Online,Uploaded,Not Buffered,0,Not Required
80,S052,SHP0003,2026-08-04 09:38:00,4.204972434159643,92.34,99,Online,Uploaded,Not Buffered,0,Not Required
81,S052,SHP0003,2026-08-04 09:43:00,4.912131244864995,98.85,81,Online,Uploaded,Not Buffered,0,Not Required
82,S052,SHP0003,2026-08-04 09:48:00,5.1428450286046985,98.79,84,Online,Uploaded,Not Buffered,0,Not Required
83,S052,SHP0003,2026-08-04 09:53:00,5.591157617896607,91.79,70,Online,Uploaded,Not Buffered,0,Not Required
84,S052,SHP0003,2026-08-04 09:58:00,4.792691912690541,87.87,79,Online,Uploaded,Not Buffered,0,Not Required
85,S052,SHP0003,2026-08-04 10:03:00,4.676602558842725,74.05,86,Online,Uploaded,Not Buffered,0,Not Required
86,S052,SHP0003,2026-08-04 10:08:00,4.799297182566185,79.06,98,Online,Uploaded,Not Buffered,0,Not Required
87,S052,SHP0003,2026-08-04 10:13:00,5.366160847080829,99.53,79,Online,Uploaded,Not Buffered,0,Not Required
88,S052,SHP0003,2026-08-04 10:18:00,5.131500443863874,95.67,76,Online,Uploaded,Not Buffered,0,Not Required
89,S052,SHP0003,2026-08-04 10:23:00,4.788095918493185,93.15,70,Online,Uploaded,Not Buffered,0,Not Required
90,S052,SHP0003,2026-08-04 10:28:00,5.205306973245342,90.69,100,Online,Uploaded,Not Buffered,0,Not Required
91,S052,SHP0003,2026-08-04 10:33:00,5.0388310197392165,97.57,78,Online,Uploaded,Not Buffered,0,Not Required
92,S052,SHP0003,2026-08-04 10:38:00,5.387457996213156,86.69,86,Online,Uploaded,Not Buffered,0,Not Required
93,S052,SHP0003,2026-08-04 10:43:00,4.719178762449059,87.15,99,Online,Uploaded,Not Buffered,0,Not Required
94,S052,SHP0003,2026-08-04 10:48:00,4.868935141360892,71.13,73,Online,Uploaded,Not Buffered,0,Not Required
95,S052,SHP0003,2026-08-04 10:53:00,4.843156738747137,74.68,81,Online,Uploaded,Not Buffered,0,Not Required
96,S052,SHP0003,2026-08-04 10:58:00,4.414594020747153,81.01,78,Online,Uploaded,Not Buffered,0,Not Required
97,S052,SHP0003,2026-08-04 11:03:00,5.11844811082583,77.5,88,Online,Uploaded,Not Buffered,0,Not Required
98,S052,SHP0003,2026-08-04 11:08:00,5.104422108871956,94.33,78,Online,Uploaded,Not Buffered,0,Not Required
99,S052,SHP0003,2026-08-04 11:13:00,5.002045382656984,87.11,72,Online,Uploaded,Not Buffered,0,Not Required
100,S052,SHP0003,2026-08-04 11:18:00,4.906165146649942,97.54,88,Online,Uploaded,Not Buffered,0,Not Required
101,S067,SHP0004,2026-08-05 05:55:00,-21.566148296820167,91.09,92,Online,Uploaded,Not Buffered,0,Not Required
102,S067,SHP0004,2026-08-05 06:00:00,-21.168258129106142,97.23,96,Online,Uploaded,Not Buffered,0,Not Required
103,S067,SHP0004,2026-08-05 06:05:00,-21.137085806610703,89.27,89,Online,Uploaded,Not Buffered,0,Not Required
104,S067,SHP0004,2026-08-05 06:10:00,-21.32091090768865,91.92,71,Online,Uploaded,Not Buffered,0,Not Required
105,S067,SHP0004,2026-08-05 06:15:00,-21.064514284666405,81.45,88,Online,Uploaded,Not Buffered,0,Not Required
106,S067,SHP0004,2026-08-05 06:20:00,-20.838379657274185,71.68,94,Online,Uploaded,Not Buffered,0,Not Required
107,S067,SHP0004,2026-08-05 06:25:00,-20.245525639515787,80.03,94,Online,Uploaded,Not Buffered,0,Not Required
108,S067,SHP0004,2026-08-05 06:30:00,-20.930168874867263,94.51,98,Online,Uploaded,Not Buffered,0,Not Required
109,S067,SHP0004,2026-08-05 06:35:00,-20.89697984371089,97.91,83,Online,Uploaded,Not Buffered,0,Not Required
110,S067,SHP0004,2026-08-05 06:40:00,-21.029778366306463,96.09,73,Online,Uploaded,Not Buffered,0,Not Required
111,S067,SHP0004,2026-08-05 06:45:00,-21.767508486119617,92.43,77,Online,Uploaded,Not Buffered,0,Not Required
112,S067,SHP0004,2026-08-05 06:50:00,-21.010605550179687,88.07,97,Online,Uploaded,Not Buffered,0,Not Required
113,S067,SHP0004,2026-08-05 06:55:00,-20.97590791602359,89.02,70,Online,Uploaded,Not Buffered,0,Not Required
114,S067,SHP0004,2026-08-05 07:00:00,-20.014703155005886,81.47,90,Online,Uploaded,Not Buffered,0,Not Required
115,S067,SHP0004,2026-08-05 07:05:00,-21.076944385912448,85.73,79,Online,Uploaded,Not Buffered,0,Not Required
116,S067,SHP0004,2026-08-05 07:10:00,-20.879381063066557,86.2,80,Online,Uploaded,Not Buffered,0,Not Required
117,S067,SHP0004,2026-08-05 07:15:00,-21.0138847078821,79.8,74,Online,Uploaded,Not Buffered,0,Not Required
118,S067,SHP0004,2026-08-05 07:20:00,-21.46747121504781,76.62,92,Online,Uploaded,Not Buffered,0,Not Required
119,S067,SHP0004,2026-08-05 07:25:00,-20.54287087419399,90.21,71,Online,Uploaded,Not Buffered,0,Not Required
120,S067,SHP0004,2026-08-05 07:30:00,-20.69922678692529,99.13,82,Online,Uploaded,Not Buffered,0,Not Required
121,S067,SHP0004,2026-08-05 07:35:00,-20.68358722118278,87.85,94,Online,Uploaded,Not Buffered,0,Not Required
122,S067,SHP0004,2026-08-05 07:40:00,-21.363754981917896,72.7,86,Online,Uploaded,Not Buffered,0,Not Required
123,S067,SHP0004,2026-08-05 07:45:00,-20.43888227562556,78.69,83,Online,Uploaded,Not Buffered,0,Not Required
124,S067,SHP0004,2026-08-05 07:50:00,-21.56074042511691,74.44,82,Online,Uploaded,Not Buffered,0,Not Required
125,S067,SHP0004,2026-08-05 07:55:00,-20.76525716247989,72.48,80,Online,Uploaded,Not Buffered,0,Not Required
126,S067,SHP0004,2026-08-05 08:00:00,-20.123817749676007,92.36,88,Online,Uploaded,Not Buffered,0,Not Required
127,S067,SHP0004,2026-08-05 08:05:00,-21.39621453005228,81.98,87,Online,Uploaded,Not Buffered,0,Not Required
128,S067,SHP0004,2026-08-05 08:10:00,-21.22651909184111,81.96,72,Online,Uploaded,Not Buffered,0,Not Required
129,S067,SHP0004,2026-08-05 08:15:00,-20.960139453964945,93.21,83,Online,Uploaded,Not Buffered,0,Not Required
130,S067,SHP0004,2026-08-05 08:20:00,-21.20139026164648,92.86,74,Online,Uploaded,Not Buffered,0,Not Required
131,S067,SHP0004,2026-08-05 08:25:00,-21.62026537242645,86.78,85,Online,Uploaded,Not Buffered,0,Not Required
132,S067,SHP0004,2026-08-05 08:30:00,-20.97257481007759,81.86,85,Online,Uploaded,Not Buffered,0,Not Required
133,S067,SHP0004,2026-08-05 08:35:00,-21.424921485490444,75.88,88,Online,Uploaded,Not Buffered,0,Not Required
134,S067,SHP0004,2026-08-05 08:40:00,-20.81056302774593,99.91,89,Online,Uploaded,Not Buffered,0,Not Required
135,S067,SHP0004,2026-08-05 08:45:00,-21.36776969369352,77.39,86,Online,Uploaded,Not Buffered,0,Not Required
136,S067,SHP0004,2026-08-05 08:50:00,-20.380026237992983,77.99,72,Online,Uploaded,Not Buffered,0,Not Required
137,S067,SHP0004,2026-08-05 08:55:00,-21.313301316934496,79.7,83,Online,Uploaded,Not Buffered,0,Not Required
138,S067,SHP0004,2026-08-05 09:00:00,-21.12882460648227,87.28,99,Online,Uploaded,Not Buffered,0,Not Required
139,S067,SHP0004,2026-08-05 09:05:00,-20.674593113052133,90.15,73,Online,Uploaded,Not Buffered,0,Not Required
140,S067,SHP0004,2026-08-05 09:10:00,-21.492345726573586,80.96,83,Online,Uploaded,Not Buffered,0,Not Required
141,S067,SHP0004,2026-08-05 09:15:00,-20.909016026158348,79.62,76,Online,Uploaded,Not Buffered,0,Not Required
142,S067,SHP0004,2026-08-05 09:20:00,-20.477142898287028,89.66,89,Online,Uploaded,Not Buffered,0,Not Required
143,S067,SHP0004,2026-08-05 09:25:00,-21.64299329382449,79.14,94,Online,Uploaded,Not Buffered,0,Not Required
144,S067,SHP0004,2026-08-05 09:30:00,-20.92614645658708,88.49,81,Online,Uploaded,Not Buffered,0,Not Required
145,S067,SHP0004,2026-08-05 09:35:00,-20.89604688230063,83.27,95,Online,Uploaded,Not Buffered,0,Not Required
146,S067,SHP0004,2026-08-05 09:40:00,-20.687270851289075,83.21,74,Online,Uploaded,Not Buffered,0,Not Required
147,S067,SHP0004,2026-08-05 09:45:00,-21.494780284351236,94.55,99,Online,Uploaded,Not Buffered,0,Not Required
148,S067,SHP0004,2026-08-05 09:50:00,-21.52818264523371,90.56,76,Online,Uploaded,Not Buffered,0,Not Required
149,S067,SHP0004,2026-08-05 09:55:00,-20.79122337375324,92.73,74,Online,Uploaded,Not Buffered,0,Not Required
150,S067,SHP0004,2026-08-05 10:00:00,-20.88120613070673,72.57,97,Online,Uploaded,Not Buffered,0,Not Required
151,S067,SHP0004,2026-08-05 10:05:00,-20.899802859861648,71.64,93,Online,Uploaded,Not Buffered,0,Not Required
152,S067,SHP0004,2026-08-05 10:10:00,-20.86142071620121,88.63,100,Online,Uploaded,Not Buffered,0,Not Required
153,S067,SHP0004,2026-08-05 10:15:00,-21.272009888631395,96.06,74,Online,Uploaded,Not Buffered,0,Not Required
154,S067,SHP0004,2026-08-05 10:20:00,-20.9070985211356,78.63,96,Online,Uploaded,Not Buffered,0,Not Required
155,S067,SHP0004,2026-08-05 10:25:00,-20.88277101068053,90.81,80,Online,Uploaded,Not Buffered,0,Not Required
156,S067,SHP0004,2026-08-05 10:30:00,-21.285740567210546,79.15,73,Online,Uploaded,Not Buffered,0,Not Required
157,S046,SHP0005,2026-08-04 05:14:00,-20.2536901955421,77.76,94,Online,Uploaded,Not Buffered,0,Not Required
158,S046,SHP0005,2026-08-04 05:19:00,-20.810466831635285,88.69,85,Online,Uploaded,Not Buffered,0,Not Required
159,S046,SHP0005,2026-08-04 05:24:00,-21.476521398881054,90.85,74,Online,Uploaded,Not Buffered,0,Not Required
160,S046,SHP0005,2026-08-04 05:29:00,-20.737378556546467,70.55,91,Online,Uploaded,Not Buffered,0,Not Required
161,S046,SHP0005,2026-08-04 05:34:00,-21.389872668090927,97.18,88,Online,Uploaded,Not Buffered,0,Not Required
162,S046,SHP0005,2026-08-04 05:39:00,-20.68516615850302,71.3,86,Online,Uploaded,Not Buffered,0,Not Required
163,S046,SHP0005,2026-08-04 05:44:00,-20.53656176839704,71.8,75,Online,Uploaded,Not Buffered,0,Not Required
164,S046,SHP0005,2026-08-04 05:49:00,-21.328272927340684,93.68,76,Online,Uploaded,Not Buffered,0,Not Required
165,S046,SHP0005,2026-08-04 05:54:00,-20.61464954830227,78.14,89,Online,Uploaded,Not Buffered,0,Not Required
166,S046,SHP0005,2026-08-04 05:59:00,-20.8348876292254,89.64,84,Online,Uploaded,Not Buffered,0,Not Required
167,S046,SHP0005,2026-08-04 06:04:00,-20.671175936002204,72.0,70,Online,Uploaded,Not Buffered,0,Not Required
168,S046,SHP0005,2026-08-04 06:09:00,-20.241282806938425,78.14,91,Online,Uploaded,Not Buffered,0,Not Required
169,S046,SHP0005,2026-08-04 06:14:00,-21.09815524640115,97.39,97,Online,Uploaded,Not Buffered,0,Not Required
170,S046,SHP0005,2026-08-04 06:19:00,-21.301494465742994,95.93,81,Online,Uploaded,Not Buffered,0,Not Required
171,S046,SHP0005,2026-08-04 06:24:00,-21.35580577185021,78.77,70,Online,Uploaded,Not Buffered,0,Not Required
172,S046,SHP0005,2026-08-04 06:29:00,-21.32632411398617,89.48,98,Online,Uploaded,Not Buffered,0,Not Required
173,S046,SHP0005,2026-08-04 06:34:00,-21.030840683765643,99.39,77,Online,Uploaded,Not Buffered,0,Not Required
174,S046,SHP0005,2026-08-04 06:39:00,-20.86353921007334,99.3,86,Online,Uploaded,Not Buffered,0,Not Required
175,S046,SHP0005,2026-08-04 06:44:00,-20.889323680267992,97.12,73,Online,Uploaded,Not Buffered,0,Not Required
176,S046,SHP0005,2026-08-04 06:49:00,-20.66912670038559,96.0,85,Online,Uploaded,Not Buffered,0,Not Required
177,S046,SHP0005,2026-08-04 06:54:00,-20.99479924324884,72.64,87,Online,Uploaded,Not Buffered,0,Not Required
178,S046,SHP0005,2026-08-04 06:59:00,-20.418586369137078,85.02,76,Online,Uploaded,Not Buffered,0,Not Required
179,S046,SHP0005,2026-08-04 07:04:00,-21.105862733295183,86.82,84,Online,Uploaded,Not Buffered,0,Not Required
180,S046,SHP0005,2026-08-04 07:09:00,-19.911932333364152,70.64,92,Online,Uploaded,Not Buffered,0,Not Required
181,S046,SHP0005,2026-08-04 07:14:00,-20.749733060894,97.67,77,Online,Uploaded,Not Buffered,0,Not Required
182,S046,SHP0005,2026-08-04 07:19:00,-21.34286302256651,80.01,79,Online,Uploaded,Not Buffered,0,Not Required
183,S046,SHP0005,2026-08-04 07:24:00,-21.428356999224444,92.33,82,Online,Uploaded,Not Buffered,0,Not Required
184,S046,SHP0005,2026-08-04 07:29:00,-20.807011033902725,80.4,70,Online,Uploaded,Not Buffered,0,Not Required
185,S046,SHP0005,2026-08-04 07:34:00,-21.08938511413034,80.66,81,Online,Uploaded,Not Buffered,0,Not Required
186,S046,SHP0005,2026-08-04 07:39:00,-20.714399802363165,77.09,79,Online,Uploaded,Not Buffered,0,Not Required
187,S046,SHP0005,2026-08-04 07:44:00,-20.81070495017058,78.28,86,Online,Uploaded,Not Buffered,0,Not Required
188,S046,SHP0005,2026-08-04 07:49:00,-21.029131565062748,88.77,71,Online,Uploaded,Not Buffered,0,Not Required
189,S046,SHP0005,2026-08-04 07:54:00,-21.338717487227363,81.62,98,Online,Uploaded,Not Buffered,0,Not Required
190,S046,SHP0005,2026-08-04 07:59:00,-21.605938889874345,99.71,96,Online,Uploaded,Not Buffered,0,Not Required
191,S046,SHP0005,2026-08-04 08:04:00,-21.17860598082681,86.65,100,Online,Uploaded,Not Buffered,0,Not Required
192,S046,SHP0005,2026-08-04 08:09:00,-20.65744048227061,76.77,78,Online,Uploaded,Not Buffered,0,Not Required
193,S046,SHP0005,2026-08-04 08:14:00,-20.91436250234792,96.92,80,Online,Uploaded,Not Buffered,0,Not Required
194,S046,SHP0005,2026-08-04 08:19:00,-21.498295511484795,74.12,91,Online,Uploaded,Not Buffered,0,Not Required
195,S046,SHP0005,2026-08-04 08:24:00,,81.47,93,Online,Uploaded,Not Buffered,0,Not Required
196,S046,SHP0005,2026-08-04 08:29:00,-20.845873048108466,90.34,100,Online,Uploaded,Not Buffered,0,Not Required
197,S046,SHP0005,2026-08-04 08:34:00,-21.35354297448045,88.77,97,Online,Uploaded,Not Buffered,0,Not Required
198,S046,SHP0005,2026-08-04 08:39:00,-20.93850995762179,82.52,77,Online,Uploaded,Not Buffered,0,Not Required
199,S046,SHP0005,2026-08-04 08:44:00,-20.9767165126216,74.58,88,Online,Uploaded,Not Buffered,0,Not Required
200,S046,SHP0005,2026-08-04 08:49:00,-21.457188119132248,97.29,79,Online,Uploaded,Not Buffered,0,Not Required
201,S046,SHP0005,2026-08-04 08:54:00,-20.856885055860687,83.48,80,Online,Uploaded,Not Buffered,0,Not Required
202,S046,SHP0005,2026-08-04 08:59:00,-20.775686189452703,76.2,74,Online,Uploaded,Not Buffered,0,Not Required
203,S046,SHP0005,2026-08-04 09:04:00,-20.56677950272989,87.43,74,Online,Uploaded,Not Buffered,0,Not Required
204,S046,SHP0005,2026-08-04 09:09:00,-20.57847917918604,94.0,91,Online,Uploaded,Not Buffered,0,Not Required
205,S046,SHP0005,2026-08-04 09:14:00,-21.55106774718284,74.14,97,Online,Uploaded,Not Buffered,0,Not Required
206,S046,SHP0005,2026-08-04 09:19:00,-21.37513001596605,91.15,92,Online,Uploaded,Not Buffered,0,Not Required
207,S046,SHP0005,2026-08-04 09:24:00,-20.79398589311653,97.29,86,Online,Uploaded,Not Buffered,0,Not Required
208,S046,SHP0005,2026-08-04 09:29:00,-20.79448561963512,99.87,83,Online,Uploaded,Not Buffered,0,Not Required
209,S043,SHP0006,2026-08-06 07:56:00,-20.79398092547758,91.58,100,Online,Uploaded,Not Buffered,0,Not Required
210,S043,SHP0006,2026-08-06 08:01:00,-19.45890740373811,79.53,75,Online,Uploaded,Not Buffered,0,Not Required
211,S043,SHP0006,2026-08-06 08:06:00,-20.77164379572273,74.37,98,Online,Uploaded,Not Buffered,0,Not Required
212,S043,SHP0006,2026-08-06 08:11:00,-20.54577374392776,92.96,70,Online,Uploaded,Not Buffered,0,Not Required
213,S043,SHP0006,2026-08-06 08:16:00,-20.61839929460272,99.19,98,Online,Uploaded,Not Buffered,0,Not Required
214,S043,SHP0006,2026-08-06 08:21:00,-20.73944349947768,82.34,100,Online,Uploaded,Not Buffered,0,Not Required
215,S043,SHP0006,2026-08-06 08:26:00,-21.12610769785614,92.37,84,Online,Uploaded,Not Buffered,0,Not Required
216,S043,SHP0006,2026-08-06 08:31:00,-20.696412311802693,96.82,96,Online,Uploaded,Not Buffered,0,Not Required
217,S043,SHP0006,2026-08-06 08:36:00,-21.309130085815028,92.15,99,Online,Uploaded,Not Buffered,0,Not Required
218,S043,SHP0006,2026-08-06 08:41:00,-21.094727442696005,93.37,74,Online,Uploaded,Not Buffered,0,Not Required
219,S043,SHP0006,2026-08-06 08:46:00,-21.19414541913164,73.95,73,Online,Uploaded,Not Buffered,0,Not Required
220,S043,SHP0006,2026-08-06 08:51:00,-20.96725034424547,92.87,70,Online,Uploaded,Not Buffered,0,Not Required
221,S043,SHP0006,2026-08-06 08:56:00,-20.0741365733306,88.51,89,Online,Uploaded,Not Buffered,0,Not Required
222,S043,SHP0006,2026-08-06 09:01:00,-21.746906077036694,87.01,89,Online,Uploaded,Not Buffered,0,Not Required
223,S043,SHP0006,2026-08-06 09:06:00,-20.725495923850197,87.89,77,Online,Uploaded,Not Buffered,0,Not Required
224,S043,SHP0006,2026-08-06 09:11:00,-21.64508634847586,90.62,77,Online,Uploaded,Not Buffered,0,Not Required
225,S043,SHP0006,2026-08-06 09:16:00,-21.18877274631577,72.38,81,Online,Uploaded,Not Buffered,0,Not Required
