route_event_key,shipment_id,shipment_key,total_events,checkpoint_events,cold_storage_stops,rest_stop_events,traffic_delay_events,route_deviation_events,total_delay_minutes,total_deviation_minutes
56,SHP0052,52,8,3,0,2,0,1,0,49
57,SHP0271,271,6,2,1,1,0,0,0,0
58,SHP0408,408,6,3,1,0,0,0,0,0
59,SHP0403,403,5,3,0,0,0,0,0,0
60,SHP0364,364,6,4,0,0,0,0,0,0
61,SHP0500,500,8,3,3,0,0,0,0,0
62,SHP0160,160,7,1,1,3,0,0,0,0
63,SHP0228,228,6,3,0,1,0,0,0,0
64,SHP0276,276,7,3,0,0,1,1,16,59
65,SHP0018,18,7,3,0,1,1,0,34,0
66,SHP0474,474,8,4,1,0,1,0,20,0
67,SHP0118,118,5,2,1,0,0,0,0,0
68,SHP0392,392,6,3,1,0,0,0,0,0
69,SHP0231,231,5,1,0,2,0,0,0,0
70,SHP0463,463,7,2,0,0,1,2,20,60
71,SHP0386,386,8,2,3,1,0,0,0,0
72,SHP0269,269,7,3,1,0,1,0,10,0
73,SHP0446,446,6,2,1,0,0,1,0,35
74,SHP0464,464,6,1,0,2,1,0,51,0
75,SHP0292,292,8,2,3,1,0,0,0,0
76,SHP0028,28,6,4,0,0,0,0,0,0
77,SHP0456,456,6,3,1,0,0,0,0,0
78,SHP0138,138,7,4,0,0,1,0,50,0
79,SHP0002,2,5,3,0,0,0,0,0,0
80,SHP0462,462,6,3,1,0,0,0,0,0
81,SHP0220,220,7,2,2,1,0,0,0,0
82,SHP0419,419,6,3,1,0,0,0,0,0
83,SHP0370,370,8,4,0,0,2,0,77,0
84,SHP0391,391,7,3,0,1,0,1,0,55
85,SHP0139,139,5,2,0,1,0,0,0,0
86,SHP0095,95,8,2,1,3,0,0,0,0
87,SHP0242,242,5,2,1,0,0,0,0,0
88,SHP0175,175,8,1,2,2,0,1,0,70
89,SHP0248,248,6,3,0,0,1,0,25,0
90,SHP0081,81,6,2,0,1,1,0,28,0
91,SHP0258,258,5,1,0,2,0,0,0,0
92,SHP0347,347,6,1,1,1,1,0,44,0
93,SHP0226,226,8,4,2,0,0,0,0,0
94,SHP0434,434,7,2,1,1,1,0,15,0
95,SHP0318,318,6,3,0,0,1,0,46,0
96,SHP0119,119,6,2,1,1,0,0,0,0
97,SHP0274,274,7,3,0,1,1,0,25,0
98,SHP0468,468,6,3,0,1,0,0,0,0
99,SHP0243,243,8,4,2,0,0,0,0,0
100,SHP0144,144,5,1,2,0,0,0,0,0
101,SHP0288,288,8,4,0,1,1,0,22,0
102,SHP0267,267,5,1,1,1,0,0,0,0
103,SHP0076,76,5,2,1,0,0,0,0,0
104,SHP0068,68,6,2,0,1,1,0,48,0
105,SHP0183,183,6,4,0,0,0,0,0,0
106,SHP0482,482,6,2,0,2,0,0,0,0
107,SHP0349,349,6,1,2,0,0,1,0,86
108,SHP0272,272,8,5,1,0,0,0,0,0
109,SHP0057,57,5,0,1,2,0,0,0,0
110,SHP0428,428,5,2,0,1,0,0,0,0
111,SHP0084,84,7,3,1,1,0,0,0,0
112,SHP0143,143,6,2,0,1,1,0,33,0
113,SHP0150,150,6,1,1,1,0,1,0,20
114,SHP0480,480,5,3,0,0,0,0,0,0
115,SHP0239,239,5,2,0,1,0,0,0,0
116,SHP0066,66,5,1,1,0,1,0,39,0
117,SHP0285,285,6,2,0,2,0,0,0,0
118,SHP0426,426,7,3,1,1,0,0,0,0
119,SHP0109,109,7,3,1,1,0,0,0,0
120,SHP0199,199,6,4,0,0,0,0,0,0
121,SHP0266,266,7,3,1,1,0,0,0,0
122,SHP0384,384,8,4,1,0,1,0,36,0
123,SHP0350,350,6,4,0,0,0,0,0,0
124,SHP0252,252,6,2,2,0,0,0,0,0
125,SHP0229,229,5,1,1,1,0,0,0,0
126,SHP0319,319,5,2,0,0,0,1,0,53
127,SHP0491,491,5,1,1,0,1,0,11,0
128,SHP0338,338,5,3,0,0,0,0,0,0
129,SHP0221,221,7,2,1,1,1,0,44,0
130,SHP0180,180,8,2,3,1,0,0,0,0
131,SHP0117,117,6,2,0,1,1,0,43,0
132,SHP0055,55,7,3,1,0,1,0,33,0
133,SHP0142,142,6,2,1,1,0,0,0,0
134,SHP0476,476,5,2,0,0,0,1,0,89
135,SHP0140,140,7,2,0,3,0,0,0,0
136,SHP0280,280,6,2,2,0,0,0,0,0
137,SHP0473,473,7,4,1,0,0,0,0,0
138,SHP0314,314,8,4,1,1,0,0,0,0
139,SHP0031,31,6,3,1,0,0,0,0,0
140,SHP0415,415,8,3,1,2,0,0,0,0
141,SHP0389,389,7,3,1,0,1,0,33,0
142,SHP0204,204,8,5,1,0,0,0,0,0
143,SHP0402,402,6,1,1,0,2,0,89,0
144,SHP0132,132,8,4,1,0,0,1,0,57
145,SHP0033,33,7,2,1,1,0,1,0,52
146,SHP0493,493,7,4,0,1,0,0,0,0
147,SHP0173,173,8,3,2,0,1,0,45,0
148,SHP0019,19,6,4,0,0,0,0,0,0
149,SHP0320,320,6,2,1,0,0,1,0,54
150,SHP0250,250,6,2,2,0,0,0,0,0
151,SHP0153,153,8,3,0,3,0,0,0,0
152,SHP0079,79,7,3,0,0,2,0,65,0
153,SHP0279,279,5,2,0,1,0,0,0,0
154,SHP0255,255,5,1,0,1,1,0,13,0
155,SHP0110,110,8,3,1,1,1,0,34,0
156,SHP0303,303,5,2,1,0,0,0,0,0
157,SHP0177,177,7,2,2,1,0,0,0,0
158,SHP0466,466,6,2,0,1,0,1,0,17
159,SHP0281,281,5,2,1,0,0,0,0,0
160,SHP0343,343,5,3,0,0,0,0,0,0
161,SHP0158,158,8,3,1,2,0,0,0,0
162,SHP0273,273,5,3,0,0,0,0,0,0
163,SHP0020,20,8,5,0,1,0,0,0,0
164,SHP0123,123,5,1,1,0,0,1,0,37
165,SHP0114,114,5,1,0,2,0,0,0,0
166,SHP0423,423,6,4,0,0,0,0,0,0
167,SHP0148,148,8,5,1,0,0,0,0,0
168,SHP0195,195,5,1,2,0,0,0,0,0
169,SHP0029,29,8,2,0,3,1,0,31,0
170,SHP0025,25,5,2,0,1,0,0,0,0
171,SHP0212,212,7,3,0,0,2,0,57,0
172,SHP0305,305,7,3,1,1,0,0,0,0
173,SHP0207,207,7,1,2,1,0,1,0,22
174,SHP0036,36,5,2,1,0,0,0,0,0
175,SHP0315,315,6,4,0,0,0,0,0,0
176,SHP0217,217,7,3,0,0,1,1,29,23
177,SHP0097,97,8,3,2,0,1,0,52,0
178,SHP0067,67,5,1,1,0,1,0,25,0
179,SHP0159,159,8,3,0,2,0,1,0,53
180,SHP0124,124,5,3,0,0,0,0,0,0
181,SHP0333,333,5,2,0,0,1,0,43,0
182,SHP0135,135,7,3,0,2,0,0,0,0
183,SHP0113,113,8,3,0,2,0,1,0,30
184,SHP0104,104,5,3,0,0,0,0,0,0
185,SHP0093,93,7,2,1,1,0,1,0,71
186,SHP0222,222,6,4,0,0,0,0,0,0
187,SHP0246,246,8,3,1,2,0,0,0,0
188,SHP0357,357,5,2,0,1,0,0,0,0
189,SHP0127,127,7,1,1,2,0,1,0,45
190,SHP0198,198,5,1,1,1,0,0,0,0
191,SHP0086,86,6,4,0,0,0,0,0,0
192,SHP0038,38,7,1,2,0,1,1,34,52
193,SHP0450,450,7,2,1,0,2,0,76,0
194,SHP0390,390,6,3,1,0,0,0,0,0
195,SHP0186,186,6,1,0,2,1,0,15,0
196,SHP0460,460,6,2,1,1,0,0,0,0
197,SHP0107,107,8,4,0,2,0,0,0,0
198,SHP0417,417,7,3,2,0,0,0,0,0
199,SHP0260,260,8,4,1,1,0,0,0,0
200,SHP0102,102,6,3,0,1,0,0,0,0
201,SHP0442,442,8,1,3,1,1,0,60,0
202,SHP0421,421,7,1,2,0,1,1,24,59
203,SHP0369,369,7,3,0,1,1,0,12,0
204,SHP0321,321,5,3,0,0,0,0,0,0
205,SHP0354,354,8,3,0,3,0,0,0,0
206,SHP0010,10,6,3,0,0,1,0,20,0
207,SHP0332,332,7,3,1,1,0,0,0,0
208,SHP0438,438,6,3,0,1,0,0,0,0
209,SHP0431,431,7,1,2,2,0,0,0,0
210,SHP0400,400,7,2,0,2,0,1,0,43
211,SHP0341,341,7,4,0,0,1,0,13,0
212,SHP0249,249,8,4,0,1,1,0,51,0
213,SHP0289,289,7,4,0,1,0,0,0,0
214,SHP0049,49,8,5,1,0,0,0,0,0
215,SHP0154,154,8,3,1,0,2,0,34,0
216,SHP0155,155,7,2,1,0,1,1,51,36
217,SHP0498,498,7,3,1,1,0,0,0,0
218,SHP0257,257,6,1,2,0,1,0,29,0
219,SHP0296,296,8,6,0,0,0,0,0,0
220,SHP0115,115,8,3,1,2,0,0,0,0
221,SHP0351,351,7,4,0,1,0,0,0,0
222,SHP0234,234,6,3,1,0,0,0,0,0
223,SHP0058,58,7,5,0,0,0,0,0,0
224,SHP0477,477,5,2,1,0,0,0,0,0
225,SHP0075,75,8,4,0,1,0,1,0,37
226,SHP0026,26,6,4,0,0,0,0,0,0
227,SHP0073,73,6,1,2,0,1,0,33,0
228,SHP0490,490,7,4,1,0,0,0,0,0
229,SHP0278,278,7,5,0,0,0,0,0,0
230,SHP0494,494,8,2,3,1,0,0,0,0
231,SHP0223,223,5,3,0,0,0,0,0,0
232,SHP0101,101,7,3,1,1,0,0,0,0
233,SHP0005,5,7,1,2,0,2,0,52,0
234,SHP0300,300,5,3,0,0,0,0,0,0
235,SHP0134,134,7,4,0,0,1,0,24,0
236,SHP0435,435,6,2,0,1,0,1,0,28
237,SHP0121,121,5,3,0,0,0,0,0,0
238,SHP0483,483,7,2,0,1,2,0,44,0
239,SHP0053,53,7,5,0,0,0,0,0,0
240,SHP0131,131,8,3,1,1,0,1,0,51
241,SHP0489,489,8,3,1,1,1,0,17,0
242,SHP0492,492,5,2,0,1,0,0,0,0
243,SHP0307,307,5,1,1,1,0,0,0,0
244,SHP0404,404,6,3,0,0,1,0,59,0
245,SHP0337,337,8,4,2,0,0,0,0,0
246,SHP0467,467,5,3,0,0,0,0,0,0
247,SHP0358,358,7,2,0,2,1,0,56,0
248,SHP0099,99,5,1,0,1,1,0,10,0
249,SHP0090,90,8,3,1,1,1,0,13,0
250,SHP0077,77,8,4,0,1,0,1,0,29
251,SHP0008,8,6,1,1,1,1,0,42,0
252,SHP0311,311,7,5,0,0,0,0,0,0
253,SHP0362,362,5,2,1,0,0,0,0,0
254,SHP0176,176,7,3,1,1,0,0,0,0
255,SHP0457,457,7,4,1,0,0,0,0,0
256,SHP0042,42,6,2,0,0,2,0,67,0
257,SHP0064,64,7,1,2,1,1,0,55,0
258,SHP0141,141,5,1,1,1,0,0,0,0
259,SHP0407,407,8,3,2,1,0,0,0,0
260,SHP0485,485,7,4,1,0,0,0,0,0
261,SHP0235,235,5,1,0,0,2,0,47,0
262,SHP0395,395,6,2,0,2,0,0,0,0
263,SHP0484,484,5,2,0,0,0,1,0,22
264,SHP0325,325,5,3,0,0,0,0,0,0
265,SHP0443,443,8,4,1,1,0,0,0,0
266,SHP0012,12,8,4,1,1,0,0,0,0
267,SHP0454,454,8,3,0,0,3,0,100,0
268,SHP0440,440,6,3,0,0,1,0,31,0
269,SHP0136,136,5,2,1,0,0,0,0,0
270,SHP0437,437,6,2,0,1,1,0,15,0
271,SHP0413,413,5,2,0,1,0,0,0,0
272,SHP0383,383,5,2,0,0,1,0,59,0
273,SHP0488,488,5,2,0,0,1,0,58,0
274,SHP0458,458,5,3,0,0,0,0,0,0
275,SHP0146,146,6,1,1,1,1,0,39,0
276,SHP0448,448,5,2,1,0,0,0,0,0
277,SHP0017,17,6,2,0,1,1,0,25,0
278,SHP0455,455,7,3,0,1,1,0,31,0
279,SHP0237,237,8,4,2,0,0,0,0,0
280,SHP0089,89,5,2,1,0,0,0,0,0
281,SHP0056,56,5,0,1,2,0,0,0,0
282,SHP0050,50,6,3,0,1,0,0,0,0
283,SHP0449,449,7,2,2,1,0,0,0,0
284,SHP0116,116,6,1,1,0,2,0,59,0
285,SHP0424,424,6,2,1,1,0,0,0,0
286,SHP0375,375,8,5,1,0,0,0,0,0
287,SHP0213,213,5,2,0,1,0,0,0,0
288,SHP0112,112,6,4,0,0,0,0,0,0
289,SHP0170,170,8,4,1,1,0,0,0,0
290,SHP0194,194,5,3,0,0,0,0,0,0
291,SHP0071,71,6,3,0,1,0,0,0,0
292,SHP0396,396,7,2,0,2,1,0,39,0
293,SHP0469,469,8,3,1,0,1,1,26,35
294,SHP0191,191,8,5,1,0,0,0,0,0
295,SHP0304,304,8,3,0,3,0,0,0,0
296,SHP0339,339,5,1,0,0,1,1,23,25
297,SHP0059,59,5,2,1,0,0,0,0,0
298,SHP0378,378,7,3,2,0,0,0,0,0
299,SHP0388,388,6,2,0,1,0,1,0,57
300,SHP0162,162,8,4,0,1,0,1,0,42
301,SHP0398,398,5,2,1,0,0,0,0,0
302,SHP0041,41,7,3,0,1,0,1,0,69
303,SHP0069,69,6,4,0,0,0,0,0,0
304,SHP0083,83,6,2,0,0,1,1,41,57
305,SHP0331,331,5,0,0,1,2,0,83,0
306,SHP0328,328,8,3,3,0,0,0,0,0
307,SHP0034,34,5,2,1,0,0,0,0,0
308,SHP0336,336,8,3,1,1,0,1,0,83
309,SHP0430,430,5,2,1,0,0,0,0,0
310,SHP0309,309,8,4,0,2,0,0,0,0
311,SHP0241,241,7,1,4,0,0,0,0,0
312,SHP0268,268,8,4,0,1,0,1,0,80
313,SHP0080,80,5,2,0,1,0,0,0,0
314,SHP0471,471,7,5,0,0,0,0,0,0
315,SHP0106,106,7,4,0,0,1,0,10,0
316,SHP0261,261,6,2,1,1,0,0,0,0
317,SHP0371,371,7,4,1,0,0,0,0,0
318,SHP0232,232,8,5,1,0,0,0,0,0
319,SHP0324,324,8,6,0,0,0,0,0,0
320,SHP0263,263,8,2,1,1,1,1,39,57
321,SHP0394,394,6,2,1,0,1,0,35,0
322,SHP0167,167,5,2,1,0,0,0,0,0
323,SHP0409,409,5,2,1,0,0,0,0,0
324,SHP0027,27,7,2,1,2,0,0,0,0
325,SHP0014,14,7,5,0,0,0,0,0,0
326,SHP0094,94,8,2,0,3,1,0,37,0
327,SHP0356,356,8,1,3,0,2,0,44,0
328,SHP0189,189,6,1,1,2,0,0,0,0
329,SHP0105,105,5,1,1,0,1,0,54,0
330,SHP0486,486,8,2,1,1,2,0,85,0
331,SHP0196,196,6,3,0,1,0,0,0,0
332,SHP0301,301,8,5,0,1,0,0,0,0
333,SHP0461,461,7,1,2,2,0,0,0,0
334,SHP0047,47,7,2,2,1,0,0,0,0
335,SHP0459,459,7,4,0,0,1,0,57,0
336,SHP0039,39,6,2,1,0,1,0,50,0
337,SHP0399,399,8,5,1,0,0,0,0,0
338,SHP0323,323,6,2,2,0,0,0,0,0
339,SHP0054,54,7,5,0,0,0,0,0,0
340,SHP0171,171,8,3,2,1,0,0,0,0
341,SHP0147,147,8,5,0,0,0,1,0,88
342,SHP0495,495,8,4,2,0,0,0,0,0
343,SHP0006,6,8,4,0,1,1,0,39,0
344,SHP0308,308,8,2,1,2,1,0,22,0
345,SHP0429,429,7,2,1,0,1,1,47,63
346,SHP0387,387,5,1,0,2,0,0,0,0
347,SHP0063,63,6,2,1,1,0,0,0,0
348,SHP0286,286,8,4,2,0,0,0,0,0
349,SHP0244,244,8,2,1,2,1,0,10,0
350,SHP0452,452,7,4,0,1,0,0,0,0
351,SHP0348,348,8,5,0,1,0,0,0,0
352,SHP0230,230,6,3,0,1,0,0,0,0
353,SHP0051,51,8,4,0,1,0,1,0,44
354,SHP0344,344,8,4,1,0,1,0,21,0
355,SHP0040,40,8,4,1,0,1,0,18,0
356,SHP0009,9,5,2,1,0,0,0,0,0
357,SHP0184,184,5,2,1,0,0,0,0,0
358,SHP0129,129,7,4,0,0,1,0,57,0
359,SHP0401,401,6,1,1,1,1,0,40,0
360,SHP0293,293,6,3,1,0,0,0,0,0
361,SHP0439,439,8,4,1,0,1,0,50,0
362,SHP0045,45,8,5,0,1,0,0,0,0
363,SHP0200,200,5,3,0,0,0,0,0,0
364,SHP0100,100,8,3,1,2,0,0,0,0
365,SHP0479,479,6,2,0,1,1,0,20,0
366,SHP0247,247,7,3,1,0,1,0,35,0
367,SHP0367,367,8,5,0,1,0,0,0,0
368,SHP0238,238,8,5,0,0,0,1,0,32
369,SHP0363,363,7,4,0,1,0,0,0,0
370,SHP0161,161,7,1,2,1,0,1,0,54
371,SHP0157,157,6,4,0,0,0,0,0,0
372,SHP0416,416,7,3,1,1,0,0,0,0
373,SHP0219,219,8,1,2,3,0,0,0,0
374,SHP0111,111,6,1,2,1,0,0,0,0
375,SHP0164,164,5,1,1,1,0,0,0,0
376,SHP0302,302,8,4,0,0,1,1,35,30
377,SHP0436,436,5,2,0,1,0,0,0,0
378,SHP0297,297,7,3,0,1,1,0,16,0
379,SHP0262,262,5,1,1,0,1,0,12,0
380,SHP0197,197,5,1,0,0,2,0,68,0
381,SHP0092,92,7,5,0,0,0,0,0,0
382,SHP0379,379,8,2,0,3,1,0,34,0
383,SHP0201,201,5,2,0,0,0,1,0,39
384,SHP0475,475,7,3,1,0,1,0,58,0
385,SHP0035,35,6,3,0,1,0,0,0,0
386,SHP0406,406,7,3,0,2,0,0,0,0
387,SHP0427,427,7,4,0,1,0,0,0,0
388,SHP0192,192,7,4,0,1,0,0,0,0
389,SHP0091,91,7,5,0,0,0,0,0,0
390,SHP0453,453,6,3,0,1,0,0,0,0
391,SHP0326,326,6,2,1,1,0,0,0,0
392,SHP0015,15,8,3,0,1,1,1,30,50
393,SHP0345,345,8,2,2,2,0,0,0,0
394,SHP0335,335,6,3,0,0,1,0,50,0
395,SHP0447,447,7,1,2,2,0,0,0,0
396,SHP0227,227,8,5,0,1,0,0,0,0
397,SHP0185,185,5,2,0,1,0,0,0,0
398,SHP0270,270,6,2,1,1,0,0,0,0
399,SHP0163,163,6,2,1,1,0,0,0,0
400,SHP0380,380,7,3,1,1,0,0,0,0
401,SHP0215,215,8,4,1,0,1,0,22,0
402,SHP0181,181,8,4,0,2,0,0,0,0
403,SHP0361,361,6,4,0,0,0,0,0,0
404,SHP0372,372,8,5,0,1,0,0,0,0
405,SHP0016,16,6,2,1,1,0,0,0,0
406,SHP0044,44,6,1,2,1,0,0,0,0
407,SHP0208,208,6,1,1,1,1,0,41,0
408,SHP0298,298,5,2,0,1,0,0,0,0
409,SHP0256,256,8,2,1,2,0,1,0,17
410,SHP0011,11,6,4,0,0,0,0,0,0
411,SHP0046,46,8,2,1,2,0,1,0,56
412,SHP0096,96,5,1,1,1,0,0,0,0
413,SHP0072,72,6,2,0,1,1,0,28,0
414,SHP0024,24,6,1,1,2,0,0,0,0
415,SHP0377,377,7,3,1,1,0,0,0,0
416,SHP0087,87,7,1,0,1,1,2,27,99
417,SHP0211,211,6,2,1,0,1,0,58,0
418,SHP0287,287,6,4,0,0,0,0,0,0
419,SHP0397,397,5,2,0,0,1,0,14,0
420,SHP0065,65,5,1,1,1,0,0,0,0
421,SHP0368,368,8,1,4,1,0,0,0,0
422,SHP0172,172,8,3,2,1,0,0,0,0
423,SHP0022,22,6,3,0,1,0,0,0,0
424,SHP0225,225,6,1,1,2,0,0,0,0
425,SHP0088,88,7,2,3,0,0,0,0,0
426,SHP0202,202,8,3,2,1,0,0,0,0
427,SHP0366,366,8,2,3,1,0,0,0,0
428,SHP0478,478,6,1,0,3,0,0,0,0
429,SHP0236,236,7,2,1,1,0,1,0,34
430,SHP0125,125,8,4,0,1,1,0,44,0
431,SHP0245,245,8,3,1,2,0,0,0,0
432,SHP0165,165,5,1,1,0,1,0,15,0
433,SHP0411,411,6,2,0,1,1,0,12,0
434,SHP0312,312,7,4,0,1,0,0,0,0
435,SHP0021,21,5,1,1,1,0,0,0,0
436,SHP0472,472,7,3,0,2,0,0,0,0
437,SHP0433,433,7,3,1,1,0,0,0,0
438,SHP0156,156,8,5,0,0,1,0,53,0
439,SHP0078,78,8,4,1,1,0,0,0,0
440,SHP0291,291,5,1,1,1,0,0,0,0
441,SHP0007,7,6,3,0,0,1,0,48,0
442,SHP0499,499,8,1,2,0,2,1,76,81
443,SHP0168,168,8,1,2,3,0,0,0,0
444,SHP0082,82,8,4,2,0,0,0,0,0
445,SHP0284,284,8,5,0,0,1,0,58,0
446,SHP0418,418,7,2,2,0,1,0,19,0
447,SHP0381,381,7,4,0,1,0,0,0,0
448,SHP0422,422,5,3,0,0,0,0,0,0
449,SHP0214,214,7,3,0,0,0,2,0,171
450,SHP0306,306,6,1,2,0,1,0,56,0
451,SHP0385,385,7,0,1,2,2,0,45,0
452,SHP0487,487,7,2,2,0,1,0,49,0
453,SHP0425,425,7,4,0,1,0,0,0,0
454,SHP0393,393,7,4,1,0,0,0,0,0
455,SHP0445,445,7,3,0,2,0,0,0,0
456,SHP0206,206,7,1,0,4,0,0,0,0
457,SHP0329,329,8,3,2,0,0,1,0,20
458,SHP0048,48,5,3,0,0,0,0,0,0
459,SHP0373,373,6,3,0,0,0,1,0,20
460,SHP0259,259,6,2,1,1,0,0,0,0
461,SHP0166,166,5,3,0,0,0,0,0,0
462,SHP0061,61,6,4,0,0,0,0,0,0
463,SHP0003,3,8,3,1,0,2,0,60,0
464,SHP0187,187,7,3,0,2,0,0,0,0
465,SHP0174,174,7,5,0,0,0,0,0,0
466,SHP0133,133,5,1,1,0,0,1,0,33
467,SHP0451,451,6,4,0,0,0,0,0,0
468,SHP0210,210,8,4,1,1,0,0,0,0
469,SHP0322,322,6,3,0,1,0,0,0,0
470,SHP0151,151,5,2,0,0,1,0,56,0
471,SHP0470,470,5,2,0,1,0,0,0,0
472,SHP0233,233,6,3,0,0,1,0,16,0
473,SHP0299,299,8,3,2,1,0,0,0,0
474,SHP0282,282,5,2,1,0,0,0,0,0
475,SHP0205,205,7,3,1,1,0,0,0,0
476,SHP0295,295,8,6,0,0,0,0,0,0
477,SHP0023,23,8,2,3,1,0,0,0,0
478,SHP0496,496,5,3,0,0,0,0,0,0
479,SHP0412,412,7,4,0,1,0,0,0,0
480,SHP0420,420,8,5,0,1,0,0,0,0
481,SHP0043,43,7,4,0,1,0,0,0,0
482,SHP0216,216,7,2,2,1,0,0,0,0
483,SHP0264,264,5,2,1,0,0,0,0,0
484,SHP0070,70,7,3,2,0,0,0,0,0
485,SHP0310,310,5,2,1,0,0,0,0,0
486,SHP0130,130,7,2,1,2,0,0,0,0
487,SHP0265,265,5,3,0,0,0,0,0,0
488,SHP0497,497,5,3,0,0,0,0,0,0
489,SHP0359,359,8,3,1,2,0,0,0,0
490,SHP0444,444,6,3,1,0,0,0,0,0
491,SHP0013,13,5,2,1,0,0,0,0,0
492,SHP0085,85,8,6,0,0,0,0,0,0
493,SHP0355,355,6,3,0,1,0,0,0,0
494,SHP0432,432,6,1,3,0,0,0,0,0
495,SHP0294,294,6,1,0,2,1,0,56,0
496,SHP0001,1,8,4,2,0,0,0,0,0
497,SHP0342,342,7,1,2,2,0,0,0,0
498,SHP0103,103,8,4,2,0,0,0,0,0
499,SHP0240,240,7,3,1,1,0,0,0,0
500,SHP0062,62,7,3,1,1,0,0,0,0
