handover_key,shipment_id,shipment_key,total_handovers,signed_handovers,missing_signatures,signature_rate_pct
262,SHP0395,395,2,2,0,100.0
263,SHP0484,484,4,4,0,100.0
264,SHP0325,325,3,3,0,100.0
265,SHP0443,443,4,4,0,100.0
266,SHP0012,12,3,3,0,100.0
267,SHP0454,454,4,4,0,100.0
268,SHP0440,440,2,2,0,100.0
269,SHP0136,136,2,2,0,100.0
270,SHP0437,437,4,4,0,100.0
271,SHP0413,413,3,3,0,100.0
272,SHP0383,383,2,2,0,100.0
273,SHP0488,488,3,3,0,100.0
274,SHP0458,458,4,4,0,100.0
275,SHP0146,146,4,3,1,75.0
276,SHP0448,448,4,3,1,75.0
277,SHP0017,17,4,4,0,100.0
278,SHP0455,455,2,2,0,100.0
279,SHP0237,237,3,3,0,100.0
280,SHP0089,89,3,3,0,100.0
281,SHP0056,56,2,2,0,100.0
282,SHP0050,50,4,4,0,100.0
283,SHP0449,449,3,3,0,100.0
284,SHP0116,116,4,3,1,75.0
285,SHP0424,424,3,3,0,100.0
286,SHP0375,375,3,3,0,100.0
287,SHP0213,213,4,4,0,100.0
288,SHP0112,112,3,3,0,100.0
289,SHP0170,170,4,4,0,100.0
290,SHP0194,194,4,3,1,75.0
291,SHP0071,71,2,1,1,50.0
292,SHP0396,396,4,3,1,75.0
293,SHP0469,469,3,3,0,100.0
294,SHP0191,191,3,3,0,100.0
295,SHP0304,304,2,2,0,100.0
296,SHP0339,339,3,2,1,66.67
297,SHP0059,59,4,4,0,100.0
298,SHP0378,378,3,3,0,100.0
299,SHP0388,388,3,3,0,100.0
300,SHP0162,162,2,2,0,100.0
301,SHP0398,398,4,4,0,100.0
302,SHP0041,41,3,3,0,100.0
303,SHP0069,69,3,2,1,66.67
304,SHP0083,83,3,3,0,100.0
305,SHP0331,331,3,2,1,66.67
306,SHP0328,328,3,3,0,100.0
307,SHP0034,34,4,3,1,75.0
308,SHP0336,336,2,2,0,100.0
309,SHP0430,430,4,4,0,100.0
310,SHP0309,309,2,2,0,100.0
311,SHP0241,241,2,1,1,50.0
312,SHP0268,268,3,3,0,100.0
313,SHP0080,80,2,2,0,100.0
314,SHP0471,471,4,4,0,100.0
315,SHP0106,106,3,2,1,66.67
316,SHP0261,261,3,3,0,100.0
317,SHP0371,371,3,3,0,100.0
318,SHP0232,232,4,3,1,75.0
319,SHP0324,324,4,4,0,100.0
320,SHP0263,263,3,3,0,100.0
321,SHP0394,394,3,2,1,66.67
322,SHP0167,167,4,4,0,100.0
323,SHP0409,409,3,3,0,100.0
324,SHP0027,27,3,3,0,100.0
325,SHP0014,14,3,3,0,100.0
326,SHP0094,94,2,2,0,100.0
327,SHP0356,356,2,2,0,100.0
328,SHP0189,189,4,3,1,75.0
329,SHP0105,105,2,2,0,100.0
330,SHP0486,486,3,3,0,100.0
331,SHP0196,196,4,3,1,75.0
332,SHP0301,301,2,2,0,100.0
333,SHP0461,461,4,3,1,75.0
334,SHP0047,47,2,2,0,100.0
335,SHP0459,459,3,2,1,66.67
336,SHP0039,39,4,4,0,100.0
337,SHP0399,399,2,2,0,100.0
338,SHP0323,323,2,2,0,100.0
339,SHP0054,54,3,3,0,100.0
340,SHP0171,171,3,3,0,100.0
341,SHP0147,147,3,3,0,100.0
342,SHP0495,495,4,4,0,100.0
343,SHP0006,6,3,3,0,100.0
344,SHP0308,308,4,3,1,75.0
345,SHP0429,429,3,3,0,100.0
346,SHP0387,387,3,3,0,100.0
347,SHP0063,63,2,2,0,100.0
348,SHP0286,286,2,1,1,50.0
349,SHP0244,244,4,4,0,100.0
350,SHP0452,452,3,3,0,100.0
351,SHP0348,348,4,4,0,100.0
352,SHP0230,230,2,2,0,100.0
353,SHP0051,51,4,3,1,75.0
354,SHP0344,344,4,3,1,75.0
355,SHP0040,40,3,3,0,100.0
356,SHP0009,9,4,4,0,100.0
357,SHP0184,184,3,3,0,100.0
358,SHP0129,129,3,3,0,100.0
359,SHP0401,401,4,4,0,100.0
360,SHP0293,293,2,2,0,100.0
361,SHP0439,439,4,4,0,100.0
362,SHP0045,45,2,2,0,100.0
363,SHP0200,200,2,2,0,100.0
364,SHP0100,100,2,2,0,100.0
365,SHP0479,479,3,2,1,66.67
366,SHP0247,247,4,4,0,100.0
367,SHP0367,367,4,3,1,75.0
368,SHP0238,238,2,2,0,100.0
369,SHP0363,363,2,2,0,100.0
370,SHP0161,161,3,2,1,66.67
371,SHP0157,157,3,3,0,100.0
372,SHP0416,416,3,3,0,100.0
373,SHP0219,219,3,2,1,66.67
374,SHP0111,111,3,3,0,100.0
375,SHP0164,164,4,4,0,100.0
376,SHP0302,302,2,2,0,100.0
377,SHP0436,436,3,3,0,100.0
378,SHP0297,297,3,3,0,100.0
379,SHP0262,262,3,3,0,100.0
380,SHP0197,197,4,4,0,100.0
381,SHP0092,92,2,2,0,100.0
382,SHP0379,379,3,3,0,100.0
383,SHP0201,201,3,3,0,100.0
384,SHP0475,475,4,3,1,75.0
385,SHP0035,35,3,3,0,100.0
386,SHP0406,406,3,3,0,100.0
387,SHP0427,427,4,4,0,100.0
388,SHP0192,192,4,4,0,100.0
389,SHP0091,91,2,2,0,100.0
390,SHP0453,453,2,2,0,100.0
391,SHP0326,326,2,2,0,100.0
392,SHP0015,15,2,2,0,100.0
393,SHP0345,345,3,3,0,100.0
394,SHP0335,335,4,4,0,100.0
395,SHP0447,447,2,1,1,50.0
396,SHP0227,227,2,1,1,50.0
397,SHP0185,185,2,1,1,50.0
398,SHP0270,270,2,2,0,100.0
399,SHP0163,163,2,1,1,50.0
400,SHP0380,380,3,3,0,100.0
401,SHP0215,215,2,1,1,50.0
402,SHP0181,181,3,3,0,100.0
403,SHP0361,361,4,4,0,100.0
404,SHP0372,372,2,2,0,100.0
405,SHP0016,16,4,4,0,100.0
406,SHP0044,44,4,4,0,100.0
407,SHP0208,208,3,3,0,100.0
408,SHP0298,298,3,3,0,100.0
409,SHP0256,256,3,2,1,66.67
410,SHP0011,11,3,3,0,100.0
411,SHP0046,46,3,2,1,66.67
412,SHP0096,96,4,4,0,100.0
413,SHP0072,72,3,3,0,100.0
414,SHP0024,24,4,4,0,100.0
415,SHP0377,377,4,4,0,100.0
416,SHP0087,87,3,3,0,100.0
417,SHP0211,211,2,2,0,100.0
418,SHP0287,287,3,3,0,100.0
419,SHP0397,397,3,3,0,100.0
420,SHP0065,65,2,2,0,100.0
421,SHP0368,368,3,3,0,100.0
422,SHP0172,172,2,2,0,100.0
423,SHP0022,22,2,2,0,100.0
424,SHP0225,225,3,3,0,100.0
425,SHP0088,88,2,2,0,100.0
426,SHP0202,202,2,2,0,100.0
427,SHP0366,366,2,2,0,100.0
428,SHP0478,478,3,3,0,100.0
429,SHP0236,236,2,2,0,100.0
430,SHP0125,125,4,4,0,100.0
431,SHP0245,245,4,4,0,100.0
432,SHP0165,165,2,2,0,100.0
433,SHP0411,411,2,1,1,50.0
434,SHP0312,312,2,1,1,50.0
435,SHP0021,21,4,4,0,100.0
436,SHP0472,472,2,2,0,100.0
437,SHP0433,433,2,2,0,100.0
438,SHP0156,156,3,2,1,66.67
439,SHP0078,78,4,4,0,100.0
440,SHP0291,291,2,2,0,100.0
441,SHP0007,7,3,2,1,66.67
442,SHP0499,499,3,3,0,100.0
443,SHP0168,168,4,4,0,100.0
444,SHP0082,82,3,2,1,66.67
445,SHP0284,284,3,3,0,100.0
446,SHP0418,418,4,3,1,75.0
447,SHP0381,381,3,2,1,66.67
448,SHP0422,422,2,2,0,100.0
449,SHP0214,214,3,2,1,66.67
450,SHP0306,306,2,2,0,100.0
451,SHP0385,385,2,2,0,100.0
452,SHP0487,487,4,4,0,100.0
453,SHP0425,425,3,3,0,100.0
454,SHP0393,393,3,3,0,100.0
455,SHP0445,445,4,4,0,100.0
456,SHP0206,206,3,3,0,100.0
457,SHP0329,329,3,2,1,66.67
458,SHP0048,48,2,2,0,100.0
459,SHP0373,373,3,3,0,100.0
460,SHP0259,259,3,3,0,100.0
461,SHP0166,166,3,3,0,100.0
462,SHP0061,61,2,1,1,50.0
463,SHP0003,3,4,3,1,75.0
464,SHP0187,187,4,4,0,100.0
465,SHP0174,174,3,3,0,100.0
466,SHP0133,133,4,4,0,100.0
467,SHP0451,451,2,1,1,50.0
468,SHP0210,210,4,4,0,100.0
469,SHP0322,322,2,2,0,100.0
470,SHP0151,151,3,3,0,100.0
471,SHP0470,470,3,2,1,66.67
472,SHP0233,233,3,3,0,100.0
473,SHP0299,299,4,4,0,100.0
474,SHP0282,282,3,3,0,100.0
475,SHP0205,205,4,4,0,100.0
476,SHP0295,295,4,4,0,100.0
477,SHP0023,23,2,2,0,100.0
478,SHP0496,496,2,2,0,100.0
479,SHP0412,412,4,4,0,100.0
480,SHP0420,420,2,2,0,100.0
481,SHP0043,43,3,3,0,100.0
482,SHP0216,216,2,2,0,100.0
483,SHP0264,264,2,0,2,0.0
484,SHP0070,70,4,4,0,100.0
485,SHP0310,310,2,1,1,50.0
486,SHP0130,130,3,3,0,100.0
487,SHP0265,265,3,2,1,66.67
488,SHP0497,497,4,4,0,100.0
489,SHP0359,359,3,3,0,100.0
490,SHP0444,444,2,2,0,100.0
491,SHP0013,13,2,1,1,50.0
492,SHP0085,85,3,3,0,100.0
493,SHP0355,355,3,2,1,66.67
494,SHP0432,432,3,3,0,100.0
495,SHP0294,294,3,3,0,100.0
496,SHP0001,1,3,3,0,100.0
497,SHP0342,342,4,4,0,100.0
498,SHP0103,103,4,4,0,100.0
499,SHP0240,240,4,4,0,100.0
500,SHP0062,62,2,2,0,100.0
