product_key,batch_id,product_name,product_type,min_temperature_c,max_temperature_c,quantity,expiry_date
59,B0059,Cheese,Chilled,2.0,8.0,61,2026-08-23
60,B0060,Frozen French Fries,Frozen,-25.0,-18.0,185,2026-08-23
61,B0061,Fresh Milk,Chilled,2.0,8.0,66,2026-08-11
62,B0062,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,40,2026-08-28
63,B0063,Frozen French Fries,Frozen,-25.0,-18.0,285,2026-08-24
64,B0064,Fresh Paneer,Chilled,2.0,8.0,112,2026-08-22
65,B0065,Cheese,Chilled,2.0,8.0,66,2026-08-19
66,B0066,Cheese,Chilled,2.0,8.0,190,2026-08-14
67,B0067,Frozen Corn,Frozen,-25.0,-18.0,188,2026-08-17
68,B0068,Fresh Paneer,Chilled,2.0,8.0,225,2026-08-30
69,B0069,Frozen French Fries,Frozen,-25.0,-18.0,65,2026-08-14
70,B0070,Fresh Paneer,Chilled,2.0,8.0,79,2026-08-28
71,B0071,Fresh Cream,Chilled,2.0,8.0,20,2026-08-25
72,B0072,Cheese,Chilled,2.0,8.0,47,2026-08-10
73,B0073,Fresh Cream,Chilled,2.0,8.0,275,2026-08-24
74,B0074,Fresh Milk,Chilled,2.0,8.0,124,2026-08-12
75,B0075,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,244,2026-08-26
76,B0076,Fresh Milk,Chilled,2.0,8.0,34,2026-08-24
77,B0077,Frozen Corn,Frozen,-25.0,-18.0,179,2026-08-21
78,B0078,Frozen Paneer,Frozen,-25.0,-18.0,228,2026-08-06
79,B0079,Frozen Peas,Frozen,-25.0,-18.0,256,2026-08-07
80,B0080,Frozen French Fries,Frozen,-25.0,-18.0,169,2026-08-20
81,B0081,Cheese,Chilled,2.0,8.0,267,2026-08-19
82,B0082,Frozen French Fries,Frozen,-25.0,-18.0,94,2026-08-16
83,B0083,Frozen Paneer,Frozen,-25.0,-18.0,280,2026-08-27
84,B0084,Frozen Peas,Frozen,-25.0,-18.0,161,2026-08-28
85,B0085,Fresh Paneer,Chilled,2.0,8.0,279,2026-08-12
86,B0086,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,172,2026-08-30
87,B0087,Yogurt,Chilled,2.0,8.0,248,2026-08-21
88,B0088,Fresh Paneer,Chilled,2.0,8.0,190,2026-08-21
89,B0089,Cheese,Chilled,2.0,8.0,184,2026-08-31
90,B0090,Frozen Corn,Frozen,-25.0,-18.0,216,2026-08-11
91,B0091,Fresh Milk,Chilled,2.0,8.0,182,2026-08-27
92,B0092,Cheese,Chilled,2.0,8.0,217,2026-08-25
93,B0093,Frozen French Fries,Frozen,-25.0,-18.0,38,2026-08-08
94,B0094,Fresh Milk,Chilled,2.0,8.0,245,2026-08-07
95,B0095,Fresh Milk,Chilled,2.0,8.0,93,2026-08-17
96,B0096,Frozen Peas,Frozen,-25.0,-18.0,260,2026-08-29
97,B0097,Fresh Paneer,Chilled,2.0,8.0,223,2026-08-24
98,B0098,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,293,2026-08-16
99,B0099,Cheese,Chilled,2.0,8.0,297,2026-08-05
100,B0100,Frozen Corn,Frozen,-25.0,-18.0,167,2026-08-11
101,B0101,Frozen French Fries,Frozen,-25.0,-18.0,70,2026-08-28
102,B0102,Frozen French Fries,Frozen,-25.0,-18.0,105,2026-08-26
103,B0103,Fresh Milk,Chilled,2.0,8.0,43,2026-08-14
104,B0104,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,203,2026-08-15
105,B0105,Yogurt,Chilled,2.0,8.0,145,2026-08-20
106,B0106,Fresh Cream,Chilled,2.0,8.0,112,2026-08-09
107,B0107,Frozen Peas,Frozen,-25.0,-18.0,215,2026-08-23
108,B0108,Frozen French Fries,Frozen,-25.0,-18.0,93,2026-08-11
109,B0109,Fresh Paneer,Chilled,2.0,8.0,255,2026-08-12
110,B0110,Frozen French Fries,Frozen,-25.0,-18.0,167,2026-08-25
111,B0111,Frozen Peas,Frozen,-25.0,-18.0,246,2026-08-15
112,B0112,Cheese,Chilled,2.0,8.0,148,2026-08-18
113,B0113,Yogurt,Chilled,2.0,8.0,216,2026-08-31
114,B0114,Fresh Milk,Chilled,2.0,8.0,141,2026-08-16
115,B0115,Fresh Cream,Chilled,2.0,8.0,171,2026-08-26
116,B0116,Fresh Milk,Chilled,2.0,8.0,222,2026-08-12
117,B0117,Frozen Paneer,Frozen,-25.0,-18.0,45,2026-08-23
118,B0118,Fresh Paneer,Chilled,2.0,8.0,137,2026-08-23
119,B0119,Yogurt,Chilled,2.0,8.0,117,2026-08-23
120,B0120,Yogurt,Chilled,2.0,8.0,69,2026-08-24
121,B0121,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,245,2026-08-05
122,B0122,Yogurt,Chilled,2.0,8.0,66,2026-08-13
123,B0123,Cheese,Chilled,2.0,8.0,109,2026-08-10
124,B0124,Frozen Paneer,Frozen,-25.0,-18.0,207,2026-08-20
125,B0125,Yogurt,Chilled,2.0,8.0,151,2026-08-30
126,B0126,Fresh Paneer,Chilled,2.0,8.0,193,2026-08-29
127,B0127,Frozen French Fries,Frozen,-25.0,-18.0,58,2026-08-08
128,B0128,Frozen French Fries,Frozen,-25.0,-18.0,207,2026-08-06
129,B0129,Fresh Milk,Chilled,2.0,8.0,155,2026-08-21
130,B0130,Frozen French Fries,Frozen,-25.0,-18.0,208,2026-08-25
131,B0131,Fresh Cream,Chilled,2.0,8.0,215,2026-08-30
132,B0132,Fresh Milk,Chilled,2.0,8.0,139,2026-08-19
133,B0133,Frozen Paneer,Frozen,-25.0,-18.0,187,2026-08-23
134,B0134,Frozen Peas,Frozen,-25.0,-18.0,257,2026-08-26
135,B0135,Cheese,Chilled,2.0,8.0,79,2026-08-08
136,B0136,Frozen Peas,Frozen,-25.0,-18.0,175,2026-08-19
137,B0137,Frozen Peas,Frozen,-25.0,-18.0,140,2026-08-21
138,B0138,Frozen French Fries,Frozen,-25.0,-18.0,252,2026-08-15
139,B0139,Fresh Cream,Chilled,2.0,8.0,99,2026-08-17
140,B0140,Frozen French Fries,Frozen,-25.0,-18.0,228,2026-08-12
141,B0141,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,131,2026-08-18
142,B0142,Yogurt,Chilled,2.0,8.0,205,2026-08-07
143,B0143,Fresh Cream,Chilled,2.0,8.0,203,2026-08-05
144,B0144,Fresh Paneer,Chilled,2.0,8.0,117,2026-08-07
145,B0145,Fresh Milk,Chilled,2.0,8.0,128,2026-08-24
146,B0146,Frozen Peas,Frozen,-25.0,-18.0,190,2026-08-11
147,B0147,Frozen Paneer,Frozen,-25.0,-18.0,125,2026-08-06
148,B0148,Frozen Paneer,Frozen,-25.0,-18.0,130,2026-08-30
149,B0149,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,95,2026-08-29
150,B0150,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,94,2026-08-08
151,B0151,Yogurt,Chilled,2.0,8.0,76,2026-08-25
152,B0152,Frozen Corn,Frozen,-25.0,-18.0,27,2026-08-15
153,B0153,Frozen Paneer,Frozen,-25.0,-18.0,185,2026-08-04
154,B0154,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,46,2026-08-08
155,B0155,Fresh Cream,Chilled,2.0,8.0,78,2026-08-27
156,B0156,Frozen French Fries,Frozen,-25.0,-18.0,249,2026-08-28
157,B0157,Fresh Cream,Chilled,2.0,8.0,75,2026-08-18
158,B0158,Frozen Paneer,Frozen,-25.0,-18.0,42,2026-08-27
159,B0159,Cheese,Chilled,2.0,8.0,35,2026-08-05
160,B0160,Cheese,Chilled,2.0,8.0,238,2026-08-25
161,B0161,Frozen French Fries,Frozen,-25.0,-18.0,247,2026-08-06
162,B0162,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,95,2026-08-06
163,B0163,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,300,2026-08-26
164,B0164,Cheese,Chilled,2.0,8.0,291,2026-08-13
165,B0165,Fresh Cream,Chilled,2.0,8.0,240,2026-08-07
166,B0166,Frozen Paneer,Frozen,-25.0,-18.0,130,2026-08-17
167,B0167,Yogurt,Chilled,2.0,8.0,231,2026-08-14
168,B0168,Cheese,Chilled,2.0,8.0,232,2026-08-27
169,B0169,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,238,2026-08-14
170,B0170,Fresh Paneer,Chilled,2.0,8.0,98,2026-08-25
171,B0171,Fresh Milk,Chilled,2.0,8.0,66,2026-08-30
172,B0172,Frozen Peas,Frozen,-25.0,-18.0,241,2026-08-07
173,B0173,Yogurt,Chilled,2.0,8.0,50,2026-08-22
174,B0174,Fresh Milk,Chilled,2.0,8.0,230,2026-08-15
175,B0175,Fresh Milk,Chilled,2.0,8.0,167,2026-08-23
176,B0176,Fresh Paneer,Chilled,2.0,8.0,73,2026-08-22
177,B0177,Frozen Corn,Frozen,-25.0,-18.0,266,2026-08-11
178,B0178,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,208,2026-08-07
179,B0179,Fresh Cream,Chilled,2.0,8.0,135,2026-08-29
180,B0180,Fresh Cream,Chilled,2.0,8.0,33,2026-08-23
181,B0181,Fresh Milk,Chilled,2.0,8.0,112,2026-08-12
182,B0182,Fresh Paneer,Chilled,2.0,8.0,199,2026-08-04
183,B0183,Frozen Corn,Frozen,-25.0,-18.0,225,2026-08-06
184,B0184,Frozen Peas,Frozen,-25.0,-18.0,66,2026-08-27
185,B0185,Frozen French Fries,Frozen,-25.0,-18.0,234,2026-08-18
186,B0186,Yogurt,Chilled,2.0,8.0,209,2026-08-13
187,B0187,Fresh Cream,Chilled,2.0,8.0,63,2026-08-05
188,B0188,Frozen Corn,Frozen,-25.0,-18.0,45,2026-08-25
189,B0189,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,246,2026-08-25
190,B0190,Cheese,Chilled,2.0,8.0,246,2026-08-17
191,B0191,Yogurt,Chilled,2.0,8.0,282,2026-08-07
192,B0192,Cheese,Chilled,2.0,8.0,76,2026-08-13
193,B0193,Fresh Cream,Chilled,2.0,8.0,177,2026-08-05
194,B0194,Frozen French Fries,Frozen,-25.0,-18.0,48,2026-08-04
195,B0195,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,128,2026-08-28
196,B0196,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,168,2026-08-14
197,B0197,Frozen Peas,Frozen,-25.0,-18.0,274,2026-08-27
198,B0198,Yogurt,Chilled,2.0,8.0,86,2026-08-16
199,B0199,Frozen Paneer,Frozen,-25.0,-18.0,201,2026-08-06
200,B0200,Fresh Milk,Chilled,2.0,8.0,243,2026-08-04
201,B0201,Fresh Milk,Chilled,2.0,8.0,180,2026-08-22
202,B0202,Fresh Cream,Chilled,2.0,8.0,227,2026-08-26
203,B0203,Fresh Paneer,Chilled,2.0,8.0,78,2026-08-16
204,B0204,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,107,2026-08-29
205,B0205,Fresh Paneer,Chilled,2.0,8.0,65,2026-08-17
206,B0206,Frozen Corn,Frozen,-25.0,-18.0,243,2026-08-22
207,B0207,Fresh Cream,Chilled,2.0,8.0,60,2026-08-16
208,B0208,Fresh Paneer,Chilled,2.0,8.0,133,2026-08-14
209,B0209,Frozen Peas,Frozen,-25.0,-18.0,281,2026-08-24
210,B0210,Frozen Paneer,Frozen,-25.0,-18.0,281,2026-08-10
211,B0211,Fresh Paneer,Chilled,2.0,8.0,95,2026-08-11
212,B0212,Frozen Corn,Frozen,-25.0,-18.0,151,2026-08-10
213,B0213,Frozen Paneer,Frozen,-25.0,-18.0,98,2026-08-28
214,B0214,Frozen Corn,Frozen,-25.0,-18.0,272,2026-08-18
215,B0215,Fresh Cream,Chilled,2.0,8.0,185,2026-08-31
216,B0216,Yogurt,Chilled,2.0,8.0,245,2026-08-06
217,B0217,Cheese,Chilled,2.0,8.0,175,2026-08-29
218,B0218,Fresh Cream,Chilled,2.0,8.0,48,2026-08-15
219,B0219,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,256,2026-08-18
220,B0220,Frozen Peas,Frozen,-25.0,-18.0,208,2026-08-30
221,B0221,Fresh Milk,Chilled,2.0,8.0,66,2026-08-23
222,B0222,Cheese,Chilled,2.0,8.0,41,2026-08-18
223,B0223,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,263,2026-08-20
224,B0224,Frozen Peas,Frozen,-25.0,-18.0,250,2026-08-07
225,B0225,Fresh Milk,Chilled,2.0,8.0,278,2026-08-24
226,B0226,Frozen Peas,Frozen,-25.0,-18.0,146,2026-08-26
227,B0227,Cheese,Chilled,2.0,8.0,288,2026-08-20
228,B0228,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,210,2026-08-13
229,B0229,Cheese,Chilled,2.0,8.0,193,2026-08-25
230,B0230,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,53,2026-08-14
231,B0231,Frozen Paneer,Frozen,-25.0,-18.0,217,2026-08-13
232,B0232,Fresh Cream,Chilled,2.0,8.0,96,2026-08-14
233,B0233,Frozen Paneer,Frozen,-25.0,-18.0,92,2026-08-15
234,B0234,Cheese,Chilled,2.0,8.0,86,2026-08-23
235,B0235,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,212,2026-08-24
236,B0236,Yogurt,Chilled,2.0,8.0,289,2026-08-06
237,B0237,Fresh Cream,Chilled,2.0,8.0,205,2026-08-04
238,B0238,Fresh Paneer,Chilled,2.0,8.0,112,2026-08-10
239,B0239,Cheese,Chilled,2.0,8.0,118,2026-08-11
240,B0240,Frozen Corn,Frozen,-25.0,-18.0,59,2026-08-13
241,B0241,Frozen Paneer,Frozen,-25.0,-18.0,296,2026-08-30
242,B0242,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,87,2026-08-23
243,B0243,Yogurt,Chilled,2.0,8.0,103,2026-08-09
244,B0244,Frozen French Fries,Frozen,-25.0,-18.0,42,2026-08-17
245,B0245,Yogurt,Chilled,2.0,8.0,247,2026-08-23
246,B0246,Cheese,Chilled,2.0,8.0,139,2026-08-21
247,B0247,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,260,2026-08-30
248,B0248,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,245,2026-08-18
249,B0249,Cheese,Chilled,2.0,8.0,277,2026-08-20
250,B0250,Yogurt,Chilled,2.0,8.0,122,2026-08-29
251,B0251,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,46,2026-08-24
252,B0252,Fresh Paneer,Chilled,2.0,8.0,72,2026-08-26
253,B0253,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,62,2026-08-28
254,B0254,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,250,2026-08-20
255,B0255,Frozen French Fries,Frozen,-25.0,-18.0,66,2026-08-11
256,B0256,Fresh Paneer,Chilled,2.0,8.0,33,2026-08-17
257,B0257,Frozen French Fries,Frozen,-25.0,-18.0,277,2026-08-15
258,B0258,Frozen French Fries,Frozen,-25.0,-18.0,61,2026-08-15
259,B0259,Frozen Peas,Frozen,-25.0,-18.0,183,2026-08-07
260,B0260,Yogurt,Chilled,2.0,8.0,90,2026-08-05
261,B0261,Cheese,Chilled,2.0,8.0,91,2026-08-28
262,B0262,Cheese,Chilled,2.0,8.0,22,2026-08-06
263,B0263,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,130,2026-08-30
264,B0264,Frozen Paneer,Frozen,-25.0,-18.0,290,2026-08-17
265,B0265,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,141,2026-08-13
266,B0266,Frozen Peas,Frozen,-25.0,-18.0,142,2026-08-17
267,B0267,Fresh Milk,Chilled,2.0,8.0,76,2026-08-30
268,B0268,Fresh Cream,Chilled,2.0,8.0,294,2026-08-04
269,B0269,Frozen Corn,Frozen,-25.0,-18.0,169,2026-08-17
270,B0270,Frozen Paneer,Frozen,-25.0,-18.0,200,2026-08-11
271,B0271,Yogurt,Chilled,2.0,8.0,63,2026-08-20
272,B0272,Fresh Milk,Chilled,2.0,8.0,289,2026-08-21
273,B0273,Frozen French Fries,Frozen,-25.0,-18.0,260,2026-08-05
274,B0274,Fresh Paneer,Chilled,2.0,8.0,149,2026-08-27
275,B0275,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,54,2026-08-15
276,B0276,Frozen Peas,Frozen,-25.0,-18.0,190,2026-08-08
277,B0277,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,299,2026-08-14
278,B0278,Frozen French Fries,Frozen,-25.0,-18.0,265,2026-08-24
279,B0279,Frozen Corn,Frozen,-25.0,-18.0,52,2026-08-26
280,B0280,Fresh Milk,Chilled,2.0,8.0,170,2026-08-10
281,B0281,Frozen Corn,Frozen,-25.0,-18.0,41,2026-08-14
282,B0282,Fresh Cream,Chilled,2.0,8.0,223,2026-08-30
283,B0283,Fresh Paneer,Chilled,2.0,8.0,38,2026-08-28
284,B0284,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,202,2026-08-31
285,B0285,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,159,2026-08-07
286,B0286,Cheese,Chilled,2.0,8.0,224,2026-08-27
287,B0287,Cheese,Chilled,2.0,8.0,193,2026-08-09
288,B0288,Cheese,Chilled,2.0,8.0,208,2026-08-29
289,B0289,Fresh Milk,Chilled,2.0,8.0,237,2026-08-06
290,B0290,Fresh Cream,Chilled,2.0,8.0,112,2026-08-21
291,B0291,Fresh Paneer,Chilled,2.0,8.0,72,2026-08-06
292,B0292,Fresh Paneer,Chilled,2.0,8.0,176,2026-08-18
293,B0293,Yogurt,Chilled,2.0,8.0,247,2026-08-15
294,B0294,Fresh Milk,Chilled,2.0,8.0,200,2026-08-23
295,B0295,Fresh Paneer,Chilled,2.0,8.0,49,2026-08-06
296,B0296,Fresh Paneer,Chilled,2.0,8.0,282,2026-08-29
297,B0297,Frozen Peas,Frozen,-25.0,-18.0,93,2026-08-31
298,B0298,Fresh Milk,Chilled,2.0,8.0,84,2026-08-06
299,B0299,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,205,2026-08-16
300,B0300,Frozen Paneer,Frozen,-25.0,-18.0,98,2026-08-25
301,B0301,Fresh Paneer,Chilled,2.0,8.0,210,2026-08-18
302,B0302,Frozen Paneer,Frozen,-25.0,-18.0,90,2026-08-20
303,B0303,Cheese,Chilled,2.0,8.0,180,2026-08-24
304,B0304,Yogurt,Chilled,2.0,8.0,78,2026-08-04
305,B0305,Frozen French Fries,Frozen,-25.0,-18.0,285,2026-08-16
306,B0306,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,153,2026-08-26
307,B0307,Yogurt,Chilled,2.0,8.0,166,2026-08-26
308,B0308,Yogurt,Chilled,2.0,8.0,82,2026-08-08
309,B0309,Frozen French Fries,Frozen,-25.0,-18.0,108,2026-08-26
310,B0310,Fresh Milk,Chilled,2.0,8.0,183,2026-08-25
311,B0311,Fresh Milk,Chilled,2.0,8.0,297,2026-08-13
312,B0312,Yogurt,Chilled,2.0,8.0,109,2026-08-29
313,B0313,Fresh Cream,Chilled,2.0,8.0,134,2026-08-07
314,B0314,Frozen Corn,Frozen,-25.0,-18.0,141,2026-08-29
315,B0315,Fresh Milk,Chilled,2.0,8.0,204,2026-08-21
316,B0316,Cheese,Chilled,2.0,8.0,86,2026-08-23
317,B0317,Frozen Peas,Frozen,-25.0,-18.0,178,2026-08-16
318,B0318,Fresh Cream,Chilled,2.0,8.0,230,2026-08-28
319,B0319,Fresh Cream,Chilled,2.0,8.0,57,2026-08-08
320,B0320,Fresh Milk,Chilled,2.0,8.0,250,2026-08-18
321,B0321,Yogurt,Chilled,2.0,8.0,113,2026-08-28
322,B0322,Frozen French Fries,Frozen,-25.0,-18.0,277,2026-08-31
323,B0323,Frozen Peas,Frozen,-25.0,-18.0,285,2026-08-08
324,B0324,Yogurt,Chilled,2.0,8.0,102,2026-08-14
325,B0325,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,285,2026-08-13
326,B0326,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,120,2026-08-24
327,B0327,Yogurt,Chilled,2.0,8.0,175,2026-08-23
328,B0328,Frozen Paneer,Frozen,-25.0,-18.0,106,2026-08-22
329,B0329,Frozen Corn,Frozen,-25.0,-18.0,192,2026-08-30
330,B0330,Frozen Peas,Frozen,-25.0,-18.0,61,2026-08-05
331,B0331,Yogurt,Chilled,2.0,8.0,233,2026-08-23
332,B0332,Frozen French Fries,Frozen,-25.0,-18.0,299,2026-08-13
333,B0333,Cheese,Chilled,2.0,8.0,145,2026-08-29
334,B0334,Fresh Paneer,Chilled,2.0,8.0,252,2026-08-06
335,B0335,Frozen Corn,Frozen,-25.0,-18.0,245,2026-08-17
336,B0336,Cheese,Chilled,2.0,8.0,124,2026-08-14
337,B0337,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,183,2026-08-27
338,B0338,Cheese,Chilled,2.0,8.0,86,2026-08-28
339,B0339,Fresh Cream,Chilled,2.0,8.0,74,2026-08-14
340,B0340,Frozen French Fries,Frozen,-25.0,-18.0,82,2026-08-12
341,B0341,Yogurt,Chilled,2.0,8.0,92,2026-08-07
342,B0342,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,216,2026-08-31
343,B0343,Yogurt,Chilled,2.0,8.0,101,2026-08-30
344,B0344,Fresh Cream,Chilled,2.0,8.0,180,2026-08-10
345,B0345,Frozen French Fries,Frozen,-25.0,-18.0,283,2026-08-18
346,B0346,Fresh Paneer,Chilled,2.0,8.0,274,2026-08-04
347,B0347,Frozen French Fries,Frozen,-25.0,-18.0,278,2026-08-18
348,B0348,Frozen Corn,Frozen,-25.0,-18.0,200,2026-08-05
349,B0349,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,273,2026-08-23
350,B0350,Fresh Paneer,Chilled,2.0,8.0,294,2026-08-04
351,B0351,Frozen French Fries,Frozen,-25.0,-18.0,88,2026-08-12
352,B0352,Cheese,Chilled,2.0,8.0,207,2026-08-05
353,B0353,Fresh Milk,Chilled,2.0,8.0,119,2026-08-15
354,B0354,Fresh Milk,Chilled,2.0,8.0,217,2026-08-20
355,B0355,Fresh Cream,Chilled,2.0,8.0,163,2026-08-30
356,B0356,Frozen Corn,Frozen,-25.0,-18.0,69,2026-08-16
357,B0357,Fresh Paneer,Chilled,2.0,8.0,207,2026-08-28
358,B0358,Frozen Corn,Frozen,-25.0,-18.0,280,2026-08-16
359,B0359,Frozen Peas,Frozen,-25.0,-18.0,39,2026-08-08
360,B0360,Cheese,Chilled,2.0,8.0,285,2026-08-18
361,B0361,Frozen Paneer,Frozen,-25.0,-18.0,283,2026-08-08
362,B0362,Fresh Cream,Chilled,2.0,8.0,183,2026-08-09
363,B0363,Fresh Cream,Chilled,2.0,8.0,173,2026-08-22
364,B0364,Fresh Cream,Chilled,2.0,8.0,280,2026-08-21
365,B0365,Fresh Cream,Chilled,2.0,8.0,173,2026-08-19
366,B0366,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,189,2026-08-25
367,B0367,Frozen French Fries,Frozen,-25.0,-18.0,177,2026-08-29
368,B0368,Frozen Paneer,Frozen,-25.0,-18.0,262,2026-08-12
369,B0369,Frozen Peas,Frozen,-25.0,-18.0,265,2026-08-09
370,B0370,Yogurt,Chilled,2.0,8.0,144,2026-08-05
371,B0371,Frozen Corn,Frozen,-25.0,-18.0,29,2026-08-18
