shipment_id,batch_id,vehicle_id,origin,destination,departure_time,arrival_time,status
SHP0033,B0033,V040,Mumbai,Kochi,2026-08-01 06:23:00,2026-08-01 08:27:00,Completed
SHP0034,B0034,V045,Kochi,Bangalore,2026-08-05 05:21:00,2026-08-05 10:00:00,Completed
SHP0035,B0035,V063,Kochi,Mumbai,2026-08-06 05:16:00,2026-08-06 11:11:00,Completed
SHP0036,B0036,V090,Bangalore,Pune,2026-08-05 08:32:00,2026-08-05 12:36:00,Completed
SHP0037,B0037,V026,Chennai,Pune,2026-08-01 09:10:00,2026-08-01 13:18:00,Completed
SHP0038,B0038,V088,Coimbatore,Kochi,2026-08-06 05:57:00,2026-08-06 11:50:00,Completed
SHP0039,B0039,V042,Bangalore,Hyderabad,2026-08-05 10:32:00,2026-08-05 11:33:00,Completed
SHP0040,B0040,V072,Chennai,Hyderabad,2026-08-02 05:30:00,2026-08-02 09:36:00,Completed
SHP0041,B0041,V086,Salem,Coimbatore,2026-08-01 06:59:00,2026-08-01 08:17:00,Completed
SHP0042,B0042,V091,Mumbai,Salem,2026-08-06 06:20:00,2026-08-06 09:27:00,Completed
SHP0043,B0043,V021,Salem,Madurai,2026-08-01 07:52:00,2026-08-01 09:31:00,Completed
SHP0044,B0044,V070,Bengaluru,Madurai,2026-08-03 05:32:00,2026-08-03 06:58:00,Completed
SHP0045,B0045,V008,Coimbatore,Hyderabad,2026-08-01 09:02:00,2026-08-01 13:27:00,Completed
SHP0046,B0046,V083,Bangalore,Pune,2026-08-04 07:49:00,2026-08-04 11:28:00,Completed
SHP0047,B0047,V002,Madurai,Bangalore,2026-08-02 09:29:00,2026-08-02 10:33:00,Completed
SHP0048,B0048,V047,Madurai,Hyderabad,2026-08-06 07:36:00,2026-08-06 11:11:00,Completed
SHP0049,B0049,V100,Bengaluru,Hyderabad,2026-08-01 08:23:00,2026-08-01 13:35:00,Completed
SHP0050,B0050,V099,Hyderabad,Mumbai,2026-08-04 06:09:00,2026-08-04 07:12:00,Completed
SHP0051,B0051,V059,Salem,Chennai,2026-08-02 06:34:00,2026-08-02 10:31:00,Completed
SHP0052,B0052,V045,Chennai,Madurai,2026-08-06 05:48:00,2026-08-06 10:00:00,Completed
SHP0053,B0053,V018,Kochi,Bangalore,2026-08-06 06:33:00,2026-08-06 09:34:00,Completed
SHP0054,B0054,V091,Salem,Pune,2026-08-07 05:09:00,2026-08-07 08:32:00,Completed
SHP0055,B0055,V007,Bangalore,Chennai,2026-08-01 06:57:00,2026-08-01 12:23:00,Completed
SHP0056,B0056,V053,Salem,Madurai,2026-08-02 08:47:00,2026-08-02 10:30:00,Completed
SHP0057,B0057,V017,Bengaluru,Bangalore,2026-08-01 09:08:00,2026-08-01 13:29:00,Completed
SHP0058,B0058,V071,Bangalore,Bengaluru,2026-08-05 09:03:00,2026-08-05 13:45:00,Completed
SHP0059,B0059,V041,Coimbatore,Hyderabad,2026-08-02 07:16:00,2026-08-02 10:57:00,Completed
SHP0060,B0060,V045,Salem,Madurai,2026-08-01 07:28:00,2026-08-01 10:47:00,Completed
SHP0061,B0061,V049,Hyderabad,Bangalore,2026-08-02 06:08:00,2026-08-02 12:07:00,Completed
SHP0062,B0062,V016,Bangalore,Coimbatore,2026-08-04 05:10:00,2026-08-04 10:00:00,Completed
SHP0063,B0063,V017,Pune,Madurai,2026-08-02 08:07:00,2026-08-02 13:41:00,Completed
SHP0064,B0064,V080,Madurai,Hyderabad,2026-08-04 08:19:00,2026-08-04 13:16:00,Completed
SHP0065,B0065,V033,Kochi,Bangalore,2026-08-01 05:10:00,2026-08-01 08:45:00,Completed
SHP0066,B0066,V061,Bengaluru,Chennai,2026-08-02 06:53:00,2026-08-02 10:40:00,Completed
SHP0067,B0067,V028,Coimbatore,Bangalore,2026-08-01 10:15:00,2026-08-01 14:17:00,Completed
SHP0068,B0068,V061,Salem,Mumbai,2026-08-06 05:43:00,2026-08-06 09:16:00,Completed
SHP0069,B0069,V083,Kochi,Coimbatore,2026-08-01 05:25:00,2026-08-01 10:16:00,Completed
SHP0070,B0070,V059,Mumbai,Hyderabad,2026-08-05 05:29:00,2026-08-05 07:21:00,Completed
SHP0071,B0071,V071,Coimbatore,Bangalore,2026-08-06 05:03:00,2026-08-06 07:56:00,Completed
SHP0072,B0072,V051,Coimbatore,Hyderabad,2026-08-03 08:23:00,2026-08-03 10:06:00,Completed
SHP0073,B0073,V064,Bengaluru,Kochi,2026-08-01 05:01:00,2026-08-01 06:34:00,Completed
SHP0074,B0074,V034,Hyderabad,Pune,2026-08-05 06:05:00,2026-08-05 09:54:00,Completed
SHP0075,B0075,V070,Bangalore,Chennai,2026-08-06 08:03:00,2026-08-06 10:29:00,Completed
SHP0076,B0076,V071,Bengaluru,Salem,2026-08-02 10:25:00,2026-08-02 15:39:00,Completed
SHP0077,B0077,V037,Chennai,Salem,2026-08-07 10:27:00,2026-08-07 12:55:00,Completed
SHP0078,B0078,V036,Madurai,Hyderabad,2026-08-01 06:17:00,2026-08-01 09:40:00,Completed
SHP0079,B0079,V062,Pune,Coimbatore,2026-08-02 05:39:00,2026-08-02 08:44:00,Completed
SHP0080,B0080,V087,Kochi,Pune,2026-08-04 08:56:00,2026-08-04 14:37:00,Completed
SHP0081,B0081,V039,Pune,Chennai,2026-08-02 05:17:00,2026-08-02 09:33:00,Completed
SHP0082,B0082,V023,Coimbatore,Salem,2026-08-06 06:41:00,2026-08-06 12:10:00,Completed
SHP0083,B0083,V017,Hyderabad,Mumbai,2026-08-04 05:24:00,2026-08-04 09:27:00,Completed
SHP0084,B0084,V058,Pune,Mumbai,2026-08-05 08:22:00,2026-08-05 14:11:00,Completed
SHP0085,B0085,V071,Mumbai,Madurai,2026-08-07 08:17:00,2026-08-07 10:49:00,Completed
SHP0086,B0086,V016,Chennai,Madurai,2026-08-01 09:14:00,2026-08-01 10:29:00,Completed
SHP0087,B0087,V060,Kochi,Chennai,2026-08-03 08:33:00,2026-08-03 12:36:00,Completed
SHP0088,B0088,V040,Bengaluru,Hyderabad,2026-08-03 06:06:00,2026-08-03 09:12:00,Completed
SHP0089,B0089,V016,Hyderabad,Kochi,2026-08-03 09:52:00,2026-08-03 11:20:00,Completed
SHP0090,B0090,V022,Hyderabad,Bengaluru,2026-08-06 08:22:00,2026-08-06 10:50:00,Completed
SHP0091,B0091,V023,Coimbatore,Hyderabad,2026-08-01 09:20:00,2026-08-01 13:23:00,Completed
SHP0092,B0092,V030,Bengaluru,Chennai,2026-08-02 10:44:00,2026-08-02 14:44:00,Completed
SHP0093,B0093,V049,Bengaluru,Coimbatore,2026-08-03 09:12:00,2026-08-03 14:24:00,Completed
SHP0094,B0094,V040,Mumbai,Kochi,2026-08-06 06:31:00,2026-08-06 07:50:00,Completed
SHP0095,B0095,V010,Bangalore,Chennai,2026-08-03 06:38:00,2026-08-03 09:30:00,Completed
SHP0096,B0096,V026,Chennai,Mumbai,2026-08-02 08:00:00,2026-08-02 11:49:00,Completed
SHP0097,B0097,V095,Bengaluru,Hyderabad,2026-08-06 06:21:00,2026-08-06 08:51:00,Completed
SHP0098,B0098,V026,Madurai,Chennai,2026-08-06 05:09:00,2026-08-06 11:09:00,Completed
SHP0099,B0099,V042,Coimbatore,Bangalore,2026-08-03 09:55:00,2026-08-03 14:01:00,Completed
SHP0100,B0100,V051,Bangalore,Madurai,2026-08-04 10:42:00,2026-08-04 15:04:00,Completed
SHP0101,B0101,V040,Bengaluru,Bangalore,2026-08-02 07:19:00,2026-08-02 11:04:00,Completed
SHP0102,B0102,V062,Coimbatore,Salem,2026-08-05 10:31:00,2026-08-05 14:13:00,Completed
SHP0103,B0103,V085,Coimbatore,Mumbai,2026-08-01 10:56:00,2026-08-01 14:58:00,Completed
SHP0104,B0104,V040,Hyderabad,Bengaluru,2026-08-05 06:24:00,2026-08-05 10:01:00,Completed
SHP0105,B0105,V005,Kochi,Coimbatore,2026-08-04 06:46:00,2026-08-04 07:46:00,Completed
SHP0106,B0106,V002,Bengaluru,Salem,2026-08-04 09:02:00,2026-08-04 11:35:00,Completed
SHP0107,B0107,V047,Bengaluru,Madurai,2026-08-05 09:14:00,2026-08-05 15:03:00,Completed
SHP0108,B0108,V079,Bangalore,Pune,2026-08-07 06:21:00,2026-08-07 08:00:00,Completed
SHP0109,B0109,V004,Hyderabad,Madurai,2026-08-05 07:10:00,2026-08-05 08:55:00,Completed
SHP0110,B0110,V063,Madurai,Pune,2026-08-05 05:16:00,2026-08-05 08:03:00,Completed
SHP0111,B0111,V065,Hyderabad,Bangalore,2026-08-02 07:16:00,2026-08-02 09:11:00,Completed
SHP0112,B0112,V011,Chennai,Salem,2026-08-01 08:46:00,2026-08-01 13:20:00,Completed
SHP0113,B0113,V083,Coimbatore,Salem,2026-08-05 08:56:00,2026-08-05 13:09:00,Completed
SHP0114,B0114,V042,Madurai,Mumbai,2026-08-07 08:06:00,2026-08-07 13:11:00,Completed
SHP0115,B0115,V019,Bengaluru,Hyderabad,2026-08-02 06:28:00,2026-08-02 08:05:00,Completed
SHP0116,B0116,V018,Chennai,Kochi,2026-08-05 05:20:00,2026-08-05 08:33:00,Completed
SHP0117,B0117,V086,Bangalore,Madurai,2026-08-02 06:56:00,2026-08-02 11:08:00,Completed
SHP0118,B0118,V051,Coimbatore,Bangalore,2026-08-07 09:57:00,2026-08-07 11:44:00,Completed
SHP0119,B0119,V052,Madurai,Bengaluru,2026-08-01 09:57:00,2026-08-01 15:04:00,Completed
SHP0120,B0120,V039,Chennai,Salem,2026-08-06 10:10:00,2026-08-06 14:52:00,Completed
SHP0121,B0121,V081,Coimbatore,Chennai,2026-08-03 05:21:00,2026-08-03 08:06:00,Completed
SHP0122,B0122,V035,Hyderabad,Salem,2026-08-05 10:35:00,2026-08-05 16:11:00,Completed
SHP0123,B0123,V064,Kochi,Hyderabad,2026-08-04 05:03:00,2026-08-04 09:24:00,Completed
SHP0124,B0124,V095,Bengaluru,Mumbai,2026-08-02 08:09:00,2026-08-02 09:36:00,Completed
SHP0125,B0125,V086,Madurai,Chennai,2026-08-03 08:05:00,2026-08-03 11:35:00,Completed
SHP0126,B0126,V082,Bengaluru,Pune,2026-08-01 06:06:00,2026-08-01 07:19:00,Completed
SHP0127,B0127,V018,Hyderabad,Coimbatore,2026-08-02 10:18:00,2026-08-02 11:59:00,Completed
SHP0128,B0128,V098,Pune,Bangalore,2026-08-02 07:50:00,2026-08-02 12:13:00,Completed
SHP0129,B0129,V081,Pune,Kochi,2026-08-04 05:41:00,2026-08-04 11:19:00,Completed
SHP0130,B0130,V019,Salem,Coimbatore,2026-08-01 07:56:00,2026-08-01 12:11:00,Completed
SHP0131,B0131,V065,Madurai,Coimbatore,2026-08-04 08:02:00,2026-08-04 11:16:00,Completed
SHP0132,B0132,V041,Pune,Kochi,2026-08-05 06:53:00,2026-08-05 10:10:00,Completed
SHP0133,B0133,V049,Bengaluru,Chennai,2026-08-04 06:48:00,2026-08-04 08:37:00,Completed
SHP0134,B0134,V070,Bangalore,Madurai,2026-08-02 09:26:00,2026-08-02 12:22:00,Completed
SHP0135,B0135,V075,Mumbai,Chennai,2026-08-01 08:52:00,2026-08-01 14:19:00,Completed
SHP0136,B0136,V090,Salem,Mumbai,2026-08-04 10:55:00,2026-08-04 15:58:00,Completed
SHP0137,B0137,V057,Bengaluru,Hyderabad,2026-08-01 08:19:00,2026-08-01 09:59:00,Completed
SHP0138,B0138,V058,Salem,Chennai,2026-08-06 09:36:00,2026-08-06 15:00:00,Completed
SHP0139,B0139,V035,Bengaluru,Coimbatore,2026-08-01 05:48:00,2026-08-01 10:37:00,Completed
SHP0140,B0140,V023,Coimbatore,Hyderabad,2026-08-05 06:08:00,2026-08-05 07:29:00,Completed
SHP0141,B0141,V097,Salem,Bangalore,2026-08-02 10:27:00,2026-08-02 13:10:00,Completed
SHP0142,B0142,V020,Coimbatore,Bengaluru,2026-08-06 07:20:00,2026-08-06 08:54:00,Completed
SHP0143,B0143,V049,Bangalore,Salem,2026-08-06 09:25:00,2026-08-06 15:07:00,Completed
SHP0144,B0144,V001,Madurai,Kochi,2026-08-05 09:29:00,2026-08-05 10:35:00,Completed
SHP0145,B0145,V061,Bengaluru,Mumbai,2026-08-07 08:07:00,2026-08-07 12:39:00,Completed
SHP0146,B0146,V093,Coimbatore,Bengaluru,2026-08-07 09:37:00,2026-08-07 11:28:00,Completed
SHP0147,B0147,V039,Bangalore,Bengaluru,2026-08-01 05:50:00,2026-08-01 09:16:00,Completed
SHP0148,B0148,V018,Mumbai,Madurai,2026-08-01 08:16:00,2026-08-01 12:32:00,Completed
SHP0149,B0149,V020,Pune,Bengaluru,2026-08-01 09:30:00,2026-08-01 10:49:00,Completed
SHP0150,B0150,V005,Coimbatore,Kochi,2026-08-06 08:09:00,2026-08-06 12:34:00,Completed
SHP0151,B0151,V054,Chennai,Salem,2026-08-01 07:44:00,2026-08-01 10:45:00,Completed
SHP0152,B0152,V090,Chennai,Pune,2026-08-01 07:57:00,2026-08-01 12:07:00,Completed
SHP0153,B0153,V057,Chennai,Madurai,2026-08-02 07:19:00,2026-08-02 10:42:00,Completed
SHP0154,B0154,V098,Pune,Bangalore,2026-08-07 06:08:00,2026-08-07 09:41:00,Completed
SHP0155,B0155,V079,Pune,Madurai,2026-08-05 07:46:00,2026-08-05 12:19:00,Completed
SHP0156,B0156,V032,Bengaluru,Bangalore,2026-08-06 06:28:00,2026-08-06 09:16:00,Completed
SHP0157,B0157,V065,Salem,Pune,2026-08-06 09:55:00,2026-08-06 14:06:00,Completed
SHP0158,B0158,V088,Chennai,Mumbai,2026-08-02 06:04:00,2026-08-02 09:43:00,Completed
SHP0159,B0159,V098,Mumbai,Salem,2026-08-04 06:49:00,2026-08-04 12:17:00,Completed
SHP0160,B0160,V035,Bengaluru,Chennai,2026-08-02 06:12:00,2026-08-02 08:54:00,Completed
SHP0161,B0161,V056,Chennai,Hyderabad,2026-08-06 05:29:00,2026-08-06 06:54:00,Completed
SHP0162,B0162,V064,Madurai,Hyderabad,2026-08-05 07:23:00,2026-08-05 12:20:00,Completed
SHP0163,B0163,V091,Mumbai,Salem,2026-08-05 10:59:00,2026-08-05 13:02:00,Completed
SHP0164,B0164,V072,Chennai,Hyderabad,2026-08-03 07:31:00,2026-08-03 12:19:00,Completed
SHP0165,B0165,V042,Coimbatore,Pune,2026-08-04 09:35:00,2026-08-04 13:34:00,Completed
SHP0166,B0166,V012,Madurai,Coimbatore,2026-08-07 07:47:00,2026-08-07 09:33:00,Completed
SHP0167,B0167,V085,Kochi,Chennai,2026-08-06 08:03:00,2026-08-06 10:26:00,Completed
SHP0168,B0168,V002,Bengaluru,Hyderabad,2026-08-07 06:41:00,2026-08-07 09:36:00,Completed
SHP0169,B0169,V052,Hyderabad,Kochi,2026-08-02 10:26:00,2026-08-02 15:48:00,Completed
SHP0170,B0170,V036,Chennai,Pune,2026-08-07 06:41:00,2026-08-07 09:09:00,Completed
SHP0171,B0171,V043,Bengaluru,Chennai,2026-08-05 06:16:00,2026-08-05 09:52:00,Completed
SHP0172,B0172,V046,Kochi,Salem,2026-08-02 08:54:00,2026-08-02 12:52:00,Completed
SHP0173,B0173,V088,Pune,Kochi,2026-08-04 06:29:00,2026-08-04 10:03:00,Completed
SHP0174,B0174,V082,Mumbai,Bengaluru,2026-08-03 08:37:00,2026-08-03 10:29:00,Completed
SHP0175,B0175,V056,Chennai,Mumbai,2026-08-03 10:53:00,2026-08-03 15:04:00,Completed
SHP0176,B0176,V063,Mumbai,Bengaluru,2026-08-01 09:18:00,2026-08-01 12:50:00,Completed
SHP0177,B0177,V031,Bangalore,Pune,2026-08-07 05:21:00,2026-08-07 08:42:00,Completed
SHP0178,B0178,V072,Madurai,Kochi,2026-08-07 07:41:00,2026-08-07 11:13:00,Completed
SHP0179,B0179,V058,Hyderabad,Coimbatore,2026-08-02 09:48:00,2026-08-02 12:51:00,Completed
SHP0180,B0180,V006,Chennai,Bengaluru,2026-08-03 08:42:00,2026-08-03 12:25:00,Completed
SHP0181,B0181,V024,Coimbatore,Chennai,2026-08-03 10:31:00,2026-08-03 14:02:00,Completed
SHP0182,B0182,V053,Kochi,Salem,2026-08-03 08:24:00,2026-08-03 09:42:00,Completed
SHP0183,B0183,V086,Bengaluru,Hyderabad,2026-08-05 07:46:00,2026-08-05 10:39:00,Completed
SHP0184,B0184,V033,Mumbai,Pune,2026-08-07 10:22:00,2026-08-07 15:41:00,Completed
SHP0185,B0185,V004,Kochi,Coimbatore,2026-08-04 10:56:00,2026-08-04 16:41:00,Completed
SHP0186,B0186,V023,Coimbatore,Kochi,2026-08-04 05:30:00,2026-08-04 07:35:00,Completed
SHP0187,B0187,V043,Kochi,Mumbai,2026-08-02 06:43:00,2026-08-02 10:34:00,Completed
SHP0188,B0188,V010,Bangalore,Hyderabad,2026-08-02 07:14:00,2026-08-02 10:51:00,Completed
SHP0189,B0189,V024,Salem,Madurai,2026-08-04 07:16:00,2026-08-04 13:15:00,Completed
SHP0190,B0190,V093,Kochi,Pune,2026-08-05 05:30:00,2026-08-05 06:57:00,Completed
SHP0191,B0191,V075,Bengaluru,Bangalore,2026-08-04 08:56:00,2026-08-04 11:35:00,Completed
SHP0192,B0192,V039,Mumbai,Bangalore,2026-08-05 10:24:00,2026-08-05 15:55:00,Completed
SHP0193,B0193,V030,Kochi,Salem,2026-08-06 05:55:00,2026-08-06 08:12:00,Completed
SHP0194,B0194,V042,Coimbatore,Hyderabad,2026-08-02 07:26:00,2026-08-02 13:17:00,Completed
SHP0195,B0195,V070,Pune,Coimbatore,2026-08-01 07:55:00,2026-08-01 10:27:00,Completed
SHP0196,B0196,V021,Bangalore,Pune,2026-08-03 07:40:00,2026-08-03 10:10:00,Completed
SHP0197,B0197,V043,Madurai,Chennai,2026-08-04 05:28:00,2026-08-04 08:48:00,Completed
SHP0198,B0198,V010,Hyderabad,Coimbatore,2026-08-07 09:48:00,2026-08-07 12:09:00,Completed
SHP0199,B0199,V020,Pune,Bangalore,2026-08-05 06:39:00,2026-08-05 11:21:00,Completed
SHP0200,B0200,V053,Salem,Pune,2026-08-05 08:00:00,2026-08-05 09:19:00,Completed
SHP0201,B0201,V006,Mumbai,Hyderabad,2026-08-01 10:23:00,2026-08-01 11:30:00,Completed
SHP0202,B0202,V060,Madurai,Mumbai,2026-08-07 06:01:00,2026-08-07 07:03:00,Completed
SHP0203,B0203,V056,Hyderabad,Madurai,2026-08-07 07:08:00,2026-08-07 09:00:00,Completed
SHP0204,B0204,V036,Salem,Mumbai,2026-08-05 09:19:00,2026-08-05 11:44:00,Completed
SHP0205,B0205,V097,Bangalore,Chennai,2026-08-07 07:18:00,2026-08-07 12:11:00,Completed
SHP0206,B0206,V002,Mumbai,Bengaluru,2026-08-01 09:21:00,2026-08-01 14:03:00,Completed
SHP0207,B0207,V079,Coimbatore,Madurai,2026-08-04 08:22:00,2026-08-04 10:58:00,Completed
SHP0208,B0208,V017,Coimbatore,Salem,2026-08-07 05:14:00,2026-08-07 08:08:00,Completed
SHP0209,B0209,V007,Coimbatore,Hyderabad,2026-08-02 10:01:00,2026-08-02 15:19:00,Completed
SHP0210,B0210,V096,Coimbatore,Bangalore,2026-08-04 07:45:00,2026-08-04 09:04:00,Completed
SHP0211,B0211,V056,Salem,Kochi,2026-08-05 09:39:00,2026-08-05 11:03:00,Completed
SHP0212,B0212,V017,Bengaluru,Chennai,2026-08-03 10:06:00,2026-08-03 11:16:00,Completed
SHP0213,B0213,V059,Chennai,Bangalore,2026-08-07 08:28:00,2026-08-07 12:42:00,Completed
SHP0214,B0214,V024,Bangalore,Mumbai,2026-08-07 07:30:00,2026-08-07 09:48:00,Completed
SHP0215,B0215,V059,Hyderabad,Chennai,2026-08-03 07:26:00,2026-08-03 09:17:00,Completed
SHP0216,B0216,V008,Mumbai,Kochi,2026-08-04 09:38:00,2026-08-04 11:48:00,Completed
SHP0217,B0217,V090,Salem,Bangalore,2026-08-06 09:46:00,2026-08-06 11:46:00,Completed
SHP0218,B0218,V100,Kochi,Bangalore,2026-08-04 05:31:00,2026-08-04 08:12:00,Completed
SHP0219,B0219,V047,Bengaluru,Hyderabad,2026-08-04 07:53:00,2026-08-04 13:20:00,Completed
SHP0220,B0220,V051,Hyderabad,Madurai,2026-08-02 10:26:00,2026-08-02 13:57:00,Completed
SHP0221,B0221,V036,Coimbatore,Chennai,2026-08-06 09:31:00,2026-08-06 12:17:00,Completed
SHP0222,B0222,V008,Pune,Madurai,2026-08-03 06:00:00,2026-08-03 07:06:00,Completed
SHP0223,B0223,V050,Bangalore,Bengaluru,2026-08-06 10:31:00,2026-08-06 12:47:00,Completed
SHP0224,B0224,V007,Bangalore,Mumbai,2026-08-03 05:46:00,2026-08-03 07:37:00,Completed
SHP0225,B0225,V041,Kochi,Hyderabad,2026-08-07 08:18:00,2026-08-07 11:33:00,Completed
SHP0226,B0226,V097,Pune,Chennai,2026-08-05 05:52:00,2026-08-05 08:21:00,Completed
SHP0227,B0227,V037,Chennai,Kochi,2026-08-02 07:51:00,2026-08-02 11:31:00,Completed
SHP0228,B0228,V005,Salem,Bangalore,2026-08-02 05:54:00,2026-08-02 07:17:00,Completed
SHP0229,B0229,V052,Chennai,Coimbatore,2026-08-05 10:41:00,2026-08-05 13:08:00,Completed
SHP0230,B0230,V031,Madurai,Pune,2026-08-06 09:17:00,2026-08-06 11:04:00,Completed
SHP0231,B0231,V087,Madurai,Coimbatore,2026-08-07 05:25:00,2026-08-07 09:49:00,Completed
SHP0232,B0232,V092,Pune,Kochi,2026-08-01 08:44:00,2026-08-01 13:48:00,Completed
SHP0233,B0233,V023,Salem,Coimbatore,2026-08-02 05:08:00,2026-08-02 06:38:00,Completed
SHP0234,B0234,V023,Coimbatore,Bangalore,2026-08-07 08:58:00,2026-08-07 14:05:00,Completed
SHP0235,B0235,V090,Bengaluru,Pune,2026-08-02 06:39:00,2026-08-02 10:53:00,Completed
SHP0236,B0236,V085,Madurai,Bengaluru,2026-08-02 05:55:00,2026-08-02 08:01:00,Completed
SHP0237,B0237,V007,Pune,Bangalore,2026-08-07 08:28:00,2026-08-07 09:51:00,Completed
SHP0238,B0238,V033,Bangalore,Kochi,2026-08-06 10:20:00,2026-08-06 11:26:00,Completed
SHP0239,B0239,V091,Mumbai,Bengaluru,2026-08-03 10:36:00,2026-08-03 13:30:00,Completed
SHP0240,B0240,V085,Madurai,Mumbai,2026-08-05 09:44:00,2026-08-05 11:32:00,Completed
SHP0241,B0241,V079,Salem,Hyderabad,2026-08-01 08:22:00,2026-08-01 12:39:00,Completed
SHP0242,B0242,V091,Coimbatore,Mumbai,2026-08-02 09:03:00,2026-08-02 10:08:00,Completed
SHP0243,B0243,V080,Coimbatore,Mumbai,2026-08-01 08:54:00,2026-08-01 14:07:00,Completed
SHP0244,B0244,V059,Coimbatore,Bangalore,2026-08-06 08:20:00,2026-08-06 11:23:00,Completed
SHP0245,B0245,V090,Madurai,Kochi,2026-08-07 05:32:00,2026-08-07 08:26:00,Completed
SHP0246,B0246,V010,Mumbai,Salem,2026-08-04 08:52:00,2026-08-04 11:52:00,Completed
SHP0247,B0247,V062,Bangalore,Pune,2026-08-06 08:51:00,2026-08-06 14:44:00,Completed
SHP0248,B0248,V005,Pune,Bangalore,2026-08-05 08:28:00,2026-08-05 12:09:00,Completed
SHP0249,B0249,V057,Bangalore,Pune,2026-08-07 10:41:00,2026-08-07 11:50:00,Completed
SHP0250,B0250,V087,Bangalore,Salem,2026-08-05 08:02:00,2026-08-05 13:47:00,Completed
SHP0251,B0251,V035,Mumbai,Chennai,2026-08-03 05:50:00,2026-08-03 09:25:00,Completed
SHP0252,B0252,V012,Mumbai,Hyderabad,2026-08-01 10:42:00,2026-08-01 15:35:00,Completed
SHP0253,B0253,V045,Madurai,Chennai,2026-08-02 06:54:00,2026-08-02 11:46:00,Completed
SHP0254,B0254,V082,Madurai,Mumbai,2026-08-02 09:38:00,2026-08-02 14:40:00,Completed
SHP0255,B0255,V057,Madurai,Pune,2026-08-04 05:06:00,2026-08-04 07:59:00,Completed
SHP0256,B0256,V022,Chennai,Madurai,2026-08-04 07:53:00,2026-08-04 11:22:00,Completed
